SL. No.,Category,States/UTs/Cities,Murder - 1968,Murder - 1969,Murder - Percentage Variation,Kidnapping & Abduction - 1968,Kidnapping & Abduction - 1969,Kidnapping & Abduction - Percentage Variation,Dacoity - 1968,Dacoity - 1969,Dacoity - Perentage Variation,Robbery - 1968,Robbery - 1969,Robbery - Percentage Variation,House Breaking - 1968,House Breaking - 1969,House Breaking - Percentage Variation,Cattle Thefts - 1968,Cattle Thefts - 1969,Cattle Thefts - Percentage Variation,Ordinary Thefts - 1968,Ordinary Thefts - 1969,Ordinary Thefts - Percentage Variation,Riots - 1968,Riots - 1969,Riots - Percentage Variation,Criminal Breach of Trust - 1968,Criminal Breach of Trust - 1969,Criminal Breach of Trust - Percentage Variation,Cheating - 1968,Cheating - 1969,Cheating - Percentage Variation,Counterfeiting - 1968,Counterfeiting - 1969,Counterfeiting - Percentage Variation
1,State,Andhra Pradesh,974,1060,8.8,120,99,-17.5,151,249,64.9,175,189,8,5621,5455,-3,1020,796,-22,11440,10654,-6.9,2492,3218,29.1,649,606,-6.6,341,275,-19.4,67,37,-44.8
2,State,Assam,433,472,9,420,368,-12.4,440,199,-54.8,230,232,0.9,3935,3772,-4.1,592,570,-3.7,6456,5752,-10.9,3126,4192,34.1,394,343,-12.9,301,240,-20.3,52,11,-78.8
3,State,Bihar,1282,1299,1.3,571,498,-12.8,1580,1333,-15.6,978,923,-5.9,21210,18886,-11,642,637,-0.8,24580,22669,-7.8,8048,8384,4.2,1409,1317,-6.5,603,584,-3.2,127,80,37
4,State,Gujarat,697,862,23.7,256,239,-6.6,63,106,68.3,484,389,-19.6,4465,4194,-6.1,762,683,-10.4,10298,9948,-3.4,573,1356,136.6,1039,1150,10.7,566,521,-8,38,12,-68.4
5,State,Haryana,207,192,-7.3,137,154,12.4,1,10,900,17,12,-29.4,1731,1666,-3.8,426,401,-5.9,2355,2246,-4.7,94,101,7.4,292,278,-4.8,219,209,-4.6,4,6,50
6,State,Jammu & Kashmir,71,80,12.7,166,186,12,13,24,84.6,19,22,15.7,930,1020,9.7,192,163,-15.2,1019,937,-8,604,725,20,127,107,-15.7,95,99,4.2,3,2,-50
7,State,Kerala,320,403,25.9,72,97,34.7,30,26,-13.3,144,118,-18.1,3733,3283,12.1,175,170,-2.9,4429,4270,-3.6,2321,3089,33.1,443,543,22.6,170,155,-8.8,193,86,-55.4
8,State,Madhya Pradesh,1677,1739,3.7,857,834,-2.7,363,347,-4.4,991,954,-3.7,19331,18238,-5.7,4806,4602,-4.8,30700,28031,-8.7,1801,2081,15.5,1463,1219,-16.7,1259,1217,-3.3,63,41,-34.9
9,State,Maharashtra,1270,1319,3.8,593,515,-13.2,296,305,3.1,1612,1411,-12.5,15609,13711,-12.2,1861,1552,-16.6,44654,44089,-10.2,1534,1767,15.2,3474,3317,-4.5,1967,1824,-7.3,78,79,1.3
10,State,Mysore,739,731,-1.1,113,144,27.4,107,78,-27.1,170,131,-22.9,6884,6220,-9.7,842,745,-11.5,11143,10466,-6.1,1802,1563,-13.3,882,826,-6.3,494,731,48,75,31,-58.7
11,State,Nagaland,8,15,87.5,10,16,60,10,9,-10,41,25,-39,124,149,20.2,6,4,-20.2,228,210,-7.9,17,13,-23.5,45,24,-46.7,8,13,62.5,2,3,50
12,State,Orissa,431,415,-3.7,134,136,1.5,111,122,9.9,261,264,1.1,7433,6503,-12.5,1023,803,-21.5,12375,11627,-6,1944,2021,4,782,631,-19.3,480,401,-16.5,36,16,-55.6
13,State,Punjab,522,576,10.3,319,113,-1.9,2,3,50,24,18,-25,1728,1699,-1.7,258,260,0.8,2889,2804,-3,47,29,-38.3,450,411,-8.7,291,256,-12,24,19,-20.8
14,State,Rajasthan,621,669,7.7,1326,1105,-16.7,132,130,-1.5,893,859,-3.8,7680,6997,-8.9,2144,1910,-10.9,7855,7287,-7.3,3132,3050,-2.6,782,756,-3.3,795,702,-11.7,16,16,NA
