SL. No.,Category,States/U.Ts/Cities,Number of Cases in which Property was Stolen,Value of Property Stolen in Lakhs,Value of Property Recovered in Lakhs,Percentage of Value of Property Recovered to Value of Property Stolen
1,State,Andhra Pradesh,NA,NA,NA,NA
2,State,Assam,4,0.01,NA,NA
3,State,Bihar,8,0.04,NA,NA
4,State,Gujarat,2,NA,NA,NA
5,State,Haryana,NA,NA,NA,NA
6,State,Jammu & Kashmir,NA,NA,NA,NA
7,State,Kerala,1,0.03,NA,0
8,State,Madhya Pradesh,1,NA,NA,NA
9,State,Maharashtra,1,0.05,0.05,100
10,State,Mysore,12,0.19,0.14,73.7
11,State,Nagaland,NA,NA,NA,NA
12,State,Orissa,NA,NA,NA,NA
13,State,Punjab,NA,NA,NA,NA
14,State,Rajasthan,NA,NA,NA,NA
15,State,Tamil Nadu,5,0.03,0.02,66.7
16,State,Uttar Pradesh,1,0.01,NA,NA
17,State,West Bengal,2,NA,NA,NA
Total (States),State,Total (States),37,0.36,0.21,58.34
18,UT,A & N Islands,NA,NA,NA,NA
19,UT,Chandigarh,NA,NA,NA,NA
20,UT,Dadra & N. Haveli,NA,NA,NA,NA
21,UT,Delhi,NA,NA,NA,NA
22,UT,"Goa, Daman & Diu",1,NA,NA,NA
23,UT,Himachal Pradesh,NA,NA,NA,NA
24,UT,Lakshadweep,NA,NA,NA,NA
25,UT,Manipur,NA,NA,NA,NA
26,UT,Pondicherry,NA,NA,NA,NA
27,UT,Tripura,NA,NA,NA,NA
Total (UTs),UT,Total (UTs),1,NA,NA,NA
Total (All-India),Total (All-India),Total (All-India),38,0.36,0.21,58.34
1,City,Ahmedabad,NA,NA,NA,NA
2,City,Bangalore,NA,NA,NA,NA
3,City,Bombay,NA,NA,NA,NA
4,City,Calcutta,NA,NA,NA,NA
5,City,Delhi,NA,NA,NA,NA
6,City,Hyderabad,NA,NA,NA,NA
7,City,Kanpur,NA,NA,NA,NA
8,City,Madras,NA,NA,NA,NA
Total (Cities),City,Total (Cities),NA,NA,NA,NA
