SL. No.,Category,States/U.Ts/Cities,Persons in Custody Pending Investigation or on Bail during the Stage of Investigation,Persons in Custody Pending Trial or on Bail during the Stage of Trial,Persons Arrested during the Year,Persons Released by the Police or Magistrate before Trial,Persons in whose Case Chargesheets were Laid,Number of Persons in whose Cases Trials were Completed,Persons Convicted,Persons Acquitted or Discharged,Persons against whom Cases were Compounded,Number of Persons in Custody Pending Investigationor on Bail during the Stage of Investigation at the End of the Year,Number of Persons in Custody Pending Trial or on Bail during the Stage of Trial at the End of the Year,Percentage of Conviction to Total Persons in whose Cases Chargesheets were Laid,Percentage of Conviction to Total Persons in whose Cases Trials were Completed
1,State,Andhra Pradesh,438,1804,9461,418,8838,8606,7294,1312,232,390,2057,82.5,84.8
2,State,Assam,415,5906,6217,2121,3114,2520,1060,1460,594,989,6314,34,42.1
3,State,Bihar,1588,24346,13512,1966,6975,5203,2237,2966,1772,1878,28627,32.1,43
4,State,Gujarat,363,4799,8026,120,8405,5106,2786,2320,3299,327,4336,33.1,54.6
5,State,Haryana,144,1300,1638,98,1132,1066,801,265,66,247,1605,70.7,75.1
6,State,Jammu & Kashmir,NA,1639,932,3,856,612,190,422,244,16,1696,22.2,31
7,State,Kerala,429,1427,3007,136,2653,2047,1278,769,606,475,1599,48.2,62.4
8,State,Madhya Pradesh,1089,18195,16088,360,14420,11812,8886,2926,2608,1227,19365,61.6,75.2
9,State,Maharashtra,2379,15097,21744,1929,19652,16281,11256,5025,3371,2622,15017,57.3,69.1
10,State,Mysore,501,3803,8210,319,7573,6802,4470,2332,771,386,4236,59,65.7
11,State,Nagaland,72,103,207,50,129,127,120,7,2,84,119,95.4,94.5
12,State,Orissa,47,13674,9109,262,6123,4691,2105,2586,1432,22,16423,34.4,44.9
13,State,Punjab,402,1258,1506,146,1181,1153,780,373,28,658,1181,66,67.6
14,State,Rajasthan,343,7045,5490,242,3852,2609,1171,1438,1243,386,8398,30.4,44.9
15,State,Tamil Nadu,259,1356,14630,342,14032,13816,12468,1348,216,157,1714,88.9,90.2
16,State,Uttar Pradesh,1574,24184,19089,1085,14938,12687,7629,5058,2251,1547,27277,51.1,60.1
17,State,West Bengal,942,16669,20589,11564,7673,4895,2567,2328,2778,1214,17749,33.5,52.4
Total (States),State,Total (States),10985,142355,159455,21161,121546,100033,67098,32935,21513,12625,157713,55.2,67.1
18,UT,A & N Islands,1,22,22,NA,35,28,20,8,7,4,6,57.1,71.4
19,UT,Chandigarh,56,82,193,47,141,139,115,24,2,72,71,81.5,82.7
20,UT,Dadra & N. Haveli,1,7,34,NA,23,17,14,3,6,NA,19,60.9,82.3
21,UT,Delhi,NA,1366,1618,NA,1596,1508,1101,407,88,NA,1388,69,73
22,UT,"Goa, Daman & Diu",3,207,367,57,348,344,294,50,4,NA,172,84.5,85.5
23,UT,Himachal Pradesh,68,265,459,29,349,329,196,133,20,98,316,56.2,59.6
24,UT,Lakshadweep,10,24,13,NA,20,10,3,7,10,9,18,15,15
25,UT,Manipur,19,588,277,94,201,180,49,131,21,42,547,24.4,28.8
26,UT,Pondicherry,NA,21,363,30,297,295,276,19,2,NA,57,92.9,93.6
27,UT,Tripura,52,447,463,328,155,142,64,78,13,22,457,41.3,45.1
Total (UTs),UT,Total (UTs),210,3029,3809,585,3165,2992,2132,860,173,247,3051,67.4,71.3
Total (All-India),Total (All-India),Total (All-India),11195,145634,163264,21746,124711,103025,69230,33795,21686,12872,160764,55.5,67.2
1,City,Ahmedabad,45,225,472,5,531,469,196,273,62,25,181,36.9,41.8
2,City,Bangalore,105,631,1900,43,1858,1837,1591,246,21,103,632,85.6,86.6
3,City,Bombay,1066,1596,5709,778,5000,4793,3548,1245,207,1072,1521,71,74
4,City,Calcutta,119,183,5547,4708,724,714,601,113,10,264,153,83,84.2
5,City,Delhi,NA,1290,1502,NA,1489,1405,1016,389,84,NA,1303,68.2,72.3
6,City,Hyderabad,22,69,1386,NA,1291,1286,1271,15,5,31,155,98.5,98.8
7,City,Kanpur,31,783,709,29,491,457,380,77,34,22,981,77.4,83.2
8,City,Madras,34,67,3145,57,2925,2922,2877,45,3,1,263,98.4,98.5
Total (Cities),City,Total (Cities),1422,4844,20370,5620,14309,13883,11480,2403,426,1518,5189,80.2,82.7
