SL. No.,Category,States/U.Ts/Cities,Persons in Custody Pending Investigation or on Bail during the Stage of Investigation,Persons in Custody Pending Trial or on Bail during the Stage of Trial,Persons Arrested during the Year,Persons Released by the Police or Magistrate before Trial,Persons in whose Case Chargesheets were Laid,Number of Persons in whose Cases Trials were Completed,Persons Convicted,Persons Acquitted or Discharged,Persons against whom Cases were Compounded or Withdrawn,Number of Persons in Custody Pending Investigationor on Bail during the Stage of Investigation at the End of the Year,Number of Persons in Custody Pending Trial or on Bail during the Stage of Trial at the End of the Year,Percentage of Conviction to Total Persons in whose Cases Chargesheets were Laid,Percentage of Conviction to Total Persons in whose Cases Trials were Completed
1,State,Andhra Pradesh,5355,24903,68865,6235,55708,52657,33395,19262,3051,4895,32285,59.9,63.4
2,State,Assam,5088,44227,584058*,21087,560260,557756,542459,15297,2504,5856,46170,96.8,97.3
3,State,Bihar,15181,208937,111159,11336,53290,42200,14136,28064,11090,16461,254190,26.5,33.5
4,State,Gujarat,3160,25842,45829,710,43022,25990,11909,14081,17032,3978,27121,27.7,45.8
5,State,Haryana,1694,10615,12344,497,8775,7229,3758,3471,1546,2537,12844,42.8,52
6,State,Jammu & Kashmir,22,19452,10304,37,9557,6903,1710,5193,2654,269,19915,17.9,24.8
7,State,Kerala,7307,18409,41987,3258,29751,22441,7401,15040,7310,10973,23721,24.9,33
8,State,Madhya Pradesh,7092,112029,96239,2160,82599,66190,41511,24679,16409,11002,119599,50.3,62.7
9,State,Maharashtra,11625,70468,93449,6333,81510,60526,34736,25790,20984,13086,74613,42.6,57.4
10,State,Mysore,6576,30827,51331,3206,44159,36136,15137,20999,8023,4428,36941,34.3,41.9
11,State,Nagaland,412,605,832,247,572,528,495,33,44,311,719,86.5,93.8
12,State,Orissa,404,58452,41801,854,22905,17957,6806,11151,4948,684,76214,29.7,37.9
13,State,Punjab,7059,16553,19187,2538,15937,13584,6159,7425,2353,7235,17089,38.6,45.3
14,State,Rajasthan,4399,80898,45972,1776,29879,20603,9318,11285,9276,6324,93290,31.2,45.2
15,State,Tamil Nadu,3703,12901,66283,6283,62834,59289,41568,17721,3545,2664,11106,66.2,70.1
16,State,Uttar Pradesh,14854,166156,139981,12794,88815,77959,36600,41359,10856,14390,204992,41.2,46.9
17,State,West Bengal,8443,120737,115623,51993,53522,34162,11199,22963,19360,13107,126181,20.9,32.8
Total (States),State,Total (States),102374,1022011,1545244,131344,1243095,1102110,818297,283813,140985,118200,1176990,65.8,74.2
18,UT,A & N Islands,2,302,235,5,346,317,26,79,29,34,154,68.8,75.1
19,UT,Chandigarh,298,377,697,181,525,456,4531,149,69,319,347,58.5,67.3
20,UT,Dadra & N. Haveli,21,48,130,2,72,50,932,24,22,NA,125,36.1,52
21,UT,Delhi,50,11226,9859,855,9001,7396,870,2865,1605,45,11234,50.3,61.3
22,UT,"Goa, Daman & Diu",76,1749,1520,194,1261,1213,4,281,48,29,1861,73.9,76.8
23,UT,Himachal Pradesh,660,2784,3251,204,2463,2021,243,1151,442,640,3388,35.3,43
24,UT,Lakshadweep,44,66,23,NA,26,13,238,9,13,19,88,15.4,30.7
25,UT,Manipur,182,3957,1996,892,1163,1023,307,780,140,359,3721,21,23.8
26,UT,Pondicherry,138,147,2045,283,1444,1365,1204,161,79,14,589,83.4,88.2
27,UT,Tripura,402,3371,3142,2022,1100,886,254,632,214,194,3599,23.1,28.7
Total (UTs),UT,Total (UTs),1873,24027,22898,4638,17401,14740,8609,6131,2661,1653,25106,49.5,58.4
Total (All-India),Total (All-India),Total (All-India),104247,1046038,1568142*,135982,1260496,1116850,826906,289944,143646,119853,1202026,65.6,74
1,City,Ahmedabad,291,1347,4939,22,3285,2668,1394,1274,617,788,2482,42.4,52.2
2,City,Bangalore,564,2938,4833,322,5147,4753,3633,1120,394,281,2585,70.6,76.4
3,City,Bombay,4321,7969,20012,2262,17094,13488,7491,5997,3606,5236,7710,43.8,55.5
4,City,Calcutta,1043,1132,16381,11719,3494,3378,2663,715,116,2288,1055,76.2,78.8
5,City,Delhi,47,10465,8781,855,8181,6733,4201,2532,1448,45,10212,51.4,62.4
6,City,Hyderabad,84,307,2594,188,2299,2245,2094,151,54,63,435,91.1,93.3
7,City,Kanpur,283,2381,3146,379,1997,1848,1245,603,149,314,3120,62.3,67.4
8,City,Madras,747,1168,7121,576,5623,5485,5171,314,138,1026,1811,72,94.3
Total (Cities),City,Total (Cities),7380,27707,67807,16323,47120,40598,27892,12706,6522,10041,29410,59.2,68.7
