"Date","Code","CommodityId","CommodityName","DistrictName","DistrictCode","Stock","CommodityStock","TotalStock"
"1970-01-01T05:30:00Z","I. IPC Crime","Murder","19","NA","92","4","118","8"
"1970-01-01T05:30:00Z","I. IPC Crime","Culpable Homicide Not Amounting to Murder","1","NA","13","1","11","NA"
"1970-01-01T05:30:00Z","I. IPC Crime","Rape","2","NA","30","3","26","1"
"1970-01-01T05:30:00Z","I. IPC Crime","Kidnapping and Abduction","2","3","24","11","67","8"
"1970-01-01T05:30:00Z","I. IPC Crime","Dacoity","6","NA","21","NA","42","1"
"1970-01-01T05:30:00Z","I. IPC Crime","Robbery","6","NA","45","1","65","1"
"1970-01-01T05:30:00Z","I. IPC Crime","Burglary","345","21","1361","18","1195","24"
"1970-01-01T05:30:00Z","I. IPC Crime","Thefts","1032","84","3105","142","2304","75"
"1970-01-01T05:30:00Z","I. IPC Crime","Riots","36","8","442","22","1135","25"
"1970-01-01T05:30:00Z","I. IPC Crime","Criminal Breach of Trust","4","2","18","1","34","1"
"1970-01-01T05:30:00Z","I. IPC Crime","Cheating","6","2","19","1","54","2"
"1970-01-01T05:30:00Z","I. IPC Crime","Counterfeiting","NA","NA","NA","NA","NA","NA"
"1970-01-01T05:30:00Z","I. IPC Crime","Miscellaneous","211","21","1173","79","1604","116"
"1970-01-01T05:30:00Z","I. IPC Crime","Total Cognizable Crime","1672","141","6354","283","6683","267"
"1970-01-01T05:30:00Z","II. Crime Under Local & Special Laws","Arms Act","5","NA","27","1","28","NA"
"1970-01-01T05:30:00Z","II. Crime Under Local & Special Laws","Opium Act","NA","NA","20","NA","137","NA"
"1970-01-01T05:30:00Z","II. Crime Under Local & Special Laws","Gambling Act","212","NA","1896","NA","3467","3"
"1970-01-01T05:30:00Z","II. Crime Under Local & Special Laws","Excise Act","65","23","180","16","257","13"
"1970-01-01T05:30:00Z","II. Crime Under Local & Special Laws","Prohibition Act","183","33","1009","97","1116","67"
"1970-01-01T05:30:00Z","II. Crime Under Local & Special Laws","Explosive & Explosive Substances Act","1","NA","13","NA","4","2"
"1970-01-01T05:30:00Z","II. Crime Under Local & Special Laws","Suppression of Immoral Traffic Act","7","NA","2","15","2","88"
"1970-01-01T05:30:00Z","II. Crime Under Local & Special Laws","Motor Vehicles Act","NA","NA","NA","NA","NA","NA"
"1970-01-01T05:30:00Z","II. Crime Under Local & Special Laws","Prevention of Corruption Act","NA","NA","NA","NA","NA","NA"
"1970-01-01T05:30:00Z","II. Crime Under Local & Special Laws","Customs Act","NA","NA","NA","NA","NA","NA"
"1970-01-01T05:30:00Z","II. Crime Under Local & Special Laws","Indian Railways Act","125","19","227","32","149","71"
"1970-01-01T05:30:00Z","II. Crime Under Local & Special Laws","Other Offences","2788","253","2414","122","1530","56"
"1970-01-01T05:30:00Z","II. Crime Under Local & Special Laws","Total Cognizable Crime Under Local & Special Laws","3386","328","5788","283","6690","300"
"1970-01-01T05:30:00Z","Grand Total (IPC + Local & Special Laws)","Grand Total","5058","469","12142","566","13373","567"
