"Date","Code","CommodityId","CommodityName","DistrictName","DistrictCode","Stock","CommodityStock","TotalStock"
"1970-01-01T05:30:00Z","IPC Crimes","Murder","2.15","2.4","2.32","2.38","2.36",""
"1970-01-01T05:30:00Z","IPC Crimes","Culpable Homicide Not Amounting to Murder","NA","NA","NA","NA","1.75",""
"1970-01-01T05:30:00Z","IPC Crimes","Rape","NA","NA","NA","NA","1.21",""
"1970-01-01T05:30:00Z","IPC Crimes","Kidnapping & Abduction","1.48","1.43","1.39","1.25","1.27",""
"1970-01-01T05:30:00Z","IPC Crimes","Dacoity","4.3","4.73","4.6","3.51","3.52",""
"1970-01-01T05:30:00Z","IPC Crimes","Robbery","1.11","1.19","1.1","0.83","0.89",""
"1970-01-01T05:30:00Z","IPC Crimes","Burglary","0.56","0.58","0.58","0.49","0.52",""
"1970-01-01T05:30:00Z","IPC Crimes","Thefts","0.6","0.64","0.61","0.54","0.56",""
"1970-01-01T05:30:00Z","IPC Crimes","Riots","5.15","5.84","6.92","5.14","5.08",""
"1970-01-01T05:30:00Z","IPC Crimes","Criminal Breach of Trust","0.59","0.66","0.66","0.54","0.65",""
"1970-01-01T05:30:00Z","IPC Crimes","Cheating","0.82","0.87","0.84","0.82","0.78",""
"1970-01-01T05:30:00Z","IPC Crimes","Counterfeiting","0.3","0.42","0.59","0.47","0.67",""
"1970-01-01T05:30:00Z","IPC Crimes","Total Cognizable Crime","1.09","1.21","1.22","1.71","1.19",""
"1970-01-01T05:30:00Z","Crime Under Local and Special Laws","Arms Act","NA","NA","NA","NA","1.01",""
"1970-01-01T05:30:00Z","Crime Under Local and Special Laws","Opium Act","NA","NA","NA","NA","1.02",""
"1970-01-01T05:30:00Z","Crime Under Local and Special Laws","Gambling Act","NA","NA","NA","NA","1.77",""
"1970-01-01T05:30:00Z","Crime Under Local and Special Laws","Excise Act","NA","NA","NA","NA","1.01",""
"1970-01-01T05:30:00Z","Crime Under Local and Special Laws","Prohibition Act","NA","NA","NA","NA","0.93",""
"1970-01-01T05:30:00Z","Crime Under Local and Special Laws","Explosives & Explosive Substances Act","NA","NA","NA","NA","1.79",""
"1970-01-01T05:30:00Z","Crime Under Local and Special Laws","Suppression of Immoral Traffic in Women and Girls Act","NA","NA","NA","NA","1.06",""
"1970-01-01T05:30:00Z","Crime Under Local and Special Laws","Motor Vehicles Act","NA","NA","NA","NA","0.98",""
"1970-01-01T05:30:00Z","Crime Under Local and Special Laws","Prevention of Corruption Act","NA","NA","NA","NA","1.06",""
"1970-01-01T05:30:00Z","Crime Under Local and Special Laws","Customs Act","NA","NA","NA","NA","1.06",""
"1970-01-01T05:30:00Z","Crime Under Local and Special Laws","Indian Railways Act","NA","NA","NA","NA","1.11",""
"1970-01-01T05:30:00Z","Crime Under Local and Special Laws","Other Offences","NA","NA","NA","NA","1.02",""
"1970-01-01T05:30:00Z","Crime Under Local and Special Laws","Total Cognizable Crimes","NA","NA","NA","NA","1.04",""
