"Date","Code","CommodityId","CommodityName","DistrictName","DistrictCode","Stock","CommodityStock","TotalStock"
"1970-01-01T05:30:00Z","State","Andhra Pradesh","369","4855","396","373","4455","1329"
"1970-01-01T05:30:00Z","State","Assam","535","6588","3519","1350","2254","3533"
"1970-01-01T05:30:00Z","State","Bihar","418","5897","594","594","5127","19275"
"1970-01-01T05:30:00Z","State","Gujarat","219","3165","80","156","3148","1875"
"1970-01-01T05:30:00Z","State","Haryana","323","803","41","334","751","970"
"1970-01-01T05:30:00Z","State","Himachal Pradesh","45","301","38","59","249","188"
"1970-01-01T05:30:00Z","State","Jammu & Kashmir","17","815","NA","4","828","1447"
"1970-01-01T05:30:00Z","State","Kerala","301","1610","37","278","1596","1013"
"1970-01-01T05:30:00Z","State","Madhya Pradesh","602","9279","239","569","9073","14331"
"1970-01-01T05:30:00Z","State","Maharashtra","1342","11859","1361","1155","10685","9356"
"1970-01-01T05:30:00Z","State","Manipur","26","115","105","7","29","246"
"1970-01-01T05:30:00Z","State","Mysore","155","3552","106","139","3462","1758"
"1970-01-01T05:30:00Z","State","Nagaland","40","72","27","29","56","27"
"1970-01-01T05:30:00Z","State","Orissa","25","4525","108","41","4401","7305"
"1970-01-01T05:30:00Z","State","Punjab","302","744","60","275","711","768"
"1970-01-01T05:30:00Z","State","Rajasthan","341","4443","357","329","4098","9493"
"1970-01-01T05:30:00Z","State","Tamil Nadu","280","4759","187","135","4717","581"
"1970-01-01T05:30:00Z","State","Tripura","61","398","280","65","114","144"
"1970-01-01T05:30:00Z","State","Uttar Pradesh","1629","14869","939","1529","14030","23205"
"1970-01-01T05:30:00Z","State","West Bengal","846","7193","3815","1702","2522","8499"
"1970-01-01T05:30:00Z","State","Total (States)","7876","85842","12289","9123","72306","105343"
"1970-01-01T05:30:00Z","UT","A & N Islands","7","33","4","15","21","8"
"1970-01-01T05:30:00Z","UT","Chandigarh","16","71","12","44","31","31"
"1970-01-01T05:30:00Z","UT","D & N Haveli","NA","11","NA","NA","11","19"
"1970-01-01T05:30:00Z","UT","Delhi","NA","774","NA","NA","774","923"
"1970-01-01T05:30:00Z","UT","Goa, Daman & Diu","8","222","36","5","189","153"
"1970-01-01T05:30:00Z","UT","Lakshadweep","NA","1","NA","NA","1","1"
"1970-01-01T05:30:00Z","UT","Pondicherry","NA","72","5","NA","67","31"
"1970-01-01T05:30:00Z","UT","Total (UTs)","31","1184","57","64","1094","1166"
"1970-01-01T05:30:00Z","Total (All-India)","Total (All-India)","7907","87026","12346","9187","73400","106509"
"1970-01-01T05:30:00Z","City","Ahmedabad","16","218","3","25","206","87"
"1970-01-01T05:30:00Z","City","Bangalore","20","712","NA","NA","732","232"
"1970-01-01T05:30:00Z","City","Bombay","357","1423","150","266","1364","411"
"1970-01-01T05:30:00Z","City","Calcutta","75","1089","710","381","73","49"
"1970-01-01T05:30:00Z","City","Delhi","NA","640","NA","NA","640","789"
"1970-01-01T05:30:00Z","City","Hyderabad","47","441","NA","18","470","59"
"1970-01-01T05:30:00Z","City","Kanpur","17","285","9","21","272","473"
"1970-01-01T05:30:00Z","City","Madras","16","116","NA","27","105","NA"
"1970-01-01T05:30:00Z","City","Total (Cities)","548","4924","872","738","3862","2100"
