"Date","Code","CommodityId","CommodityName","DistrictName","DistrictCode","Stock","CommodityStock","TotalStock"
"1970-01-01T05:30:00Z","State","Andhra Pradesh","222","0.51","4","0.01","33814","77.53"
"1970-01-01T05:30:00Z","State","Assam","89","0.55","19","0.12","521","3.25"
"1970-01-01T05:30:00Z","State","Bihar","569","1.01","3","0.01","399","0.71"
"1970-01-01T05:30:00Z","State","Gujarat","355","1.32","NA","NA","15152","56.42"
"1970-01-01T05:30:00Z","State","Haryana","920","9.18","1613","16.09","1344","13.41"
"1970-01-01T05:30:00Z","State","Himachal Pradesh","82","2.39","34","0.99","13","0.38"
"1970-01-01T05:30:00Z","State","Jammu & Kashmir","109","2.35","NA","NA","60","1.29"
"1970-01-01T05:30:00Z","State","Kerala","92","0.43","NA","NA","616","2.88"
"1970-01-01T05:30:00Z","State","Madhya Pradesh","1204","2.87","421","1","20248","48.31"
"1970-01-01T05:30:00Z","State","Maharashtra","152","0.3","6","0.01","35475","70.09"
"1970-01-01T05:30:00Z","State","Manipur","12","1.12","NA","NA","76","7.07"
"1970-01-01T05:30:00Z","State","Mysore","180","0.61","12","0.04","5431","18.47"
"1970-01-01T05:30:00Z","State","Nagaland","63","12.19","2","0.39","3","0.58"
"1970-01-01T05:30:00Z","State","Orissa","174","0.79","40","0.18","394","1.79"
"1970-01-01T05:30:00Z","State","Punjab","4016","29.67","7580","55.99","2654","19.61"
"1970-01-01T05:30:00Z","State","Rajasthan","382","1.48","494","1.91","947","3.66"
"1970-01-01T05:30:00Z","State","Tamil Nadu","168","0.41","50","0.12","36464","88.28"
"1970-01-01T05:30:00Z","State","Tripura","24","1.53","NA","NA","2","0.13"
"1970-01-01T05:30:00Z","State","Uttar Pradesh","13800","15.55","607","0.68","4702","5.3"
"1970-01-01T05:30:00Z","State","West Bengal","586","1.31","1","0","2302","5.15"
"1970-01-01T05:30:00Z","State","Total (States)","23199","4.27","10886","2","160617","29.53"
"1970-01-01T05:30:00Z","UT","A & N Islands","2","1.72","4","3.45","12","10.34"
"1970-01-01T05:30:00Z","UT","Chandigarh","7","2.72","33","12.84","104","40.47"
"1970-01-01T05:30:00Z","UT","D & N Haveli","1","1.35","NA","NA","NA","NA"
"1970-01-01T05:30:00Z","UT","Delhi","684","16.71","242","5.91","1464","39.77"
"1970-01-01T05:30:00Z","UT","Goa, Daman & Diu","13","1.51","4","0.46","687","79.79"
"1970-01-01T05:30:00Z","UT","Lakshadweep","NA","NA","NA","NA","NA","NA"
"1970-01-01T05:30:00Z","UT","Pondicherry","2","0.42","NA","NA","1153","243.25"
"1970-01-01T05:30:00Z","UT","Total (UTs)","709","12","283","4.79","3420","57.9"
"1970-01-01T05:30:00Z","Total (All-India)","Total (All-India)","23908","4.35","11169","2.03","164037","29.84"
"1970-01-01T05:30:00Z","City","Ahmedabad","3","0.17","NA","NA","2531","145.29"
"1970-01-01T05:30:00Z","City","Bangalore","16","0.97","12","0.73","563","34.04"
"1970-01-01T05:30:00Z","City","Bombay","3","0.05","NA","NA","12900","216.04"
"1970-01-01T05:30:00Z","City","Calcutta","71","2.25","NA","NA","1860","59.07"
"1970-01-01T05:30:00Z","City","Delhi","647","17.74","227","6.22","1354","37.13"
"1970-01-01T05:30:00Z","City","Hyderabad","1","0.06","NA","NA","1029","57.29"
"1970-01-01T05:30:00Z","City","Kanpur","1258","98.67","50","3.92","292","22.9"
"1970-01-01T05:30:00Z","City","Madras","3","0.09","8","0.25","5692","179.56"
"1970-01-01T05:30:00Z","City","Total (Cities)","2002","8.94","297","1.33","26221","117.04"
