"Date","Code","CommodityId","CommodityName","DistrictName","DistrictCode","Stock","CommodityStock","TotalStock"
"1970-01-01T05:30:00Z","State","Andhra Pradesh","98","94","3","4","144","2"
"1970-01-01T05:30:00Z","State","Assam","55","253","NA","3","206","25"
"1970-01-01T05:30:00Z","State","Bihar","90","286","NA","12","272","15"
"1970-01-01T05:30:00Z","State","Gujarat","1","NA","NA","NA","1","NA"
"1970-01-01T05:30:00Z","State","Haryana","955","7969","NA","24","7767","29"
"1970-01-01T05:30:00Z","State","Himachal Pradesh","152","1217","NA","4","1139","2"
"1970-01-01T05:30:00Z","State","Jammu & Kashmir","NA","10","NA","1","7","NA"
"1970-01-01T05:30:00Z","State","Kerala","NA","12","12","NA","NA","NA"
"1970-01-01T05:30:00Z","State","Madhya Pradesh","260","4743","NA","23","4740","86"
"1970-01-01T05:30:00Z","State","Maharashtra","NA","12","NA","NA","12","NA"
"1970-01-01T05:30:00Z","State","Manipur","149","195","NA","1","112","4"
"1970-01-01T05:30:00Z","State","Mysore","7006","7556","9","160","7164","1401"
"1970-01-01T05:30:00Z","State","Nagaland","NA","2","NA","NA","1","NA"
"1970-01-01T05:30:00Z","State","Orissa","NA","1013","NA","NA","1013","NA"
"1970-01-01T05:30:00Z","State","Punjab","6568","22321","NA","68","21296","158"
"1970-01-01T05:30:00Z","State","Rajasthan","108","768","NA","16","711","20"
"1970-01-01T05:30:00Z","State","Tamil Nadu","NA","4934","NA","11","4642","24"
"1970-01-01T05:30:00Z","State","Tripura","NA","11","NA","NA","11","NA"
"1970-01-01T05:30:00Z","State","Uttar Pradesh","1514","11181","NA","38","10776","119"
"1970-01-01T05:30:00Z","State","West Bengal","45","937","NA","3","939","6"
"1970-01-01T05:30:00Z","State","Total (States)","17001","63514","24","368","60953","1891"
"1970-01-01T05:30:00Z","UT","A & N Islands","126","689","NA","1","649","NA"
"1970-01-01T05:30:00Z","UT","Chandigarh","21","114","NA","1","111","2"
"1970-01-01T05:30:00Z","UT","D & N Haveli","NA","NA","NA","NA","NA","NA"
"1970-01-01T05:30:00Z","UT","Delhi","1426","3057","NA","8","3316","173"
"1970-01-01T05:30:00Z","UT","Goa, Daman & Diu","NA","NA","NA","NA","NA","NA"
"1970-01-01T05:30:00Z","UT","Lakshadweep","NA","NA","NA","NA","NA","NA"
"1970-01-01T05:30:00Z","UT","Pondicherry","NA","185","NA","NA","185","NA"
"1970-01-01T05:30:00Z","UT","Total (UTs)","1573","4045","NA","10","4261","175"
"1970-01-01T05:30:00Z","Total (All-India)","Total (All-India)","18574","67559","24","378","65214","2066"
"1970-01-01T05:30:00Z","City","Ahmedabad","NA","NA","NA","NA","NA","NA"
"1970-01-01T05:30:00Z","City","Bangalore","NA","515","NA","NA","432","NA"
"1970-01-01T05:30:00Z","City","Bombay","NA","NA","NA","NA","NA","NA"
"1970-01-01T05:30:00Z","City","Calcutta","NA","870","NA","NA","870","NA"
"1970-01-01T05:30:00Z","City","Delhi","1238","2665","NA","5","2845","163"
"1970-01-01T05:30:00Z","City","Hyderabad","NA","NA","NA","NA","NA","NA"
"1970-01-01T05:30:00Z","City","Kanpur","66","648","NA","1","594","1"
"1970-01-01T05:30:00Z","City","Madras","NA","249","NA","NA","249","NA"
"1970-01-01T05:30:00Z","City","Total (Cities)","1304","4947","NA","6","4990","164"
