"Date","Code","CommodityId","CommodityName","DistrictName","DistrictCode","Stock","CommodityStock","TotalStock"
"1970-01-01T05:30:00Z","State","Andhra Pradesh","195","1020","2","61","867","105"
"1970-01-01T05:30:00Z","State","Assam","381","494","NA","27","350","154"
"1970-01-01T05:30:00Z","State","Bihar","998","1423","NA","105","740","503"
"1970-01-01T05:30:00Z","State","Gujarat","83","702","2","34","614","64"
"1970-01-01T05:30:00Z","State","Haryana","41","194","NA","1","139","21"
"1970-01-01T05:30:00Z","State","Himachal Pradesh","18","43","NA","3","28","7"
"1970-01-01T05:30:00Z","State","Jammu & Kashmir","33","70","NA","1","60","6"
"1970-01-01T05:30:00Z","State","Kerala","66","431","3","11","372","26"
"1970-01-01T05:30:00Z","State","Madhya Pradesh","318","1727","NA","13","1442","291"
"1970-01-01T05:30:00Z","State","Maharashtra","420","1311","NA","68","984","253"
"1970-01-01T05:30:00Z","State","Manipur","133","25","NA","2","40","23"
"1970-01-01T05:30:00Z","State","Mysore","126","759","NA","49","598","102"
"1970-01-01T05:30:00Z","State","Nagaland","36","24","NA","NA","9","5"
"1970-01-01T05:30:00Z","State","Orissa","233","383","NA","28","307","83"
"1970-01-01T05:30:00Z","State","Punjab","163","604","NA","7","508","53"
"1970-01-01T05:30:00Z","State","Rajasthan","139","555","NA","66","393","90"
"1970-01-01T05:30:00Z","State","Tamil Nadu","133","785","6","34","767","34"
"1970-01-01T05:30:00Z","State","Tripura","11","45","NA","3","20","22"
"1970-01-01T05:30:00Z","State","Uttar Pradesh","852","3572","NA","130","2417","938"
"1970-01-01T05:30:00Z","State","West Bengal","844","1851","NA","31","377","575"
"1970-01-01T05:30:00Z","State","Total (States)","5223","16018","13","674","11032","3355"
"1970-01-01T05:30:00Z","UT","A & N Islands","3","12","NA","7","5","NA"
"1970-01-01T05:30:00Z","UT","Chandigarh","6","7","NA","1","8","1"
"1970-01-01T05:30:00Z","UT","D & N Haveli","NA","3","NA","NA","2","NA"
"1970-01-01T05:30:00Z","UT","Delhi","73","113","NA","15","93","23"
"1970-01-01T05:30:00Z","UT","Goa, Daman & Diu","6","18","NA","1","9","2"
"1970-01-01T05:30:00Z","UT","Lakshadweep","NA","NA","NA","NA","NA","NA"
"1970-01-01T05:30:00Z","UT","Pondicherry","NA","9","NA","NA","9","NA"
"1970-01-01T05:30:00Z","UT","Total (UTs)","88","162","NA","24","126","26"
"1970-01-01T05:30:00Z","Total (All-India)","Total (All-India)","5311","16180","13","698","11158","3381"
"1970-01-01T05:30:00Z","City","Ahmedabad","6","31","NA","1","23","8"
"1970-01-01T05:30:00Z","City","Bangalore","7","22","NA","2","14","11"
"1970-01-01T05:30:00Z","City","Bombay","42","131","NA","2","121","2"
"1970-01-01T05:30:00Z","City","Calcutta","27","285","NA","NA","76","142"
"1970-01-01T05:30:00Z","City","Delhi","59","94","NA","14","77","18"
"1970-01-01T05:30:00Z","City","Hyderabad","7","16","NA","3","11","4"
"1970-01-01T05:30:00Z","City","Kanpur","9","54","NA","1","42","7"
"1970-01-01T05:30:00Z","City","Madras","7","20","NA","NA","18","2"
"1970-01-01T05:30:00Z","City","Total (Cities)","164","653","NA","23","382","194"
