"Date","Code","CommodityId","CommodityName","DistrictName","DistrictCode","Stock","CommodityStock","TotalStock"
"1970-01-01T05:30:00Z","State","Andhra Pradesh","1","4","NA","NA","3","1"
"1970-01-01T05:30:00Z","State","Assam","13","19","NA","NA","16","2"
"1970-01-01T05:30:00Z","State","Bihar","2","3","NA","NA","2","NA"
"1970-01-01T05:30:00Z","State","Gujarat","1","NA","NA","NA","1","NA"
"1970-01-01T05:30:00Z","State","Haryana","259","1613","NA","19","1504","13"
"1970-01-01T05:30:00Z","State","Himachal Pradesh","3","34","NA","NA","33","NA"
"1970-01-01T05:30:00Z","State","Jammu & Kashmir","NA","NA","NA","NA","NA","NA"
"1970-01-01T05:30:00Z","State","Kerala","1","NA","NA","NA","1","NA"
"1970-01-01T05:30:00Z","State","Madhya Pradesh","17","421","NA","NA","394","19"
"1970-01-01T05:30:00Z","State","Maharashtra","9","6","NA","NA","10","NA"
"1970-01-01T05:30:00Z","State","Manipur","6","NA","NA","NA","5","NA"
"1970-01-01T05:30:00Z","State","Mysore","1","12","NA","NA","11","NA"
"1970-01-01T05:30:00Z","State","Nagaland","NA","2","NA","NA","2","NA"
"1970-01-01T05:30:00Z","State","Orissa","20","40","NA","3","39","1"
"1970-01-01T05:30:00Z","State","Punjab","2183","7580","NA","39","7339","66"
"1970-01-01T05:30:00Z","State","Rajasthan","64","494","NA","10","367","25"
"1970-01-01T05:30:00Z","State","Tamil Nadu","13","50","NA","NA","59","NA"
"1970-01-01T05:30:00Z","State","Tripura","NA","NA","NA","NA","NA","NA"
"1970-01-01T05:30:00Z","State","Uttar Pradesh","210","607","NA","4","588","19"
"1970-01-01T05:30:00Z","State","West Bengal","1","1","NA","NA","1","NA"
"1970-01-01T05:30:00Z","State","Total (States)","2804","10886","NA","75","10375","146"
"1970-01-01T05:30:00Z","UT","A & N Islands","NA","4","NA","NA","4","NA"
"1970-01-01T05:30:00Z","UT","Chandigarh","9","33","NA","1","32","1"
"1970-01-01T05:30:00Z","UT","D & N Haveli","NA","NA","NA","NA","NA","NA"
"1970-01-01T05:30:00Z","UT","Delhi","105","242","NA","4","239","19"
"1970-01-01T05:30:00Z","UT","Goa, Daman & Diu","NA","4","NA","NA","4","NA"
"1970-01-01T05:30:00Z","UT","Lakshadweep","NA","NA","NA","NA","NA","NA"
"1970-01-01T05:30:00Z","UT","Pondicherry","NA","","NA","NA","NA","NA"
"1970-01-01T05:30:00Z","UT","Total (UTs)","114","283","NA","5","279","20"
"1970-01-01T05:30:00Z","Total (All-India)","Total (All-India)","2918","11169","NA","80","10654","166"
"1970-01-01T05:30:00Z","City","Ahmedabad","NA","NA","NA","NA","NA","NA"
"1970-01-01T05:30:00Z","City","Bangalore","1","12","NA","NA","11","NA"
"1970-01-01T05:30:00Z","City","Bombay","1","NA","NA","NA","1","NA"
"1970-01-01T05:30:00Z","City","Calcutta","NA","NA","NA","NA","NA","NA"
"1970-01-01T05:30:00Z","City","Delhi","103","227","NA","4","229","19"
"1970-01-01T05:30:00Z","City","Hyderabad","NA","NA","NA","NA","NA","NA"
"1970-01-01T05:30:00Z","City","Kanpur","8","50","NA","1","42","1"
"1970-01-01T05:30:00Z","City","Madras","NA","8","NA","NA","8","NA"
"1970-01-01T05:30:00Z","City","Total (Cities)","113","297","NA","5","291","20"
