"Date","Code","CommodityId","CommodityName","DistrictName","DistrictCode","Stock","CommodityStock","TotalStock"
"1970-01-01T05:30:00Z","State","Andhra Pradesh","501","121","20.39","1.77","8.68",""
"1970-01-01T05:30:00Z","State","Assam","417","30","9.05","0.07","0.77",""
"1970-01-01T05:30:00Z","State","Bihar","766","62","7.67","0.31","4.04",""
"1970-01-01T05:30:00Z","State","Gujarat","817","320","31.47","7.97","25.32",""
"1970-01-01T05:30:00Z","State","Haryana","105","78","3.15","1.61","51.11",""
"1970-01-01T05:30:00Z","State","Himachal Pradesh","56","5","0.81","0.04","4.94",""
"1970-01-01T05:30:00Z","State","Jammu & Kashmir","53","30","1.18","0.82","69.49",""
"1970-01-01T05:30:00Z","State","Kerala","316","97","12.23","1.92","15.7",""
"1970-01-01T05:30:00Z","State","Madhya Pradesh","697","315","12.17","1.23","10.11",""
"1970-01-01T05:30:00Z","State","Maharashtra","2756","654","85.26","8.48","9.95",""
"1970-01-01T05:30:00Z","State","Manipur","49","2","1.94","NA","NA",""
"1970-01-01T05:30:00Z","State","Mysore","534","259","17.82","3.26","18.29",""
"1970-01-01T05:30:00Z","State","Nagaland","46","8","0.67","0.06","8.96",""
"1970-01-01T05:30:00Z","State","Orissa","378","126","4.87","0.89","18.27",""
"1970-01-01T05:30:00Z","State","Punjab","244","129","16.35","5.93","36.27",""
"1970-01-01T05:30:00Z","State","Rajasthan","470","183","7.23","3.63","50.2",""
"1970-01-01T05:30:00Z","State","Tamil Nadu","940","607","7.06","3.16","44.76",""
"1970-01-01T05:30:00Z","State","Tripura","16","3","0.22","NA","NA",""
"1970-01-01T05:30:00Z","State","Uttar Pradesh","5337","174","75.92","16.08","21.18",""
"1970-01-01T05:30:00Z","State","West Bengal","1076","154","25.7","4.01","15.6",""
"1970-01-01T05:30:00Z","State","Total (States)","15574","3357","341.16","61.24","17.65",""
"1970-01-01T05:30:00Z","UT","A & N Islands","5","1","0.03","NA","0",""
"1970-01-01T05:30:00Z","UT","Chandigarh","46","3","0.94","0.23","24.47",""
"1970-01-01T05:30:00Z","UT","D & N Haveli","3","2","0.22","0.02","9.09",""
"1970-01-01T05:30:00Z","UT","Delhi","572","77","78.91","2.16","2.74",""
"1970-01-01T05:30:00Z","UT","Goa, Daman & Diu","42","30","3.45","0.18","5.22",""
"1970-01-01T05:30:00Z","UT","Lakshadweep","NA","NA","NA","NA","NA",""
"1970-01-01T05:30:00Z","UT","Pondicherry","41","18","0.29","0.17","58.62",""
"1970-01-01T05:30:00Z","UT","Total (UTs)","709","131","83.84","2.76","3.29",""
"1970-01-01T05:30:00Z","Total (All-India)","Total (All-India)","16283","3488","425","64","15.06",""
"1970-01-01T05:30:00Z","City","Ahmedabad","62","35","2.05","0.77","37.56",""
"1970-01-01T05:30:00Z","City","Bangalore","196","86","3.94","1.73","43.9",""
"1970-01-01T05:30:00Z","City","Bombay","1003","192","15.01","4.17","27.78",""
"1970-01-01T05:30:00Z","City","Calcutta","354","40","15.46","1.24","8.02",""
"1970-01-01T05:30:00Z","City","Delhi","544","72","78.01","2.08","2.67",""
"1970-01-01T05:30:00Z","City","Hyderabad","95","21","6.02","0.58","9.63",""
"1970-01-01T05:30:00Z","City","Kanpur","702","18","10.38","0.19","1.83",""
"1970-01-01T05:30:00Z","City","Madras","400","281","1.14","0.78","68.42",""
"1970-01-01T05:30:00Z","City","Total (Cities)","3356","745","132.01","11.54","8.74",""
