"Date","Code","CommodityId","CommodityName","DistrictName","DistrictCode","Stock","CommodityStock","TotalStock"
"1970-01-01T05:30:00Z","State","Andhra Pradesh","454","10","NA","NA","464",""
"1970-01-01T05:30:00Z","State","Assam","460","4","NA","NA","464",""
"1970-01-01T05:30:00Z","State","Bihar","813","168","NA","NA","981",""
"1970-01-01T05:30:00Z","State","Gujarat","1004","14","9","NA","1027",""
"1970-01-01T05:30:00Z","State","Haryana","114","71","3","NA","188",""
"1970-01-01T05:30:00Z","State","Himachal Pradesh","64","NA","NA","NA","64",""
"1970-01-01T05:30:00Z","State","Jammu & Kashmir","40","6","2","1","49",""
"1970-01-01T05:30:00Z","State","Kerala","300","3","NA","3","306",""
"1970-01-01T05:30:00Z","State","Madhya Pradesh","706","44","4","6","760",""
"1970-01-01T05:30:00Z","State","Maharashtra","2213","165","17","11","2406",""
"1970-01-01T05:30:00Z","State","Manipur","64","NA","NA","NA","64",""
"1970-01-01T05:30:00Z","State","Mysore","713","21","3","NA","737",""
"1970-01-01T05:30:00Z","State","Nagaland","NA","NA","NA","NA","NA",""
"1970-01-01T05:30:00Z","State","Orissa","390","2","NA","NA","392",""
"1970-01-01T05:30:00Z","State","Punjab","364","37","4","1","406",""
"1970-01-01T05:30:00Z","State","Rajasthan","368","NA","NA","NA","368",""
"1970-01-01T05:30:00Z","State","Tamil Nadu","702","34","9","4","749",""
"1970-01-01T05:30:00Z","State","Tripura","36","NA","NA","NA","36",""
"1970-01-01T05:30:00Z","State","Uttar Pradesh","1982","50","16","2","2050",""
"1970-01-01T05:30:00Z","State","West Bengal","NA","NA","NA","NA","NA",""
"1970-01-01T05:30:00Z","State","Total (States)","10787","629","67","28","11511",""
"1970-01-01T05:30:00Z","UT","A & N Islands","5","NA","NA","NA","5",""
"1970-01-01T05:30:00Z","UT","Chandigarh","57","NA","NA","1","58",""
"1970-01-01T05:30:00Z","UT","D & N Haveli","2","NA","NA","NA","2",""
"1970-01-01T05:30:00Z","UT","Delhi","192","NA","NA","NA","192",""
"1970-01-01T05:30:00Z","UT","Goa, Daman & Diu","32","3","NA","NA","35",""
"1970-01-01T05:30:00Z","UT","Lakshadweep","NA","NA","NA","NA","NA",""
"1970-01-01T05:30:00Z","UT","Pondicherry","34","NA","NA","NA","34",""
"1970-01-01T05:30:00Z","UT","Total (UTs)","322","3","NA","1","326",""
"1970-01-01T05:30:00Z","Total (All-India)","Total (All-India)","11109","632","67","29","11837",""
"1970-01-01T05:30:00Z","City","Ahmedabad","59","1","NA","NA","60",""
"1970-01-01T05:30:00Z","City","Bangalore","134","NA","NA","NA","134",""
"1970-01-01T05:30:00Z","City","Bombay","544","51","13","6","614",""
"1970-01-01T05:30:00Z","City","Calcutta","NA","NA","NA","NA","NA",""
"1970-01-01T05:30:00Z","City","Delhi","178","NA","NA","NA","178",""
"1970-01-01T05:30:00Z","City","Hyderabad","56","NA","NA","NA","56",""
"1970-01-01T05:30:00Z","City","Kanpur","25","NA","NA","NA","25",""
"1970-01-01T05:30:00Z","City","Madras","218","28","11","7","264",""
"1970-01-01T05:30:00Z","City","Total (Cities)","1214","80","24","13","1331",""
