"Date","Code","CommodityId","CommodityName","DistrictName","DistrictCode","Stock","CommodityStock","TotalStock"
"1970-01-01T05:30:00Z","State","Andhra Pradesh","1028","22","36","3","1089",""
"1970-01-01T05:30:00Z","State","Assam","1135","6","3","NA","1144",""
"1970-01-01T05:30:00Z","State","Bihar","3346","249","45","86","3726",""
"1970-01-01T05:30:00Z","State","Gujarat","256","2","1","1","260",""
"1970-01-01T05:30:00Z","State","Haryana","6","NA","NA","NA","6",""
"1970-01-01T05:30:00Z","State","Himachal Pradesh","NA","NA","NA","NA","NA",""
"1970-01-01T05:30:00Z","State","Jammu & Kashmir","8","3","NA","NA","11",""
"1970-01-01T05:30:00Z","State","Kerala","151","NA","NA","1","152",""
"1970-01-01T05:30:00Z","State","Madhya Pradesh","1495","54","6","1","1556",""
"1970-01-01T05:30:00Z","State","Maharashtra","1629","85","17","7","1738",""
"1970-01-01T05:30:00Z","State","Manipur","27","NA","NA","NA","27",""
"1970-01-01T05:30:00Z","State","Mysore","388","21","6","NA","415",""
"1970-01-01T05:30:00Z","State","Nagaland","NA","NA","NA","NA","NA",""
"1970-01-01T05:30:00Z","State","Orissa","493","15","10","5","523",""
"1970-01-01T05:30:00Z","State","Punjab","12","NA","1","1","14",""
"1970-01-01T05:30:00Z","State","Rajasthan","305","8","2","NA","315",""
"1970-01-01T05:30:00Z","State","Tamil Nadu","72","15","5","NA","92",""
"1970-01-01T05:30:00Z","State","Tripura","153","4","NA","NA","157",""
"1970-01-01T05:30:00Z","State","Uttar Pradesh","19220","1535","596","373","21724",""
"1970-01-01T05:30:00Z","State","West Bengal","NA","NA","NA","NA","NA",""
"1970-01-01T05:30:00Z","State","Total (States)","29724","2019","728","478","32949",""
"1970-01-01T05:30:00Z","UT","A & N Islands","NA","NA","NA","NA","NA",""
"1970-01-01T05:30:00Z","UT","Chandigarh","NA","NA","NA","NA","NA",""
"1970-01-01T05:30:00Z","UT","D & N Haveli","NA","NA","NA","NA","NA",""
"1970-01-01T05:30:00Z","UT","Delhi","81","NA","NA","NA","81",""
"1970-01-01T05:30:00Z","UT","Goa, Daman & Diu","1","NA","NA","NA","1",""
"1970-01-01T05:30:00Z","UT","Lakshadweep","NA","NA","NA","NA","NA",""
"1970-01-01T05:30:00Z","UT","Pondicherry","NA","NA","NA","NA","NA",""
"1970-01-01T05:30:00Z","UT","Total (UTs)","82","NA","NA","NA","82",""
"1970-01-01T05:30:00Z","Total (All-India)","Total (All-India)","29806","2019","728","478N","33031",""
"1970-01-01T05:30:00Z","City","Ahmedabad","25","1","NA","NA","26",""
"1970-01-01T05:30:00Z","City","Bangalore","NA","NA","NA","NA","NA",""
"1970-01-01T05:30:00Z","City","Bombay","118","8","NA","NA","126",""
"1970-01-01T05:30:00Z","City","Calcutta","NA","NA","NA","NA","NA",""
"1970-01-01T05:30:00Z","City","Delhi","48","NA","NA","NA","48",""
"1970-01-01T05:30:00Z","City","Hyderabad","NA","NA","NA","NA","NA",""
"1970-01-01T05:30:00Z","City","Kanpur","40","4","2","1","47",""
"1970-01-01T05:30:00Z","City","Madras","NA","NA","NA","NA","NA",""
"1970-01-01T05:30:00Z","City","Total (Cities)","231","13","2","1","247",""
