SL. No.,Category,States/U.Ts/Cities,Arms Act - Incidence (I),Arms Act - Volume (V),Opium Act - Incidence (I),Opium Act - Volume (V),Gambling Act - Incidence (I),Gambling Act - Volume (V),Excise Act - Incidence (I),Excise Act - Volume (V),Customs Act - Incidence (I),Customs Act - Volume (V),Explosives & Explosive Substances Act - Incidence (I),Explosives & Explosive Substances Act - Volume (V),Prohibition Act - Incidence (I),Prohibition Act - Volume (V),Suppression of Immoral Traffic in Women and Girls Act - Incidence (I),Suppression of Immoral Traffic in Women and Girls Act - Volume (V),Motor Vehicles Act - Incidence (I),Motor Vehicles Act - Volume (V),Prevention of Corruption Act - Incidence (I),Prevention of Corruption Act - Volume (V),Indian Railways Act - Incidence (I),Indian Railways Act - Volume (V),Other offences - Incidence (I),Other offences - Volume (V),Grand Total - Incidence (I),Grand Total - Volume (V)
1,State,Andhra Pradesh,152,2.34,3,0.01,33899,76.06,10213,22.91,1,NA,51,0.11,NA,NA,1318,2.96,41470,93.04,299,0.67,33,0.07,218134,489.41,305573,685.59
2,State,Assam,80,0.52,18,0.12,329,2.17,380,2.5,NA,NA,27,0.18,7,0.05,3,0.02,1370,9.02,NA,NA,33,0.22,2959,19.48,5206,34.27
3,State,Bihar,582,1,1,NA,381,0.67,320,0.56,2,NA,170,0.3,2,NA,6,NA,1945,3.37,14,NA,248,0.43,1083,1.87,4754,8.24
4,State,Gujarat,291,1.06,NA,NA,16905,61.37,NA,NA,NA,NA,29,0.11,64534,234.29,5,0.02,131,0.48,NA,NA,810,2.94,24869,90.29,107574,390.56
5,State,Haryana,1105,10.71,1930,18.71,1634,15.84,9422,91.32,NA,NA,18,0.17,NA,NA,1,0.01,NA,NA,23,0.22,150,1.45,5104,49.47,19387,187.9
6,State,Himachal Pradesh,61,1.74,33,0.94,22,0.63,1536,43.81,NA,NA,9,0.26,NA,NA,NA,NA,15042,429.04,6,0.17,5,0.14,91,2.68,16805,479.32
7,State,Jammu & Kashmir,28,0.59,NA,NA,90,1.9,11,0.23,NA,NA,4,0.08,NA,NA,NA,NA,858,18.12,11,0.23,NA,NA,416,8.79,1418,29.95
8,State,Karnataka,123,0.41,3,0.01,5298,17.64,4786,15.93,3,0.01,50,0.17,161,0.54,1787,5.95,239357,796.74,5,0.02,24,0.08,47614,158.49,299211,995.97
9,State,Kerala,100,0.46,NA,NA,622,2.83,3,0.01,NA,NA,43,0.2,NA,NA,47,0.21,2,0.01,NA,NA,153,0.7,995,4.53,1965,8.94
10,State,Madhya Pradesh,1173,2.73,463,1.08,19959,46.46,6984,16.26,NA,NA,158,0.37,111,0.26,4,0.01,101249,235.69,4,0.01,779,1.81,47865,111.41,178749,416.09
11,State,Maharashtra,250,0.48,14,0.03,36064,69.6,NA,NA,NA,NA,531,1.02,149463,288.45,164,0.32,11857,22.88,6,0.01,3237,6.25,326925,630.95,528511,1019.99
12,State,Manipur,19,1.72,1,0.09,88,7.99,392,35.57,NA,NA,2,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,12.98,645,58.53
13,State,Meghalaya,16,1.54,NA,NA,242,23.31,9,0.87,NA,NA,NA,NA,NA,NA,7,0.67,69,6.65,NA,NA,NA,NA,64,6.17,407,39.21
14,State,Nagaland,64,12.39,2,0.39,2,0.39,3,0.58,NA,NA,5,0.97,2,0.39,NA,NA,100,19.36,NA,NA,1,0.19,201,38.92,380,73.58
15,State,Orissa,196,0.87,36,0.16,430,1.91,2101,9.33,NA,NA,17,0.08,NA,NA,NA,NA,NA,NA,2,0.01,36,0.16,567,2.52,3385,15.03
16,State,Punjab,3562,25.67,7094,51.13,2638,19.09,21715,156.52,NA,NA,35,0.25,NA,NA,3,0.02,115793,834.6,145,1.05,138,0.99,708,5.1,151831,1094.3
17,State,Rajasthan,358,1.35,607,2.28,1206,4.55,907,3.42,NA,NA,9,0.03,136,0.51,6,0.02,29840,112.46,NA,NA,324,1.22,1088,4.1,34481,129.95
18,State,Tamil Nadu,108,0.26,50,0.12,42473,100.61,57063,135.17,20,0.05,122,0.29,4977,11.79,4750,11.25,140974,333.93,NA,NA,15564,36.87,374546,887.21,640647,1517.55
19,State,Tripura,17,1.06,NA,NA,6,0.38,80,5.01,NA,NA,8,0.5,15,NA,NA,NA,5353,334.93,NA,NA,NA,NA,518,32.41,5997,375.23
20,State,Uttar Pradesh,17477,19.37,861,0.95,5691,6.3,13062,14.47,NA,NA,125,0.14,24,0.02,181,0.2,30220,33.49,7,0.01,1189,1.31,25445,28.2,94282,104.5
21,State,West Bengal,691,1.52,NA,NA,3607,7.92,1502,0.33,2,NA,623,1.37,NA,NA,21,0.05,13407,29.42,2,NA,1251,2.95,77527,170.16,98633,216.49
Total (States),State,Total (States),26453,4.76,11116,2.01,171586,30.89,130489,23.49,28,0.01,2036,0.37,219432,39.5,8303,1.49,749037,134.83,524,0.09,23975,4.31,1156862,208.24,2499841,449.98
22,UT,A & N Islands,2,1.69,2,1.69,20,16.94,841,712.71,NA,NA,NA,NA,NA,NA,NA,NA,11,9.32,NA,NA,NA,NA,15,12.71,891,755.08
23,UT,Chandigarh,13,4.94,38,14.45,115,43.73,142,53.99,NA,NA,1,0.38,NA,NA,NA,NA,NA,NA,4,1.52,1,0.38,159,60.46,473,179.85
24,UT,D & N Haveli,1,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.3,NA,NA,NA,NA,4,5.26,6,7.89
25,UT,Delhi,833,19.31,300,6.96,1654,38.35,2762,64.04,NA,NA,8,0.19,NA,NA,80,1.85,NA,NA,28,0.65,149,3.45,378,8.76,6192,143.57
26,UT,Goa,9,1.02,2,0.22,1814,206.14,NA,NA,NA,NA,NA,NA,NA,NA,1,0.12,NA,NA,1,0.11,2,0.22,110,1.7,1939,220.34
27,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,UT,Pondicherry,NA,NA,1,0.21,995,205.58,95,19.63,NA,NA,3,0.62,NA,NA,NA,NA,1022,211.16,NA,NA,NA,NA,3517,726.65,5633,1163.84
Total (UTs),UT,Total (UTs),858,13.91,343,5.56,4598,74.56,3840,62.26,NA,NA,12,0.19,NA,NA,81,1.31,1034,16.77,33,0.54,152,2.46,4183,66.29,15134,245.4
Total (All-India),Total (All-India),Total (All-India),27311,4.86,11459,2.04,176184,31.37,134329,23.92,28,0.01,2048,0.36,219432,39.06,8384,1.49,750071,133.54,557,0.09,24127,4.3,1161045,206.7,2514975,447.78
1,City,Ahmedabad,6,0.36,NA,NA,2557,153.48,NA,NA,NA,NA,NA,NA,4439,266.45,NA,NA,101,6.06,NA,NA,NA,NA,12861,771.97,19964,1198.32
2,City,Bangalore,5,0.2,3,0.15,567,36.4,75,4.1,NA,NA,10,0.06,NA,NA,576,31.8,147942,8178.1,NA,NA,NA,NA,11150,414.3,160328,8842.8
3,City,Bombay,3,0.05,NA,NA,12626,199.81,NA,NA,NA,NA,521,8.24,36823,582.73,142,2.25,11680,184.84,NA,NA,NA,NA,290842,4602.63,352637,5580.55
4,City,Calcutta,57,1.79,NA,NA,3142,98.77,1368,43.01,NA,NA,90,2.83,NA,NA,21,0.66,8487,266.8,NA,NA,NA,NA,67642,2126.43,80807,2540.3
5,City,Delhi,805,20.58,273,6.98,1580,40.39,2316,59.2,NA,NA,7,0.18,NA,NA,79,2.02,NA,NA,27,0.69,149,3.81,326,8.33,5562,142.18
6,City,Hyderabad,4,0.24,NA,NA,2093,123.05,NA,NA,NA,NA,3,0.18,NA,NA,433,25.46,14024,824.46,NA,NA,NA,NA,83450,4905.93,100007,5879.3
7,City,Kanpur,1460,121.46,79,6.57,308,25.62,964,80.2,NA,NA,1,0.08,NA,NA,58,4.83,2017,167.8,NA,0.25,3,NA,1718,142.92,6608,549.75
8,City,Madras,1,0.04,9,0.34,4047,155.06,5324,203.98,NA,NA,6,0.23,167,6.4,572,21.92,58882,2256.02,NA,NA,NA,NA,186434,7143.07,255442,9787.05
Total (Cities),City,Total (Cities),2341,10.54,364,1.64,26920,121.23,10047,45.24,NA,NA,638,2.87,41429,186.58,1881,8.47,243133,1094.6,27,0.12,152,0.68,654423,2947.32,981355,4419.72
