SL. No.,Category,States/U.Ts./Cities,Number of Occasions Firing was Resorted to by the Police - Riot Control Operation,Number of Occasions Firing was Resorted to by the Police - Dacoity Operation,Number of Occasions Firing was Resorted to by the Police - Against Other Criminals,Number of Occasions Firing was Resorted to by the Police - Total,Civilians - Killed,Civilians - Injured,Policemen - Killed,Policemen - Injured
1,State,Andhra Pradesh,33,3,21,57,51,103,2,268
2,State,Assam,5,1,2,8,8,23,NA,22
3,State,Bihar,6,1,1,8,11,12,NA,15
4,State,Gujarat,9,1,5,15,8,27,NA,16
5,State,Haryana,1,1,1,3,3,NA,NA,4
6,State,Himachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA
7,State,Jammu and Kashmir,NA,NA,NA,NA,NA,NA,NA,NA
8,State,Karnataka,5,NA,3,8,6,17,NA,37
9,State,Kerala,4,NA,NA,4,NA,3,NA,NA
10,State,Madhya Pradesh,2,42,14,58,16,11,6,40
11,State,Maharashtra,10,2,2,14,16,22,NA,213
12,State,Manipur,NA,NA,NA,NA,NA,NA,NA,NA
13,State,Meghalaya,NA,NA,NA,NA,NA,NA,NA,NA
14,State,Nagaland,NA,NA,NA,NA,NA,NA,NA,NA
15,State,Orissa,2,NA,1,3,6,2,NA,1
16,State,Punjab,2,NA,19,21,21,39,NA,61
17,State,Rajasthan,NA,6,NA,6,12,NA,1,NA
18,State,Tamil Nadu,15,NA,NA,15,16,224,1,100
19,State,Tripura,NA,NA,NA,NA,NA,NA,NA,NA
20,State,Uttar Pradesh,15,158,12,185,60,131,5,94
21,State,West Bengal,43,11,98,152,25,26,2,28
Total (States),State,Total (States),152,226,179,557,259,640,17,899
22,UT,A & N Islands,NA,NA,NA,NA,NA,NA,NA,NA
23,UT,Chandigarh,NA,NA,NA,NA,NA,NA,NA,NA
24,UT,D & N Haveli,NA,NA,NA,NA,NA,NA,NA,NA
25,UT,Delhi,2,NA,NA,2,2,NA,NA,15
26,UT,Goa,NA,NA,1,1,NA,NA,NA,NA
27,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA
28,UT,Pondicherry,NA,NA,NA,NA,NA,NA,NA,NA
Total (UTs),UT,Total (UTs),2,NA,1,3,2,NA,NA,15
Total (All-India),Total (All-India),Total (All-India),154,226,180,560,261,640,17,914
1,City,Ahmedabad,1,NA,1,2,2,3,NA,13
2,City,Bangalore,NA,NA,NA,NA,NA,NA,NA,NA
3,City,Bombay,2,NA,1,3,1,4,NA,NA
4,City,Calcutta,14,NA,10,24,8,6,NA,7
5,City,Delhi,2,NA,NA,2,2,NA,NA,15
6,City,Hyderabad,4,NA,NA,4,1,16,NA,46
7,City,Kanpur,NA,NA,NA,NA,NA,NA,NA,NA
8,City,Madras,NA,NA,NA,NA,NA,NA,NA,NA
Total (Cities),City,Total (Cities),23,NA,12,35,14,29,NA,81
