SL. No.,Heads of Crime,Total Cases for Trial During the Year,Cases Compounded or Withdrawn,Cases in which Trials were Completed,Cases Convicted,Cases Pending Trial at the End of the year
1,Arms Act,62807,122,20093,14855,42592
2,Opium Act,19438,42,10375,8312,9021
3,Gambling Act,247811,502,184341,166673,62968
4,Excise Act,186270,3116,108003,82957,75151
5,Prohibition Act,34,3,5,4,26
6,Explosives & Explosive Substances Act,2351,27,1146,874,1178
7,Suppression of Immoral Traffic Act,258220,2735,125409,64939,130076
8,Motor Vehicles Act,12704,31,11104,10405,1569
9,Prevention of Corruption Act,960019,8301,613476,582407,338242
10,Customs Act,700,9,224,78,467
11,Indian Railways Act,32847,25,29707,29403,3115
12,Other Offences,1350727,5515,1214487,1190250,130725
13,Total,3133928,20428,2318370,2151157,795130
