SL. No.,Crime Heads,Persons Arrested - 1972,Persons Arrested - 1973,Percentage Variation in 1973 Over 1972,Percentage to Total Arrested
1,Total Cognizable Crimes,1226436,1380530,12.6,100
2,Murder,38285,41117,7.4,3
3,Kidnapping & Abduction,12632,13278,5.1,1
4,Dacoity,44503,45408,2,3.3
5,Robbery,17313,19119,10.4,1.4
6,Burglary,92573,107892,16.5,7.8
7,Thefts,199262,222437,11.6,16.1
8,Riots,383629,411794,7.3,29.8
9,Criminal Breach of Trust,13323,13809,3.6,1
10,Cheating,10027,11516,14.8,0.8
11,Counterfeiting,337,330,-2.1,0
12,Miscellaneous,414552,493830,19.1,35.8
