SL. No.,States/U.Ts,Cities,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Thefts,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,Vijayawada,14,NA,3,6,6,3,99,285,89,16,11,NA,1368
2,Andhra Pradesh,Guntur,10,NA,NA,NA,1,3,72,287,9,NA,3,1,578
3,Andhra Pradesh,Visakhapatnam,5,NA,NA,1,1,NA,80,352,26,8,6,NA,679
4,Andhra Pradesh,Warangal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Andhra Pradesh,Rajahmundry,10,NA,NA,2,NA,NA,89,240,52,4,4,1,1260
6,Andhra Pradesh,Kakinada,1,NA,NA,NA,NA,NA,56,135,20,6,76,NA,1858
7,Andhra Pradesh,Eluru,NA,NA,1,4,NA,NA,64,161,1,6,9,NA,281
8,Andhra Pradesh,Nellore,9,NA,1,1,NA,NA,69,114,6,NA,5,3,277
9,Andhra Pradesh,Bandar (Machilipatnam),1,NA,NA,NA,NA,NA,29,69,2,1,1,NA,273
10,Andhra Pradesh,Kurnool,3,NA,NA,NA,NA,3,39,136,2,2,8,3,224
1,Assam,Gauhati,10,18,NA,25,1,6,248,765,133,48,56,NA,1310
1,Bihar,Patna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Bihar,Biharsharif,22,NA,NA,9,9,7,100,225,77,NA,5,NA,715
3,Bihar,Jamshedpur,32,5,5,16,9,34,228,1052,212,30,23,2,2219
4,Bihar,Dhanbad,4,1,1,7,4,17,148,291,30,20,11,NA,764
5,Bihar,Gaya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bihar,Monghyr,5,NA,3,15,2,10,173,236,47,12,8,NA,511
7,Bihar,Begusarai,12,4,2,13,10,5,223,150,49,12,7,NA,718
8,Bihar,Bhagalpur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Bihar,Ranchi,23,3,11,13,9,59,375,519,17,11,19,NA,1059
10,Bihar,Muzaffarpur,4,1,1,23,1,3,165,368,71,43,4,5,970
11,Bihar,Darbhanga,3,1,2,8,NA,5,28,71,198,NA,13,NA,657
1,Gujarat,Baroda City,20,NA,1,27,1,15,276,1307,62,70,90,1,3502
2,Gujarat,Surat,22,NA,1,7,1,10,141,526,23,31,18,NA,1316
3,Gujarat,Bhavnagar,4,2,NA,3,NA,5,22,158,8,16,29,1,501
4,Gujarat,Jamnagar,3,4,NA,8,NA,1,113,318,11,11,18,NA,420
5,Gujarat,Rajkot,4,1,2,9,3,5,78,294,28,19,17,NA,851
1,Haryana,Ambala Cantt.,2,1,2,3,NA,1,25,67,NA,8,1,NA,200
1,Karnataka,Mysore City,6,NA,1,5,28,2,393,865,66,31,33,7,1957
2,Karnataka,Hubli-Dharwad City,10,NA,NA,3,4,5,174,214,32,9,30,NA,906
3,Karnataka,Mangalore City,5,NA,1,NA,NA,NA,87,154,80,4,29,1,533
4,Karnataka,Gulbarga City,5,NA,1,1,5,6,153,164,38,7,11,NA,564
5,Karnataka,Bellary City,3,NA,1,NA,NA,3,13,143,6,8,5,NA,324
6,Karnataka,Balgaum City,5,NA,NA,5,3,1,72,109,46,5,14,NA,432
7,Karnataka,Davanagere City,3,NA,NA,1,NA,NA,40,53,7,9,7,NA,120
