SL. No.,Category,States/U.Ts/Cities,Residential Premises - Number of Cases Reported,Residential Premises - Value of Property Stolen,Highways - Number of Cases Reported,Highways - Value of Property Stolen,Railways - Number of Cases Reported,Railways - Value of Property Stolen,River & Sea - Number of Cases Reported,River & Sea - Value of Property Stolen,Banks - Number of Cases Reported,Banks - Value of Property Stolen,Commercial Establishments - Number of Cases Reported,Commercial Establishments - Value of Property Stolen,Other Places - Number of Cases Reported,Other Places - Value of Property Stolen,Total - Number of Cases Reported,Total - Value of Property Stolen
1,State,Andhra Pradesh,94,2.74,27,0.82,6,0.11,NA,NA,NA,NA,5,0.38,59,5.11,191,9.16
2,State,Assam,237,4.99,1,0.02,NA,NA,2,0.06,NA,NA,2,1.25,11,0.37,253,6.69
3,State,Bihar,1559,17.44,93,1.83,40,13.03,NA,NA,NA,NA,23,0.25,258,4.84,1973,37.39
4,State,Gujarat,60,3.58,4,0.06,NA,NA,1,0.22,NA,NA,NA,NA,65,0.42,130,4.28
5,State,Haryana,6,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.6
6,State,Himachal Pradesh,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
7,State,Jammu and Kashmir,3,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0.46,14,0.47
8,State,Karnataka,77,5.57,16,0.23,6,0.01,NA,NA,NA,NA,9,0.56,152,3.08,260,9.45
9,State,Kerala,3,0.46,7,0.74,NA,NA,NA,NA,NA,NA,2,0.54,37,4.47,49,6.21
10,State,Madhya Pradesh,237,6.96,20,1.24,5,0.31,NA,NA,NA,NA,8,0.13,102,1.11,372,9.75
11,State,Maharashtra,230,10.3,79,1,15,0.12,1,0.29,1,0.06,61,4.62,336,6.85,723,23.24
12,State,Manipur,7,0.45,2,NA,NA,NA,NA,NA,NA,NA,2,0.01,1,0.02,12,0.48
13,State,Meghalaya,9,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0.31
14,State,Nagaland,9,0.03,2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,25,0.25,36,0.29
15,State,Orissa,143,4,5,0.02,3,0.01,NA,NA,NA,NA,NA,NA,1,NA,152,4.03
16,State,Punjab,2,0.12,3,0.16,NA,NA,NA,NA,NA,NA,NA,NA,3,0.31,8,0.59
17,State,Rajasthan,34,0.83,23,0.92,1,0,NA,NA,NA,NA,NA,NA,91,3.02,149,4.77
18,State,Tamil Nadu,4,3.26,3,0.05,5,0.01,NA,NA,NA,NA,NA,NA,12,0.06,24,3.38
19,State,Tripura,47,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.02,48,0.66
20,State,Uttar Pradesh,3788,115.72,274,3.8,25,0.28,NA,NA,NA,NA,1,0.01,844,8.3,4932,128.11
21,State,West Bengal,1170,3.08,26,1.02,21,0.15,NA,NA,NA,NA,5,1.97,33,0.61,1255,6.83
Total (States),State,Total (States),7720,181.09,585,11.92,127,14.03,4,0.57,1,0.06,118,9.72,2042,39.3,10597,256.69
22,UT,A & N Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,UT,Chandigarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,UT,D & N Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,UT,Delhi,6,4.64,4,0.01,NA,NA,NA,NA,NA,NA,NA,NA,17,9.04,27,13.69
26,UT,"Goa, Daman & Diu",1,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.01,2,0.03
27,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,UT,Pondicherry,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
Total (UTs),UT,Total (UTs),8,4.66,4,0.01,NA,NA,NA,NA,NA,NA,NA,NA,18,9.05,30,13.72
Total (All-India),Total (All-India),Total (All-India),7728,185.75,589,11.93,127,14.03,4,0.57,1,0.06,118,9.72,2060,48.35,10627,270.41
1,City,Ahmedabad,2,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,1.14,15,1.16
2,City,Bangalore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,City,Bombay,5,0.32,NA,NA,1,0.01,1,0.29,NA,NA,24,0.3,58,2.34,89,3.26
4,City,Calcutta,3,0.07,2,0.02,NA,NA,NA,NA,NA,NA,3,0.26,1,0.02,9,0.37
5,City,Delhi,6,4.64,4,0.01,NA,NA,NA,NA,NA,NA,NA,NA,16,9.02,26,13.67
6,City,Hyderabad,1,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,0.06
7,City,Kanpur,24,0.51,2,0,NA,NA,NA,NA,NA,NA,NA,NA,16,0.1,42,0.61
8,City,Madras,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3
Total (Cities),City,Total (Cities),42,8.62,9,0.03,1,0.01,1,0.29,NA,NA,27,0.56,106,12.62,186,22.13
