SL. No.,Category,State/U.Ts./Cities,1968,1969,1970,1971,1972,Quinquennial Average of 1968 to 1972 (Q.A.),1973,"Percentage Variation (+) Increase, (-) Decrease - Over - Quinquennial Average","Percentage Variation (+) Increase, (-) Decrease - Over - 1972",Volume of Crime Per One Lakh of Population
1,State,Andhra Pradesh,39778,40153,43942,46390,49914,44035,51268,16.4,2.7,112.86
2,State,Assam,24462,24925,25908,28199,30320,26763,32007,19.6,5.6,204.79
3,State,Bihar,79899,75333,84091,83270,82744,81067,92068,13.6,11.3,156.86
4,State,Gujarat,32088,33129,32225,32747,36157,33269,45421,36.5,25.6,160.91
5,State,Haryana,9108,8858,8902,8237,9104,8842,9388,6.2,3.1,89.02
6,State,Himachal Pradesh,2305,2278,2381,2494,3073,2506,3342,33.4,8.8,94.22
7,State,Jammu & Kashmir,5992,6131,6421,5518,6021,6017,6622,10,9.9,137.07
8,State,Karnataka,35441,35566,35566,36557,37786,36183,44401,22.7,17.5,144.88
9,State,Kerala,27411,28492,31617,29712,35442,30535,41848,37,18,186.21
10,State,Madhya Pradesh,93488,86946,83537,88548,95556,89615,110811,23.6,16,215.79
11,State,Maharashtra,99105,92135,96552,99125,104782,98340,128992,31.2,23.1,255.87
12,State,Manipur,2396,2351,2122,1931,1920,2144,2201,2.7,14.6,195.47
13,State,Meghalaya,NA,NA,NA,NA,1105,1105,1322,19.6,19.6,124.83
14,State,Nagaland,682,685,744,1004,1117,846,918,8.5,-17.8,172.23
15,State,Orissa,33537,31395,31514,30502,31983,31786,31252,-1.7,-2.3,135.94
16,State,Punjab,13003,12926,12478,11433,12111,12390,12511,0.9,3.3,88.5
17,State,Rajasthan,37001,34995,36230,36743,39204,36835,44229,20.1,12.8,162.88
18,State,Tamil Nadu,70487,69114,63619,59616,71050,66777,72443,8.5,1.9,168.34
19,State,Tripura,3419,3439,2704,1785,2383,2746,3009,9.6,26.3,184.49
20,State,Uttar Pradesh,154666,150712,233754,236328,217731,198638,220567,11.1,1.3,240.45
21,State,West Bengal,76193,82662,84528,78546,77855,79957,82312,2.9,5.7,176.69
Total (States),State,Total (States),840461,822225,918835,918685,947358,890396,1036932,16.4,9.4,182.89
22,UT,A & N Islands,309,338,308,370,322,329,484,47.1,50.3,403.33
23,UT,Chandigarh,1390,1510,1484,1251,1156,1358,1334,-1.8,15.4,497.8
24,UT,D & N Haveli,73,106,106,84,101,94,84,-10.7,-16.8,107.69
25,UT,Delhi,16937,17606,31241,29236,32589,25522,34174,33.9,4.9,756.9
26,UT,Goa,1320,1336,1195,1219,1321,1279,1595,24.7,20.7,177.42
27,UT,Lakshadweep,48,38,28,19,18,30,9,-70,-50,26.47
28,UT,Pondicherry,1478,2008,2225,1717,1908,1867,2569,37.6,34.6,520.64
Total (UTs),UT,Total (UTs),21555,22942,36587,33896,37415,30479,40249,32.1,7.6,628.11
Total (All-India),Total (All-India),Total (All-India),862016,845167,955422,952581,984773,920875,1077181,16.9,9.4,187.87
1,City,Ahmedabad,2832,3578,3269,3060,3212,3190,4730,48.3,47.3,274.84
2,City,Bangalore,7266,8051,7778,8961,7555,7922,9356,18.1,23.8,562.94
3,City,Bombay,27569,25289,25763,25066,25970,25931,31920,23.1,22.9,486.66
4,City,Calcutta,11864,10801,10588,10911,9793,10791,11555,7.1,17.9,360.87
5,City,Delhi,15763,16254,28890,26933,30054,23579,32722,38.8,8.9,799.07
6,City,Hyderabad,3072,3593,3470,3794,4089,3604,4855,34.7,18.7,275.07
7,City,Kanpur,6638,6703,8656,9659,10104,8352,10003,19.8,-1,809.96
8,City,Madras,11297,11707,10794,7205,13015,10804,14204,31.5,9.1,524.71
Total (Cities),City,Total (Cities),86301,85976,99208,95589,103792,94173,119345,26.7,15,520.11
