SL. No.,Category,States/U.Ts/Cities,Year - 1972,Year - 1973,Percentage Variations in 1972 Over 1973
1,State,Andhra Pradesh,67218,73646,9.3
2,State,Assam,59211,43463,-26.4
3,State,Bihar,119102,143925,20.8
4,State,Gujarat,48748,59691,22.4
5,State,Haryana,11925,14581,22.3
6,State,Himachal Pradesh,4358,5414,24.2
7,State,Jammu & Kashmir,10241,11010,7.5
8,State,Karnataka,59590,63542,6.6
9,State,Kerala,60211,70829,17.6
10,State,Madhya Pradesh,107816,126913,17.7
11,State,Maharashtra,114805,141134,22.9
12,State,Manipur,3733,3467,-6.9
13,State,Meghalaya,1137,1501,32
14,State,Nagaland,874,872,-0.2
15,State,Orissa,37347,35567,-4.8
16,State,Punjab,18988,19651,3.5
17,State,Rajasthan,59220,71580,20.9
18,State,Tamil Nadu,90246,104129,15.4
19,State,Tripura,4128,2821,-31.7
20,State,Uttar Pradesh,185485,203894,9.9
21,State,West Bengal,142467,125013,-12.3
Total (States),State,Total (States),1206850,1322643,9.6
22,UT,A & N Islands,362,493,36.2
23,UT,Chandigarh,862,3991,362.9
24,UT,D & N Haveli,160,87,-45.7
25,UT,Delhi,14497,48424,234
26,UT,"Goa, Daman & Diu",1680,2058,22.5
27,UT,Lakshadweep,10,15,50
28,UT,Pondicherry,2015,2819,40
Total (UTs),UT,Total (UTs),19586,57887,195.6
Total (All-India),Total (All-India),Total (All-India),1226436,1380530,12.6
1,City,Ahmedabad,2006,5216,160.1
2,City,Bangalore,3878,4696,21.1
3,City,Bombay,21053,24311,15.5
4,City,Calcutta,13884,18108,30.4
5,City,Delhi,12913,47182,265.4
6,City,Hyderabad,3071,3185,3.7
7,City,Kanpur,4973,3173,-36.2
8,City,Madras,8165,13592,66.5
Total (Cities),City,Total (Cities),69943,119463,70.8
