SL. No.,Crime Heads,Total number of persons under trial during the year including persons carried over from previous year,Number of persons against whom cases were compounded or withdrawn,Persons in whose cases trial were completed,Persons in custody or on bail at the end of the year,Number of Persons convicted during the year,Percentage of persons in custody pending trial to number of persons under trials,Percentage of persons convicted to total persons in whose cases trials were completed during the year
1,Murder,96552,481,32003,64068,13407,66.4,41.99
2,Culpable Homicide Not Amounting to Murder,13275,99,3338,9838,1681,74.1,50.4
3,Rape,8939,72,2573,6294,996,70.4,38.7
4,Kidnapping & Abduction,33997,554,7889,25554,2632,75.2,33.4
5,Dacoity,98268,644,20162,77462,6525,78.8,32.4
6,Robbery,49066,517,10510,38039,4607,77.5,43.8
7,Burglary,254466,7813,72651,174002,46745,68.4,64.3
8,Thefts,517943,24588,139995,353360,93131,68.2,66.5
9,Riots,1133392,55441,186929,891022,66850,78.6,35.8
10,Criminal Breach of Trust,39702,1365,8368,29969,4691,75.5,56.1
11,Cheating,28654,1291,6124,21239,3315,74.1,54.1
12,Counterfeiting,852,56,142,664,60,77,42.2
13,Total Cognizable Crime,3334704,186725,745193,2393786,388785,71.8,51.6
