SL. No. ,Category, States/U.Ts/Cities                           ,Arms Act - Incidence (I),Arms Act - Volume (V),Opium Act - Incidence (I),Opium Act - Volume (V),Gambling Act - Incidence (I),Gambling Act - Volume (V),Excise Act - Incidence (I),Excise Act - Volume (V),Customs Act - Incidence (I),Customs Act - Volume (V),Explosives & Explosive Substances Act - Incidence (I),Explosives & Explosive Substances Act - Volume (V),Prohibition Act - Incidence (I),Prohibition Act - Volume (V),Suppression of Immoral Traffic in Women and Girls Act - Incidence (I),Suppression of Immoral Traffic in Women and Girls Act  - Volume (V),Motor Vehicles Act - Incidence (I),Motor Vehicles Act - Volume (V),Prevention of Corruption Act - Incidence (I),Prevention of Corruption Act - Volume (V),Indian Railways Act - Incidence (I),Indian Railways Act - Volume (V),Other offences - Incidence (I),Other offences - Volume (V),Grand Total - Incidence (I),Grand Total - Volume (V)
1,State,Andhra Pradesh ,154,0.3,7,0.0*,34834,75.2,7170,15.5,4,0.0*,56,0.1,2,0.0*,1933,4.2,57750,124.8,NA,NA,36,0.1,176930,382.2,278876,602.4
2,State,Assam,92,0.6,20,0.1,492,3.1,370,2.3,44,0.3,14,0.1,223,1.4,2,0.0*,447,2.8,1,0.0*,41,0.2,1591,9.9,3337,20.8
3,State,Bihar,659,1.1,3,0.0*,331,0.6,312,0.5,84,0.1,213,0.4,43,0.1,5,0.0*,930,1.6,12,0.0*,339,0.6,3464,5.8,6395,10.7
4,State,Gujarat,254,0.9,3,0.1,14202,49.1,NA,NA,NA,NA,19,0.1,62152,214.9,5,0.0*,13,0.0*,NA,NA,564,2,26261,90.8,103473,357.8
5,State,Haryana,1482,13.8,2656,24.6,1924,17.9,11305,104.9,NA,NA,13,0.1,NA,NA,NA,NA,NA,NA,28,0.3,118,1.1,6503,60.4,24029,223
6,State,Himachal Pradesh,133,3.7,36,1,22,0.6,1991,55.5,NA,NA,19,0.5,NA,NA,NA,NA,NA,NA,3,0.1,NA,NA,229,6.4,2433,67.8
7,State,Jammu & Kashmir,56,1.1,NA,NA,142,2.9,2,0.0*,NA,NA,6,0.1,NA,NA,3,0.1,675,13.7,1,0.0*,NA,NA,884,17.9,1769,35.9
8,State,Karnataka ,144,0.5,2,0.0*,6498,20.8,3301,10.6,1,0.0*,30,0.1,30,0.1,3298,10.6,169421,542.1,1,0.0*,23,0.1,29426,94.2,212175,678.8
9,State,Kerala,119,0.5,2,0.0*,595,2.6,NA,NA,NA,NA,33,0.1,NA,NA,27,0.1,6,0.0*,NA,NA,55,0.2,2159,9.4,2996,13
10,State,Madhya Pradesh,888,2,368,0.8,19414,43.1,7887,17.5,NA,NA,93,0.2,104,0.2,1,0.0*,85027,188.7,3,0.0*,3052,6.8,325692,722.8,160878,357
11,State,Maharashtra,109,0.2,8,0.0*,35954,66.5,1642,3,NA,NA,400,0.7,147593,272.8,235,0.4,16073,29.7,1,0.0*,6624,12.2,44041,81.4,534331,987.8
12,State,Manipur,10,0.9,NA,NA,101,8.8,1116,97.1,NA,NA,6,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,11.2,1362,118.5
13,State,Meghalaya,21,1.9,NA,NA,607,56.1,6,0.6,NA,NA,NA,NA,NA,NA,6,0.6,NA,NA,NA,NA,NA,NA,252,23.3,892,82.4
14,State,Nagaland,32,5.9,3,0.6,1,0.2,16,3,NA,NA,14,2.6,NA,NA,2,0.4,159,29.4,NA,NA,NA,NA,284,525,511,94.4
15,State,Orissa,91,0.4,34,0.1,584,2.5,789,3.4,NA,NA,13,0.1,2,0.0*,1,0.0*,NA,NA,NA,NA,17,0.1,1867,8,3398,14.5
16,State,Punjab,4688,32.6,6585,45.7,2856,19.8,20479,142.2,NA,NA,42,0.3,NA,NA,NA,NA,131305,911.6,126,0.9,177,1.2,4235,29.4,170493,1183.7
17,State,Rajasthan,424,1.5,482,1.7,797,1.9,681,2.4,NA,NA,4,0.0*,512,1.8,3,0.0*,17687,63.7,NA,NA,291,1,2146,7.7,23027,82.9
18,State,Tamil Nadu,155,0.4,89,0.2,59954,136.7,61510,140.2,42,0.1,133,0.3,136381,310.9,8765,20,143257,326.6,NA,NA,13294,30.3,357042,814,780622,1779.8
19,State,Tripura,9,0.5,4,0.2,NA,NA,12,0.7,NA,NA,3,0.2,NA,NA,NA,NA,359,21.6,NA,NA,NA,NA,71,4.3,458,27.5
20,State,Uttar Pradesh,29359,31.5,1107,1.2,6186,6.6,19819,21.2,29,0.0*,174,0.2,116,0.1,321,0.3,27030,29,14,0.0*,1144,1.2,32178,34.5,117477,126
21,State,West Bengal ,553,1.2,3,0.0*,4993,10.5,3260,6.8,NA,NA,272,0.6,21,0.0*,50,0.1,6412,13.5,10,0.0*,1184,2.5,115132,241.7,131890,276.9
Total (States),State,Total (States),37432,6.8,11412,2,190487,32.9,141668,24.5,204,0.0*,1557,0.3,347179,60,14657,2.5,656551,113.5,200,0.0*,26959,4.7,1130516,195.4,2560822,442.6
22,UT,A & N Islands,1,0.8,2,1.6,15,12.2,735,597.6,NA,NA,NA,NA,NA,NA,1,0.8,23,18.7,NA,NA,NA,NA,73,59.4,850,691.1
23,UT,Arunachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1.6,8,1.6
24,UT,Chandigarh,10,3.7,67,24.4,156,56.9,148,54,NA,NA,5,1.8,NA,NA,NA,NA,NA,NA,3,1.1,7,2.6,440,160.6,836,305.1
25,UT,D & N Haveli,1,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.3,NA,NA,5,6.3,7,8.9
26,UT,Delhi,1309,27.7,329,7,1557,33,2388,50.6,NA,NA,4,0.1,NA,NA,133,2.8,NA,NA,31,0.7,207,4.4,1290,27.3,7248,153.6
27,UT,"Goa, Daman & Diu",8,0.9,1,0.1,2038,222,NA,NA,NA,NA,1,0.1,NA,NA,27,2.9,NA,NA,NA,NA,NA,NA,322,35.1,2397,261.1
28,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.9,1,2.9
29,UT,Mizoram,34,9.3,2,0.6,2,0.6,NA,NA,NA,NA,3,0.8,NA,NA,NA,NA,8,2.2,NA,NA,NA,NA,91,24.9,140,38.4
30,UT,Pondicherry,3,0.6,NA,NA,643,127.3,71,14.1,NA,NA,5,1,NA,NA,7,1.4,1529,302.8,NA,NA,NA,NA,5573,1103.6,7831,1550.7
Total (UTs),UT,Total (UTs),1366,18.2,401,5.3,4411,58.7,3342,44.5,NA,NA,18,0.2,NA,NA,168,2.2,1560,20.8,35,0.5,214,2.8,7803,103.8,19318,260
Total (All-India),Total (All-India),Total (All-India),40798,7,11813,2,194898,33.3,145010,24.7,204,0.0*,1575,0.3,347179,59.2,14825,2.5,658111,112.3,235,0.0*,27173,4.6,1138319,194.2,2580140,440.2
1,City,Ahmedabad ,8,0.4,NA,NA,3170,178.1,NA,NA,NA,NA,NA,NA,5838,328,4,0.2,1,0.1,NA,NA,NA,NA,5119,287.6,14140,794.4
2,City,Bangalore ,NA,NA,1,0.1,1441,84,93,5.4,NA,NA,3,0.2,NA,NA,1529,89.1,65007,3788.3,NA,NA,NA,NA,2404,140.1,70478,4107.1
3,City,Bombay,5,0.1,NA,NA,11034,161.8,1642,24.1,NA,NA,393,5.8,47177,691.7,221,3.2,15859,232.5,NA,NA,59,0.9,276068,4047.9,352458,5168
4,City,Calcutta,51,1.6,2,0.1,4439,137.6,3119,96.7,NA,NA,50,1.6,NA,NA,49,1.5,4268,132.3,NA,NA,NA,NA,98477,3052.6,110455,3423.9
5,City,Delhi,1289,30,322,7.5,1545,36,2245,52.3,NA,NA,4,0.1,NA,NA,133,3.1,NA,NA,29,0.7,207,4.8,1232,28.7,7006,163.2
6,City,Hyderabad,1,0.0*,NA,NA,1508,82.1,7029,382.8,NA,NA,5,0.3,NA,NA,291,15.8,26815,1460.5,NA,NA,NA,NA,84977,4628.4,120626,6570
7,City,Kanpur,1525,120,89,7,242,19,224,17.6,NA,NA,4,0.3,NA,NA,13,1,1359,106.9,NA,NA,4,0.3,2249,176.9,5709,449.2
8,City,Madras,NA,NA,6,0.2,5981,212.6,5058,179.8,NA,NA,3,0.1,17168,610.3,1615,57.4,33896,1205,NA,NA,NA,NA,118622,4216.9,182349,6482.4
Total (Cities),City,Total (Cities),2879,12.1,420,1.8,29360,123.6,19410,81.7,NA,NA,462,1.9,70183,295.4,3855,16.2,147205,619.6,29,0.1,270,1.1,589148,2480,863221,3633.7
