SL. No.,Heads of Crime,Total Number of Cases for Investigation During the Year Including Cases Carried Over from Previous Year,Number of Cases in which Investigation was Refused or Declared False or Mistake of Fact or Law or Found Non Cognizable,Number of Cases Investigated during the Year,Number of Cases Pending Investigation at the End of the Year,Number of Cases in which Chargesheets were Laid 
1,Murder ,25988,825,18325,6838,14347
2,Culpable Homicide Not Amounting to Murder,3812,168,2511,1133,1914
3,Rape,6089,464,4054,1571,3415
4,Kidnapping & Abduction,17809,3939,9219,4651,6048
5,Dacoity,20452,1358,12420,6674,7715
6,Robbery,28739,4326,18521,5892,9480
7,Burglary,218884,10565,175302,33017,56245
8,Thefts,512229,32693,405415,74121,131172
9,Riots,122012,19561,73550,28901,60254
10,Criminal Breach of Trust,40211,5454,17659,17098,10998
11,Cheating ,30864,3421,16244,11199,8960
12,Counterfeiting,1243,123,573,547,160
13,Other IPC Offences,588569,56381,440952,91236,365304
14,Total (Cognizable Crimes Under IPC),1616901,139278,1194745,282878,676012
