SL. No.,Crime Heads,Total number of persons under trial during the year including persons carried over from previous year,Number of persons against whom cases were compounded or withdrawn,Persons in whose cases trials were completed during the Year,Persons in custody or on bail during the stage of trial at the end of the year,Number of Persons convicted during the year,Percentage of persons in custody pending trial to total number of persons under trial,Percentage of persons convicted to total persons in whose cases trials were completed during the year
1,Arms Act,149159,220,46791,102148,31924,68.5,68.2
2,Opium Act,28420,88,11630,16702,8853,58.8,76.1
3,Gambling Act ,583638,1599,353435,228604,316624,39.2,89.6
4,Excise Act,219818,1030,90041,128747,70416,58.6,78.2
5,Prohibition Act,864592,11529,500998,352065,374848,40.7,74.8
6,Explosives & Explosive Substances Act,4416,84,1388,2944,932,66.7,67.2
7,Suppression of Immoral Traffic in Women & Girls Act,21654,54,14747,6853,13609,31.6,92.3
8,Motor Vehicles Act,970715,6754,672347,291614,645104,30,96
9,Prevention of Corruption Act,998,2,259,737,113,73.8,43.6
10,Customs Act,736,2,262,472,181,64.1,69.1
11,Indian Railways Act,38359,151,32097,6111,31550,15.9,98.3
12,Other Offences Under Local & Special Laws,1291219,30488,1021631,239100,961540,18.5,94.1
13,Total,4173724,52001,2745626,1376097,2455694,33,89.4
