SL. No.,Years,7-12 Years,7-12 Year - Percentage to Total,12-16 Years,12-16 Year - Percentage to Total,16-18 Years,16-18 Year - Percentage to Total,18-21 Years,18-21 Year - Percentage to Total,Overall Age  Groups
1,1968,8262,11.3,16548,22.5,48648,66.2,Combined with 16-18 Years Age Group,Combined with 16-18 Years Age Group,73458
2,1971,5527,5.3,12708,12.3,13940,13.5,71244,68.9,103419
3,1972,10534,8.2,17079,13.3,19177,15,71391,63.5,128181
4,1973,9963,7.8,16470,12.9,23951,18.7,77358,60.6,127742
5,1974,8872,6.3,19644,14,22077,15.7,90046,64,140639
6,1975,14781,10.4,23118,16.3,20866,14.7,83134,58.6,141899
7,1976,19706,14.7,24073,18,19960,14.9,70234,52.4,133973
8,1977,15113,8.4,21391,14,24011,16.4,88407,61.2,148922
9,1978,11955,7.4,18954,11.8,25488,15.8,104522,65,160919
Percentage Change in 1978 Over 1968,Percentage Change in 1978 Over 1968,44.7,NA,14.5,NA,-47.6,NA,NA,NA,19.1
Percentage Change in 1978 Over 1977,Percentage Change in 1978 Over 1977,-20.9,NA,-11.4,NA,6.2,NA,18.2,NA,8.1
