SL. No.,Years,Boys,Girls,Total,Percentage of Girls
1,1968,68657,4801,73458,6.5
2,1971,97987,5432,103419,5.3
3,1972,120953,7228,128181,5.6
4,1973,122192,5550,127742,4.3
5,1974,132125,8514,140639,6.1
6,1975,132587,9312,141899,6.6
7,1976,124569,9404,133973,7
8,1977,138532,10390,148922,7
9,1978,151187,9732,160919,6
Percentage Change in 1978 Over 1968,Percentage Change in 1978 Over 1968,120.2,102.7,119.1,NA
Percentage Change in 1978 Over 1977,Percentage Change in 1978 Over 1977,9.1,-6.3,8.1,NA
