SL. No.,Heads of Crime,Percentage of Cases Compounded or withdrawn to Total Cases for Trial,Percentage of Cases in which Trials were Completed to Total Cases for Trial,Percentage of Cases Pending Trial at the End of the Year to Total Cases for Trial,Percentage of Cases Ended in Conviction to Total Cases for which Trials were Completed
1,Murder ,0.6,29.2,70.2,46.9
2,Culpable Homicide Not Amounting to Murder,0.9,25.8,73.3,43.5
3,Rape,1,28.8,70.2,33.9
4,Kidnapping & Abduction,1.1,23.1,75.8,33.3
5,Dacoity,0.3,18.9,80.8,39
6,Robbery,1,21.4,77.6,42.6
7,Burglary,2.7,26.6,70.7,57.7
8,Thefts,4.3,27.3,68.4,63.5
9,Riots,5.1,17.1,77.8,29.3
10,Criminal Breach of Trust,2.5,17.8,79.7,51.3
11,Cheating ,3.5,19.4,77.1,48.5
12,Counterfeiting,2.9,25.5,71.6,39.7
13,Other IPC Offences,8.1,26.1,65.8,55.6
14,Total Cognizable Crime,5.8,24.9,69.3,54.3
