SL. No.,Years,Boys,Girls,Total,Percentage of Girls
1,1970,94617,4228,98845,4.3
2,1973,122192,5550,127742,4.3
3,1974,132125,8514,140639,6.1
4,1975,132587,9312,141899,6.6
5,1976,124569,9404,133973,7
6,1977,138532,10390,148922,7
7,1978,151187,9732,160919,6
8,1979,160310,9733,170043,5.7
9,1980,178129,9456,187585,5
Percentage Change in 1980 Over 1970,Percentage Change in 1980 Over 1970,88.3,123.7,89.8,NA
Percentage Change in 1980 Over 1979,Percentage Change in 1980 Over 1979,11.1,-2.8,10.3,NA
