SL. No.,Category,States/U.Ts/Cities,"I.G., D.I.G.&S.P.", A.S.P./ Dy.S.P.,Inspector & Sub-Inspectors ,Officers Below Sub-Inspectors,Total
1,State,Andhra Pradesh ,64,193,2314,27058,29629
2,State,Assam,43,118,2135,17155,19451
3,State,Bihar,102,290,5214,42744,48350
4,State,Gujarat,59,120,2377,37618,40174
5,State,Haryana,33,68,570,13103,13774
6,State,Himachal Pradesh,47,43,283,5204,5577
7,State,Jammu and Kashmir,36,60,639,12510,13245
8,State,Karnataka ,74,126,1550,32200,33950
9,State,Kerala,44,94,1122,17826,19086
10,State,Madhya Pradesh,253,298,3390,40456,44397
11,State,Maharashtra,112,246,5510,77320,83188
12,State,Manipur,18,30,225,2817,3090
13,State,Meghalaya,16,15,282,3072,3388
14,State,Nagaland,14,20,139,2963,3136
15,State,Orissa,86,131,2110,17748,20075
16,State,Punjab,54,116,973,23290,24433
17,State,Rajasthan,63,250,2212,36134,38659
18,State,Sikkim ,9,24,104,1267,1404
19,State,Tamil Nadu,79,194,2954,26694,29921
20,State,Tripura,12,25,350,3690,4077
21,State,Uttar Pradesh,292,726,11405,96148,108571
22,State,West Bengal ,100,213,5778,46514,52605
Total (States),State,Total (States),1610,3400,51636,583531,640177
23,UT,A & N Islands,2,9,65,1564,1640
24,UT,Arunachal Pradesh,8,8,137,1868,2021
25,UT,Chandigarh,1,2,63,1014,1080
26,UT,D & N Haveli,NA,1,5,68,74
27,UT,Delhi,32,84,2171,16431,18718
28,UT,"Goa, Daman & Diu",3,9,63,1565,1640
29,UT,Lakshadweep,1,1,16,266,284
30,UT,Mizoram,10,13,157,970,1150
31,UT,Pondicherry,10,NA,71,823,904
Total (UTs),UT,Total (UTs),67,127,2748,24569,27511
Total (All-India),Total (All-India),Total (All-India),1677,3527,54384,608100,667688
1,City,Ahmedabad ,8,11,386,6189,6594
2,City,Bangalore ,6,14,442,4978,5440
3,City,Bombay,20,54,2488,20971,23533
4,City,Calcutta,19,38,1790,11053,12900
5,City,Delhi,32,84,2171,16431,18718
6,City,Hyderabad,10,16,360,6275,6661
7,City,Kanpur,3,16,579,5272,5870
8,City,Madras,15,28,522,6951,7516
Total (Cities),City,Total (Cities),113,261,8738,78120,87232
