SL. No.,Category,States/UTs/Cities,Murder - Incidence (I),Murder - Volume (V),Culpable Homicide Not Amounting to Murder - Incidence (I),Culpable Homicide Not Amounting to Murder - Volume (V),Rape - Incidence (I),Rape - Volume (V),Kidnapping & Abduction - Incidence (I),Kidnapping & Abduction - Volume (V),Dacoity - Incidence (I),Dacoity - Volume (V),Robbery - Incidence (I),Robbery - Volume (V),Burglary - Incidence (I),Burglary - Volume (V),Thefts - Incidence (I),Thefts - Volume (V),Riots - Incidence (I),Riots - Volume (V),Criminal Breach of Trust - Incidence (I),Criminal Breach of Trust - Volume (V),Cheating - Incidence (I),Cheating - Volume (V),Counterfeiting - Incidence (I),Counterfeiting - Volume (V),Others -  Incidence (I),Others - Volume (V),Total Cognizable Crimes - Incidence (I),Total Cognizable Crimes - Volume (V)
1,State,Andhra Pradesh ,1393,2.7,30,0.1,225,0.4,335,0.7,349,0.7,459,0.9,7150,14.1,18467,36.3,3868,7.6,722,1.4,837,1.6,33,0.1,35452,69.7,69320,136.3
2,State,Assam,642,3.3,57,0.3,235,1.2,565,2.9,363,1.9,522,2.7,5467,28,10895,55.7,7124,36.4,517,2.6,492,2.5,4,NA,16890,86.4,43773,223.9
3,State,Bihar,2267,3.4,272,0.4,441,0.7,1240,1.8,2864,4.2,1571,2.3,12544,18.6,29571,43.9,16795,24.9,1539,2.3,1127,1.7,23,*,33971,50.4,104225,154.6
4,State,Gujarat,993,3,3,Neg.*,109,0.3,580,1.8,165,0.5,972,3,6664,20.4,21232,65.1,1782,5.5,1464,4.5,808,2.5,4,*,26937,82.6,61713,189.2
5,State,Haryana,363,3,91,0.7,99,0.8,197,1.6,35,0.3,64,0.5,2823,22.9,4513,36.7,229,1.9,448,3.6,322,2.6,1,*,7415,60.3,16600,134.9
6,State,Himachal Pradesh,71,1.7,15,0.4,35,0.8,100,2.4,6,0.1,38,0.9,649,15.5,752,18,272,6.5,84,2,88,2.1,NA,NA,2754,66,4864,116.5
7,State,Jammu & Kashmir,100,1.7,7,0.1,135,2.3,473,8,13,0.2,22,0.4,1684,28.6,2875,48.9,1709,29,134,2.3,136,2.3,NA,NA,7787,132.3,15075,256.2
8,State,Karnataka ,870,2.5,19,0.1,103,0.3,286,0.8,259,0.7,655,1.9,9868,28.1,22051,62.7,5692,16.2,967,2.7,1324,3.8,330,0.9,35019,99.6,77443,220.2
9,State,Kerala,500,1.9,NA,NA,64,0.2,134,0.5,41,0.2,174,0.7,4540,17.7,3925,15.3,5676,22.1,288,1.1,475,1.9,78,0.3,31746,123.7,47641,185.6
10,State,Madhya Pradesh,2392,4.6,51,0.1,899,1.7,1188,2.3,687,1.3,3001,5.7,27514,52.6,55401,105.9,5471,10.5,1209,2.3,1443,2.8,19,*,70476,134.7,169751,324.6
11,State,Maharashtra,1643,2.7,27,Neg.,418,0.7,853,1.4,689,1.1,3222,5.4,20126,33.5,57462,95.5,8202,13.6,2905,4.8,2251,3.7,28,*,69521,115.6,167347,278.2
12,State,Manipur,86,6,2,0.1,17,1.2,179,12.5,89,6.2,151,10.5,274,19.1,851,59.3,213,14.8,63,4.4,83,5.8,7,0.5,1490,103.8,3505,244.2
13,State,Meghalaya,87,6.7,3,0.2,21,1.6,32,2.5,24,1.8,54,4.2,179,13.8,678,52.2,165,12.7,22,1.7,34,2.6,NA,NA,904,69.6,2203,169.6
14,State,Nagaland,21,3,15,2.1,7,1,12,1.7,14,2,34,4.9,291,41.6,440,62.9,27,3.9,23,3.3,35,5,NA,NA,NA,NA,919,131.3
15,State,Orissa,502,1.9,38,0.1,132,0.5,201,0.8,391,1.5,784,2.9,8092,30.3,15402,57.6,3339,12.5,582,2.2,325,1.2,9,*,18284,68.4,48081,179.9
16,State,Punjab,620,3.9,137,0.9,78,0.5,256,1.6,1,*,21,0.1,1207,7.6,2299,14.5,129,0.8,466,2.9,338,2.1,3,*,6114,38.5,11679,73.6
17,State,Rajasthan,830,2.5,37,0.1,313,1,1532,4.7,116,0.4,1216,3.7,6736,20.5,13807,41.9,8510,25.9,1053,3.2,1462,4.4,6,*,25228,76.6,60846,184.9
18,State,Sikkim ,6,2.4,NA,NA,3,1.2,2,0.8,NA,NA,1,0.4,49,19.6,92,36.7,1,0.4,11,4.4,4,1.6,NA,NA,112,44.7,281,112.1
19,State,Tamil Nadu,1289,2.7,13,Neg.,151,0.3,750,1.6,82,0.2,336,0.7,10206,21.8,34376,73.3,10606,22.6,1313,2.8,1213,2.6,97,0.2,55678,118.7,116110,247.5
20,State,Tripura,201,9.7,1,Neg.,21,1,52,2.5,157,7.6,143,6.9,955,46.3,1709,82.8,499,24.2,36,1.7,44,2.1,1,*,2279,110.4,6098,295.4
21,State,Uttar Pradesh,5680,5.4,1385,1.3,811,0.8,2746,2.6,7309,7,8301,7.9,30492,29.2,71007,67.9,11339,10.8,4592,4.4,2427,2.3,101,0.1,51941,49.7,198131,189.6
22,State,West Bengal ,1300,2.4,526,1,577,1,1014,1.8,1446,2.6,1350,2.4,5298,9.6,36859,66.8,14611,26.5,1389,2.5,1107,2,61,0.1,28080,50.9,93618,169.7
Total (States),State,Total (States),21856,3.3,2739,0.4,4894,0.7,12727,1.9,15100,2.3,23091,3.5,162808,24.9,404664,61.9,106259,16.2,19827,3,16375,2.5,805,0.1,528078,80.7,1319223,201.7
23,UT,A & N Islands,14,7.6,NA,NA,3,1.6,7,3.8,NA,NA,7,3.8,83,45.3,176,96,55,30,13,7.1,6,3.3,NA,NA,441,240.5,805,438.9
24,UT,Arunachal Pradesh,11,1.8,4,0.6,8,1.3,12,1.9,8,1.3,1,2.1,111,17.8,222,35.6,18,2.9,13,2.1,7,1.1,NA,NA,425,68.2,852,136.6
25,UT,Chandigarh,14,2.8,7,1.4,3,0.6,21,4.2,NA,NA,14,2.8,138,27.9,1160,234.2,17,3.4,46,9.3,63,12.7,NA,NA,635,128.2,2118,427.7
26,UT,D & N Haveli,7,8,NA,NA,1,1.1,1,1.1,1,1.1,3,3.4,39,44.6,46,52.6,6,6.9,4,4.6,3,3.4,NA,NA,66,75.4,177,202.3
27,UT,Delhi,182,3,262,4.4,56,0.9,775,12.9,75,1.2,296,4.9,2682,44.5,22276,370,201,3.3,667,11.1,872,14.5,23,0.4,9221,153.3,37588,624.3
28,UT,"Goa, Daman & Diu",20,1.8,7,0.6,7,0.6,10,0.9,1,0.1,35,3.1,499,43.8,888,78,176,15.5,55,4.8,40,3.5,1,0.1,1188,104.3,2927,257
29,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,14,8,22.5,1,2.8,1,2.8,NA,NA,NA,NA,NA,NA,15,42.1
30,UT,Mizoram,32,7.2,13,2.9,41,9.2,8,1.8,5,1.1,28,6.3,64,14.4,181,40.8,NA,NA,20,4.5,26,5.9,NA,NA,637,143.5,1055,237.7
31,UT,Pondicherry,13,2.2,NA,NA,10,1.7,34,5.8,4,0.7,6,1,266,45.5,1415,242,224,38.3,38,6.5,24,4.1,1,0.2,1734,296.6,3769,644.6
Total (UTs),UT,Total (UTs),293,3,293,3,129,1.3,868,9,94,1,402,4.1,3887,40.4,26372,274.3,698,7.3,857,8.9,1041,10.8,25,0.3,14347,149.2,49306,512.9
Total (All-India),Total (All-India),Total (All-India),22149,3.3,3032,0.5,5023,0.8,13595,2,15194,2.3,23493,3.5,166695,25.1,431036,65,106957,16.1,20684,3.1,17416,2.6,830,0.1,542425,81.7,1368529,206.2
1,City,Ahmedabad ,62,2.9,1,Neg.,13,0.6,98,4.6,26,1.2,59,2.8,475,22.2,2585,120.7,438,20.5,124,5.8,117,5.5,4,0.2,4676,218.4,8678,405.3
