SL. No.,Category,State/U.Ts/Cities,Total Cognizable Crime - Male,Total Cognizable Crime - Female,Murder - Male,Murder - Female,Culpable Homicide Not Amounting to Murder - Male,Culpable Homicide Not Amounting to Murder - Female,Burglary - Male,Burglary - Female,Thefts - Male,Thefts - Female,Riots - Male,Riots - Female,Rape - Male,Rape - Female,Kidnapping & Abduction - Male,Kidnapping & Abduction - Female,Dacoity - Male,Dacoity - Female,Robbery - Male,Robbery - Female,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Cheating - Male,Cheating - Female,Counterfeiting - Male,Counterfeiting - Female
1,State,Andhra Pradesh ,99149,3745,3253,149,41,NA,5163,50,12145,403,27254,496,295,2,493,8,1182,1,535,NA,563,13,756,40,16,NA
2,State,Assam,61243,8786,1427,14,36,1,5534,51,8601,157,16800,985,190,3,569,20,1548,4,707,3,506,12,408,5,2,NA
3,State,Bihar,210295,1128,5081,169,665,5,11185,10,24790,334,94288,478,634,NA,1968,67,8312,4,2738,NA,1582,24,1543,NA,15,3
4,State,Gujarat,89014,3703,2229,189,2,1,5816,179,12588,587,11053,341,152,NA,683,48,715,8,1206,17,1595,13,1098,37,4,NA
5,State,Haryana,24092,158,980,2,285,4,1737,1,3164,71,1427,29,164,NA,276,7,67,NA,139,NA,357,NA,246,NA,9,NA
6,State,Himachal Pradesh,6923,661,151,8,13,1,407,3,664,80,1150,122,62,1,124,5,32,NA,61,1,81,NA,53,NA,NA,NA
7,State,Jammu & Kashmir,23802,1237,268,15,7,NA,1518,59,2770,36,6775,362,177,NA,594,2,168,NA,72,NA,76,NA,92,NA,NA,NA
8,State,Karnataka ,109285,2589,1788,101,9,NA,4031,133,9612,388,39188,1137,130,2,250,11,1003,19,472,12,537,14,590,22,163,NA
9,State,Kerala,69453,1427,851,20,NA,NA,1770,5,2533,31,26383,729,78,NA,110,3,207,NA,242,NA,224,1,320,2,83,20
10,State,Madhya Pradesh,201009,1740,5296,44,28,NA,13555,358,27286,257,33772,162,1307,NA,1661,22,2215,NA,3245,28,1081,7,1249,9,9,NA
11,State,Maharashtra,215576,7916,3454,202,35,1,15942,437,40085,1874,54367,2007,641,7,858,48,3012,85,3734,79,2639,26,1649,24,4,NA
12,State,Manipur,2386,9,68,NA,3,NA,84,NA,405,NA,473,2,5,NA,113,2,46,NA,34,NA,34,NA,74,NA,3,NA
13,State,Meghalaya,3508,123,202,2,3,NA,218,NA,509,10,1069,61,19,NA,35,NA,163,NA,76,NA,18,NA,29,NA,NA,NA
