SL. No.,Category,States/U.Ts/Cities,Residential Premises - Number of Cases Reported,Residential Premises - Value of Property Stolen,Highways - Number of Cases Reported,Highways - Value of Property Stolen ,Railways - Number of Cases Reported,Railways - Value of Property Stolen ,Rivers & Sea - Number of Cases Reported,Rivers & Sea - Value of Property Stolen ,Banks - Number of Cases Reported,Banks - Value of Property Stolen ,Commercial Establishment - Number of Cases Reported,Commercial Establishment - Value of Property Stolen ,Other Places - Number of Cases Reported,Other Places - Value of Property Stolen ,Total - Number of Cases Reported,Total - Value of Property Stolen 
1,State,Andhra Pradesh ,214,29.04,46,5.76,2,0.05,NA,NA,NA,NA,7,2.2,80,2.68,349,39.73
2,State,Assam,357,34.82,NA,NA,NA,NA,NA,NA,NA,NA,4,0.3,2,0.22,363,35.34
3,State,Bihar,2160,42.25,215,9.73,31,3.65,NA,NA,6,2.79,87,6.52,365,11.26,2864,76.2
4,State,Gujarat,53,13.26,14,30.74,2,0.1,NA,NA,NA,NA,NA,NA,96,2.41,165,46.51
5,State,Haryana,12,3.1,5,4.64,NA,NA,NA,NA,NA,NA,NA,NA,18,1.62,35,9.36
6,State,Himachal Pradesh,1,0.08,1,0,NA,NA,NA,NA,NA,NA,NA,NA,4,0.11,6,0.19
7,State,Jammu and Kashmir,4,0.04,3,0.61,NA,NA,NA,NA,NA,NA,NA,NA,6,0.37,13,1.02
8,State,Karnataka ,74,12.31,9,0.12,2,0.01,NA,NA,NA,NA,61,24,113,4.7,259,41.15
9,State,Kerala,4,0.31,4,0.1,1,0,1,0.04,NA,NA,4,1.68,27,0.75,41,2.88
10,State,Madhya Pradesh,478,54.67,56,3.28,9,0.32,NA,NA,NA,NA,11,0.44,133,7.07,687,65.78
11,State,Maharashtra,278,13.9,86,2.23,5,0.24,1,0.01,3,0.01,17,15.36,210,9.09,630,40.84
12,State,Manipur,32,50.1,11,2.83,NA,NA,NA,NA,2,3.5,NA,NA,44,3.02,89,14.36
13,State,Meghalaya,21,0.47,NA,NA,NA,NA,NA,NA,NA,NA,1,0.15,2,0.09,24,0.71
14,State,Nagaland,4,0.56,6,0.72,NA,NA,NA,NA,NA,NA,NA,NA,4,0.17,14,1.45
15,State,Orissa,196,9.35,2,NA,11,0.25,NA,NA,NA,NA,NA,NA,182,14.88,391,24.48
16,State,Punjab,NA,NA,NA,NA,1,0.01,NA,NA,NA,NA,NA,NA,NA,NA,1,0.01
17,State,Rajasthan,49,16.05,5,0.46,3,1.1,NA,NA,1,NA,NA,NA,58,9.79,116,27.4
18,State,Sikkim ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,State,Tamil Nadu,33,3.97,18,1.16,2,0.01,NA,NA,NA,NA,NA,NA,29,1.41,82,6.55
20,State,Tripura,120,2.65,12,0.03,NA,NA,NA,NA,NA,NA,NA,NA,25,0.3,157,2.98
21,State,Uttar Pradesh,4559,295.21,161,9.35,70,0.82,NA,NA,NA,NA,5,2.19,2514,24.83,7309,332.4
22,State,West Bengal ,1098,70.01,58,5.52,23,1.56,NA,NA,3,2.61,26,13.91,238,13.42,1446,107.04
Total (States),State,Total (States),9747,607.06,712,77.28,162,8.12,2,0.05,15,8.91,223,66.76,4180,108.2,15041,876.38
23,UT,A & N Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,UT,Arunachal Pradesh,5,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.09,8,0.35
25,UT,Chandigarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,UT,D & N Haveli,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
27,UT,Delhi,19,1.77,9,0.26,NA,NA,NA,NA,NA,NA,5,0.58,42,1.55,75,4.16
28,UT,"Goa, Daman & Diu",1,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.38
29,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,UT,Mizoram,1,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.23,5,0.24
31,UT,Pondicherry,4,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.02
Total (UTs),UT,Total (UTs),31,2.44,9,0.26,NA,NA,NA,NA,NA,NA,5,0.58,49,1.87,94,5.15
Total (All-India),Total (All-India),Total (All-India),9778,609.5,721,77.54,162,8.12,2,0.05,15,8.91,228,67.34,4229,110.07,15135,881.53
1,City,Ahmedabad ,6,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.5,26,0.95
2,City,Bangalore ,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0.28,13,0.28
3,City,Bombay,12,1.71,2,0.05,NA,NA,NA,NA,NA,NA,4,1.43,38,2.92,56,6.11
4,City,Calcutta,4,1.3,31,2.82,NA,NA,NA,NA,NA,NA,18,13.21,9,1.58,62,18.91
5,City,Delhi,11,1.41,9,0.26,NA,NA,NA,NA,NA,NA,5,0.58,42,1.56,67,3.81
6,City,Hyderabad,3,0.31,4,0.03,NA,NA,NA,NA,NA,NA,1,0.04,4,0.03,12,0.41
7,City,Kanpur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,City,Madras,1,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1.5
Total (Cities) *,City,Total (Cities) *,38,6.68,46,3.16,NA,NA,NA,NA,NA,NA,28,15.26,126,6.87,238,31.97
