SL. No.,Crime Heads,Total number of persons in custody or on bail during the stage of investigation including persons under arrest carried over from previous year ,Total number of persons in custody or on bail during the stage of investigation at the end of the year,Persons in whose cases chargesheets were laid during the year,Percentage of persons in custody or on bail during the stage of investigation pending at the end of the year to total persons during the stage of investigation,Percentage of persons in whose cases chargesheets were laid to total persons under custody or on bail during the stage of investigation
1,Murder ,70610,15009,52073,21.3,73.7
2,Culpable Homicide Not Amounting to Murder,7750,1471,5839,19,75.3
3,Rape,9534,2325,6615,24.4,69.4
4,Kidnapping & Abduction,22071,4752,14065,21.5,63.7
5,Dacoity,74745,19878,41437,26.6,55.4
6,Robbery,33502,5511,23295,16.4,69.5
7,Burglary,120106,14391,92331,12,76.9
8,Thefts,292747,35025,220255,12,75.2
9,Riots,704858,131622,459207,18.7,65.2
10,Criminal Breach of Trust,24925,8281,14624,33.2,58.7
11,Cheating ,21072,6284,12842,29.8,60.9
12,Counterfeiting,862,376,344,43.6,39.9
13,Total Cognizable Crime,2364157,351761,1728161,14.9,73.1
