SL. No.,Heads of Offences,Number of Offences During - 1980,Number of Offences During - 1981,Percentage of Offences to Total Offences in 1981
1,Arms Act,1348,1357,1.4
2,Opium Act,205,183,0.2
3,Gambling Act ,18423,17397,17.8
4,Excise Act,2447,2268,2.3
5,Prohibition Act,29419,20712,21.2
6,Explosives & Explosive Substances Act,28,54,0.1
7,Suppression of Immoral Traffic Act,1033,1522,1.6
8,Motor Vehicles Act,1852,1980,2
9,Prevention of Corruption Act,5,2,Neg.
10,Customs Act,NA,NA,NA
11,Indian Railways Act,722,4343,4.4
12,Miscellaneous ,27411,47926,49
13,Total,82893,97744,100
