SL. No.,Crime Heads,Percentage of New Offenders Arrested to Total Arrested,Percentage of Offenders Who have been Arrested in the Past to Total Arrested - Once,Percentage of Offenders Who have been Arrested in the Past to Total Arrested - Twice,Percentage of Offenders Who have been Arrested in the Past to Total Arrested - Three times or more
1,Murder ,92.3,6,1.2,0.5
2,Culpable Homicide Not Amounting to Murder,89.5,6.8,3.1,0.6
3,Rape,95.6,3.9,0.4,0.1
4,Kidnapping & Abduction,93.5,4.6,1.3,0.6
5,Dacoity,82.4,9.7,4.9,3
6,Robbery,87.4,8.3,3.2,1.1
7,Burglary,84.7,9.4,4,1.9
8,Thefts,84.3,9.7,3.8,2.2
9,Riots,95.8,3.4,0.6,0.2
10,Criminal Breach of Trust,93.3,5.7,0.7,0.3
11,Cheating ,93.8,4.8,1.1,0.3
12,Counterfeiting,98,0.9,0.9,0.2
13,Total,93.5,4.6,1.3,0.6
