SL. No.,Crime Heads,Male,Female,Total,Percentage of Female to Total
1,Murder ,54994,1066,56060,1.9
2,Culpable Homicide Not Amounting to Murder,6269,68,6337,1.1
3,Rape,7360,47,7407,0.6
4,Kidnapping & Abduction,16936,532,17468,3.1
5,Dacoity,53729,324,54053,0.6
6,Robbery,27990,179,28169,0.6
7,Burglary,103624,2005,105629,1.9
8,Thefts,246495,6243,252738,2.5
9,Riots,560543,12643,573186,2.2
10,Criminal Breach of Trust,16845,101,16946,0.6
11,Cheating ,14818,170,14988,1.1
12,Counterfeiting,542,3,545,0.6
13,Total Cognizable Crimes,1968962,44126,2013088,2.2
