SL. No.,Category,States/U.Ts/Cities,Gain - Murder,Gain - Culpable Homocide Not Ampunting to Murder (C.H.),Dispute Over Property - Murder,Dispute Over Property - Culpable Homocide Not Ampunting to Murder (C.H.),Personal Vendetta - Murder,Personal Vendetta - Culpable Homocide Not Ampunting to Murder (C.H.),Sexual Causes - Murder,Sexual Causes - Culpable Homocide Not Ampunting to Murder (C.H.),Sudden Provocation - Murder,Sudden Provocation - Culpable Homocide Not Ampunting to Murder (C.H.),Lunacy - Murder,Lunacy - Culpable Homocide Not Ampunting to Murder (C.H.),Other Causes - Murder,Other Causes - Culpable Homocide Not Ampunting to Murder (C.H.),Total - Murder,Total - Culpable Homocide Not Ampunting to Murder (C.H.)
1,State,Andhra Pradesh ,101,2,68,3,121,5,182,NA,49,2,8,NA,813,29,1342,41
2,State,Assam,16,1,70,NA,90,NA,8,NA,131,5,NA,NA,293,12,608,18
3,State,Bihar,298,31,638,84,403,49,60,4,95,39,5,NA,962,149,2461,356
4,State,Gujarat,38,NA,78,NA,85,NA,96,NA,184,4,4,NA,540,1,1025,5
5,State,Haryana,5,2,67,13,38,2,19,4,38,42,NA,NA,204,33,371,96
6,State,Himachal Pradesh,7,NA,8,2,6,3,9,NA,7,4,NA,NA,11,5,48,14
7,State,Jammu and Kashmir,2,NA,15,2,3,NA,9,NA,7,NA,NA,NA,54,5,90,7
8,State,Karnataka ,75,NA,135,NA,108,NA,108,NA,104,NA,2,NA,410,28,942,28
9,State,Kerala,10,NA,25,NA,182,NA,26,NA,36,1,2,NA,258,12,539,13
10,State,Madhya Pradesh,201,NA,362,NA,567,2,137,3,7,NA,7,NA,1136,52,2417,57
11,State,Maharashtra,103,2,151,1,217,7,231,5,263,3,49,4,797,5,1811,27
12,State,Manipur,1,NA,7,NA,45,NA,1,NA,20,NA,NA,NA,49,4,123,4
13,State,Meghalaya,NA,NA,3,NA,NA,NA,NA,NA,14,NA,NA,NA,65,1,82,1
14,State,Nagaland,9,NA,2,NA,1,1,NA,NA,1,1,NA,NA,15,5,28,7
15,State,Orissa,33,4,27,5,107,2,30,NA,197,5,2,NA,145,26,541,42
16,State,Punjab,15,NA,70,14,41,3,41,3,107,79,NA,NA,281,34,555,133
17,State,Rajasthan,43,NA,152,NA,175,2,33,2,45,4,8,NA,426,35,882,43
18,State,Sikkim ,1,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,2,8,2
19,State,Tamil Nadu,65,NA,236,1,218,NA,181,NA,74,2,4,NA,613,7,1391,10
20,State,Tripura,5,NA,7,NA,11,1,13,NA,4,NA,NA,NA,53,1,93,2
21,State,Uttar Pradesh,856,172,920,237,2006,910,292,39,118,54,13,2,1488,192,5693,1606
22,State,West Bengal ,207,47,230,127,326,130,40,16,83,68,4,3,503,117,1393,508
Total (States),State,Total (States),2091,261,3271,489,4750,1117,1516,76,1591,313,108,9,9116,755,22443,3020
23,UT,A & N Islands,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,1,6,1
24,UT,Arunachal Pradesh,NA,NA,1,NA,NA,NA,NA,NA,7,NA,NA,NA,9,3,17,3
25,UT,Chandigarh,1,NA,NA,NA,2,NA,3,NA,1,2,NA,NA,2,2,9,4
26,UT,D & N Haveli,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA
27,UT,Delhi,2,NA,19,43,57,46,8,NA,22,63,NA,NA,91,78,199,230
28,UT,"Goa, Daman & Diu",1,NA,NA,1,4,NA,1,NA,6,2,NA,1,9,3,21,7
29,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA
30,UT,Mizoram,5,NA,NA,1,1,NA,NA,NA,2,3,1,NA,10,3,19,7
31,UT,Pondicherry,NA,NA,NA,NA,9,NA,NA,NA,1,NA,NA,NA,1,NA,11,NA
Total (UTs),UT,Total (UTs),10,NA,20,45,74,46,12,NA,41,70,1,1,126,90,284,252
Total (All-India),Total (All-India),Total (All-India),2101,261,3291,534,4824,1163,1528,76,1632,383,109,10,9242,845,22727,3272
1,City,Ahmedabad ,1,NA,4,NA,3,NA,NA,NA,12,NA,NA,NA,37,1,57,1
2,City,Bangalore ,4,NA,1,NA,NA,NA,NA,NA,N,NA,NA,NA,33,2,38,2
3,City,Bombay,14,2,10,NA,53,1,14,NA,50,NA,NA,NA,87,NA,228,3
4,City,Calcutta,7,NA,2,1,34,8,NA,NA,N,NA,NA,NA,57,2,100,11
5,City,Delhi,2,NA,16,38,50,41,6,NA,19,56,NA,NA,83,72,176,207
6,City,Hyderabad,1,NA,1,3,7,5,3,NA,10,2,NA,NA,7,3,29,13
7,City,Kanpur,2,6,17,3,164,12,3,10,7,15,NA,NA,11,4,204,50
8,City,Madras,4,NA,12,NA,13,NA,5,NA,3,1,1,NA,11,4,49,5
9,City,Pune,2,NA,NA,NA,4,NA,13,NA,11,1,NA,NA,29,2,59,3
10,City,Jaipur,4,NA,5,NA,5,NA,3,NA,4,NA,NA,NA,3,7,24,7
11,City,Lucknow,4,NA,14,3,41,17,NA,NA,3,1,NA,NA,9,4,71,25
12,City,Nagpur,NA,NA,1,NA,2,NA,3,NA,9,NA,NA,NA,41,NA,56,NA
Total (Cities),City,Total (Cities),45,8,83,48,376,84,50,10,128,76,1,NA,408,101,1091,327
