SL. No.,Category,States/U.Ts/Cities,Murder - 1981,Murder - 1982,Murder - Percentage Variation,Kidnapping & Abduction - 1981,Kidnapping & Abduction - 1982,Kidnapping & Abduction - Percentage Variation,Dacoity - 1981,Dacoity - 1982,Dacoity - Perentage Variation,Robbery - 1981,Robbery - 1982,Robbery - Percentage Variation,Burglary - 1981,Burglary - 1982,Burglary - Percentage Variation,Thefts - 1981,Thefts - 1982,Thefts - Percentage Variation,Riots - 1981,Riots - 1982,Riots - Percentage Variation,Criminal Breach of Trust - 1981,Criminal Breach of Trust - 1982,Criminal Breach of Trust - Percentage Variation,Cheating - 1981,Cheating - 1982,Cheating - Percentage Variation,Counterfeiting - 1981,Counterfeiting - 1982,Counterfeiting - Percentage Variation,Total Cognizable Crime - 1981,Total Cognizable Crime - 1982,Total Cognizable Crime - Percentage Variation
1,State,Andhra Pradesh,1342,1483,10.5,310,384,23.9,392,336,-14.3,519,517,-0.4,7162,6691,-6.6,18423,16936,-8.1,4801,4345,-9.5,581,606,4.3,775,908,17.2,23,56,143.5,75294,79722,5.9
2,State,Assam,608,615,1.2,775,692,-10.7,394,470,19.3,664,650,-2.1,5652,5543,-1.9,11037,10604,-3.9,5807,6042,4,501,501,0,570,536,-6,4,53,1225,43797,43632,-0.4
3,State,Bihar,2461,2681,8.9,1205,1164,-3.4,3448,3479,0.9,1933,1935,0.1,12587,11354,-9.8,29705,24719,-16.8,16868,14717,-12.8,1491,1272,-14.7,1232,1160,-5.8,9,13,44.4,107006,106768,-0.2
4,State,Gujarat,1025,1056,3,571,635,11.2,282,275,-2.5,942,831,-11.8,6406,5633,-12.1,20927,20561,-1.8,3138,2150,-31.5,1335,1400,4.9,694,855,23.2,7,26,271.4,78639,80740,2.7
5,State,Haryana,371,340,-8.4,200,217,8.5,38,37,-2.6,87,76,-12.6,2656,2353,-11.4,4094,3513,-14.2,243,238,-2.1,353,298,-15.6,343,311,-9.3,2,2,0,16699,16563,-0.8
6,State,Himachal Pradesh,48,69,43.8,79,65,-17.7,1,1,0,22,19,-13.6,533,424,-20.5,614,543,-11.6,202,200,-1,78,84,7.7,90,81,-10,1,1,0,4197,3989,-5
7,State,Jammu & Kashmir,90,91,1.1,475,449,-5.5,10,10,0,22,45,104.5,1347,1391,3.3,3184,2581,-18.9,1822,1837,0.8,135,145,7.4,160,176,10,3,2,-33.3,1597,15523,-2.8
8,State,Karnataka,942,886,-5.9,323,270,-16.4,231,171,-26,723,513,-29,9559,8091,-15.4,21514,18214,-15.3,5686,5742,1,976,653,-33.1,1422,1088,-23.5,167,136,-18.6,79605,74479,-6.4
9,State,Kerala,539,528,-2,144,120,-16.7,54,39,-27.8,172,171,-0.6,4568,4370,-4.3,3953,3495,-11.6,5657,5645,-0.2,316,268,-15.2,498,556,11.6,109,135,23.9,48064,46096,-4.1
10,State,Madhya Pradesh,2417,2516,4.1,975,991,1.6,629,436,-30.7,2939,2706,-7.9,25433,22985,-9.6,52415,48277,-7.9,6224,6787,9,1302,1398,7.4,1418,1467,3.5,26,30,15.4,169119,170310,0.7
11,State,Maharashtra,1811,1932,6.7,865,846,-2.2,676,713,5.5,3660,3603,-1.6,19803,17473,-11.8,68377,59755,-12.6,9120,9434,3.4,2851,2550,-10.6,2419,2202,-9,27,132,388.9,172976,165747,-4.2
12,State,Manipur,123,70,-43.1,184,181,-1.6,53,29,-45.3,149,90,-39.6,218,250,14.7,661,637,-3.6,168,190,13.1,51,68,33.3,85,127,49.4,9,7,-22.2,3278,3081,-6
13,State,Meghalaya,82,67,-18.3,25,23,-8,29,26,-10.3,57,43,-24.6,249,183,-26.5,613,515,-16,160,88,-45,21,15,-28.6,44,23,-46.7,NA,NA,NA,2122,1733,-18.3
14,State,Nagaland,28,18,-35.7,17,21,23.5,9,12,33.3,54,67,24.1,286,328,14.7,486,457,-6,37,60,62.2,29,38,31,32,42,31.3,1,1,0,993,1058,6.5
15,State,Orissa,541,552,2,210,218,3.8,416,333,-20,1091,873,-20,7691,6964,-9.5,14611,13529,-7.4,3313,2878,-13.1,558,492,-11.8,342,326,-4.7,13,9,-30.8,47780,48060,0.6
16,State,Punjab,555,575,3.6,279,245,-12.2,1,1,0,21,23,9.5,1212,1094,-9.7,2315,1988,-14.1,119,72,-39.5,681,369,-45.8,335,307,-8.4,1,2,100,13588,12263,-9.8
17,State,Rajasthan,882,939,6.5,1674,1630,-2.6,152,146,-4,1247,1419,13.8,6891,6680,-3.1,14016,14016,0,10138,11665,15.1,1151,1067,-7.3,1691,1796,6.2,NA,9,NA,67052,73610,9.8
18,State,Sikkim,8,13,62.5,3,NA,NA,NA,3,NA,9,6,-33.3,33,21,-36.4,99,86,-13.1,3,3,0,9,9,0,7,5,-286,2,NA,NA,295,226,-23.4
19,State,Tamil Nadu,1391,1347,-3.2,711,805,13.2,46,59,28.3,294,321,9.2,9959,8851,-11.1,33135,28583,-13.7,12406,11057,-10.9,1252,1166,-6.9,1169,1191,1.9,211,184,-12.8,118471,115410,-2.6
20,State,Tripura,93,98,5.4,51,73,43.1,160,198,23.8,126,175,38.9,853,1001,17.4,2393,1361,-43.1,416,446,7.2,24,43,79.2,38,20,-47.4,3,NA,NA,4178,5486,31.3
21,State,Uttar Pradesh,5693,5788,1.7,2978,2671,-10.3,6129,4437,-27.6,6606,6196,-6.2,26718,24359,-8.8,63761,54797,-14.1,10136,10027,-1.1,4700,3938,-16.2,2599,2428,-6.6,311,46,-85.2,185485,167747,-9.6
22,State,West Bengal,1393,1324,-5,954,916,-4,1411,1413,0.1,1337,1386,3.7,4763,3992,-16.2,34587,33068,-4.4,13190,12237,-7.2,1439,1287,-10.6,1041,1102,5.9,42,61,45.2,89207,83379,-6.5
Total (States),State,Total (States),22443,22988,2.4,13008,12616,-3,14561,12624,-13.3,22674,21665,-4.5,154479,140031,-9.4,400920,358235,-10.6,109654,105860,-3.5,19834,17667,-10.9,17004,16707,-1.8,971,905,-6.8,1343818,1315622,-2.1
23,UT,A & N Islands,6,7,16.7,9,6,-33.3,NA,NA,NA,5,NA,NA,79,71,-10.1,210,199,-5.2,43,42,-2.3,10,7,-30,1,3,200,NA,NA,NA,737,702,-4.8
24,UT,Arunachal Pradesh,17,30,76.5,20,21,5,5,9,80,24,21,-12.5,94,127,35.1,215,234,8.8,17,18,5.9,14,11,-21.4,11,4,-63.6,NA,NA,NA,841,1011,20.2
