SL. No.,Category,States/U.Ts/Cities,IPC Cognizable Offences Reported - Murder,IPC Cognizable Offences Reported - Culpable Homicide Not Amounting to Murder,IPC Cognizable Offences Reported - Rape,IPC Cognizable Offences Reported - Kidnapping & Abduction,IPC Cognizable Offences Reported - Dacoity,IPC Cognizable Offences Reported - Robbery,IPC Cognizable Offences Reported - Burglary,IPC Cognizable Offences Reported - Thefts,IPC Cognizable Offences Reported - Riots,IPC Cognizable Offences Reported - Criminal Breach of Trust,IPC Cognizable Offences Reported - Cheating,IPC Cognizable Offences Reported - Counterfeiting,IPC Cognizable Offences Reported - Total Crime under IPC
1,State,Andhra Pradesh,21,NA,21,5,4,12,195,388,51,1,NA,NA,937
2,State,Assam,90,3,42,111,89,80,776,1079,1241,32,27,NA,4353
3,State,Bihar,40,NA,12,12,62,27,215,448,471,NA,1,NA,1496
4,State,Gujarat,145,1,9,108,88,70,465,1551,745,62,62,NA,7696
5,State,Haryana,39,14,12,26,2,8,113,212,43,5,5,NA,479
6,State,Himachal Pradesh,11,1,7,9,1,1,34,43,60,1,2,NA,450
7,State,Jammu and Kashmir,8,NA,12,19,2,8,38,75,472,4,10,NA,700
8,State,Karnataka,31,1,8,12,7,24,271,460,386,5,14,NA,1965
9,State,Kerala,5,NA,NA,NA,NA,2,52,59,63,NA,1,NA,242
10,State,Madhya Pradesh,257,4,138,101,39,154,930,1749,901,36,43,NA,9853
11,State,Maharashtra,389,7,115,90,267,475,1885,4405,4489,53,99,NA,19278
12,State,Manipur,16,NA,2,11,9,10,19,64,48,NA,5,NA,326
13,State,Meghalaya,NA,NA,1,1,NA,NA,10,40,12,NA,NA,NA,70
14,State,Nagaland,NA,NA,4,NA,1,5,43,34,NA,NA,NA,NA,87
15,State,Orissa,2,1,NA,NA,19,1,92,261,NA,1,1,NA,417
16,State,Punjab,12,2,1,3,NA,NA,29,45,NA,NA,NA,NA,551
17,State,Rajasthan,82,1,21,52,7,38,195,417,809,5,42,NA,2925
18,State,Sikkim,NA,NA,1,NA,NA,NA,3,19,1,NA,NA,NA,30
19,State,Tamil Nadu,50,1,5,1,1,2,488,1541,141,7,NA,NA,2585
20,State,Tripura,3,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,10
21,State,Uttar Pradesh,2,NA,7,3,NA,1,12,33,1,1,1,1,62
22,State,West Bengal,21,8,12,14,38,47,148,489,830,4,12,NA,3318
Total (States),State,Total (States),1224,44,430,578,636,965,6013,13417,10766,217,325,1,57830
23,UT,A & N Islands,NA,NA,NA,NA,NA,NA,8,40,10,NA,NA,NA,60
24,UT,Arunachal Pradesh,2,NA,NA,NA,NA,1,10,23,4,NA,NA,NA,87
25,UT,Chandigarh,1,NA,NA,NA,NA,2,2,12,NA,NA,NA,NA,34
26,UT,D & N Haveli,NA,NA,NA,NA,NA,NA,1,10,2,NA,NA,NA,14
27,UT,Delhi,53,28,3,33,13,7,121,391,11,3,NA,2,703
28,UT,"Goa, Daman & Diu",3,NA,NA,NA,1,3,43,61,78,2,NA,NA,241
29,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2
30,UT,Mizoram,1,NA,7,NA,NA,4,5,50,1,4,2,NA,187
31,UT,Pondicherry,5,NA,1,1,1,NA,10,24,34,NA,3,NA,187
Total (UTs),UT,Total (UTs),65,28,11,34,15,17,201,612,140,9,5,2,1515
Total (All-India),Total (All-India),Total (All-India),1289,72,441,612,651,982,6214,14029,10906,226,330,3,59345
1,City,Ahmedabad,12,NA,NA,27,4,7,56,348,141,12,17,NA,1606
2,City,Bangalore,2,NA,2,2,NA,10,130,168,35,3,8,NA,591
3,City,Bombay,NA,1,3,NA,NA,5,NA,139,NA,NA,NA,NA,301
4,City,Calcutta,NA,NA,NA,NA,1,3,NA,67,9,NA,NA,NA,98
5,City,Delhi,53,28,3,33,13,7,121,391,11,3,NA,2,703
6,City,Hyderabad,NA,NA,NA,NA,NA,7,29,83,NA,NA,NA,NA,119
7,City,Jaipur,3,NA,NA,13,1,6,15,43,76,2,3,NA,259
8,City,Kanpur,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2
9,City,Lucknow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,City,Madras,3,NA,3,NA,NA,NA,47,403,23,7,NA,NA,654
11,City,Nagpur,17,1,11,6,2,59,96,200,35,3,9,NA,675
12,City,Pune,9,NA,8,4,4,19,68,283,94,9,5,NA,NA
Total (Cities),City,Total (Cities),99,30,30,85,25,123,562,2127,424,39,42,2,6173
