SL. No.,Category,States/U.Ts/Cities,1981,1982,"Percentage Variation in 1982 Over 1981 (+) Increase, (-)Decrease"
1,State,Andhra Pradesh,111806,122581,9.6
2,State,Assam,54789,63634,16.1
3,State,Bihar,194163,198931,2.5
4,State,Gujarat,116375,115738,-0.5
5,State,Haryana,25632,25402,-0.9
6,State,Himachal Pradesh,6515,6319,-3
7,State,Jammu & Kashmir,24799,16536,-33.3
8,State,Karnataka,118452,111086,-6.2
9,State,Kerala,82122,77680,-5.4
10,State,Madhya Pradesh,215003,221469,3
11,State,Maharashtra,234165,227831,-2.7
12,State,Manipur,3889,4259,9.5
13,State,Meghalaya,3173,2496,-21.3
14,State,Nagaland,1167,990,-15.2
15,State,Orissa,82981,88137,6.2
16,State,Punjab,24045,22252,-7.5
17,State,Rajasthan,105847,119386,12.8
18,State,Sikkim,242,173,-28.5
19,State,Tamil Nadu,176587,170642,-3.4
20,State,Tripura,7647,7395,-3.3
21,State,Uttar Pradesh,257976,236969,-8.1
22,State,West Bengal,133217,133804,0.4
Total (States),State,Total (States),1980592,1973710,-0.3
23,UT,A & N Islands,1139,1062,-6.8
24,UT,Arunachal Pradesh,783,1093,39.6
25,UT,Chandigarh,3007,1378,-54.2
26,UT,D & N Haveli,220,170,-22.7
27,UT,Delhi,18167,20937,15.2
28,UT,"Goa, Daman & Diu",4337,4013,-7.5
29,UT,Lakshadweep,28,15,-46.4
30,UT,Mizoram,1874,2379,26.9
31,UT,Pondicherry,2941,2773,-5.7
Total (UTs),UT,Total (UTs),32496,33820,4.1
Total (All-India),Total (All-India),Total (All-India),2013088,2007530,-0.3
1,City,Ahmedabad,16245,15418,-5.1
2,City,Bangalore,8839,7800,-11.8
3,City,Bombay,29543,29445,-0.3
4,City,Calcutta,22618,21406,-5.4
5,City,Delhi,17067,20902,22.5
6,City,Hyderabad,3744,4297,14.8
7,City,Jaipur,4042,4778,18.2
8,City,Kanpur,8644,5042,-41.7
9,City,Lucknow,NA,6816,NA
10,City,Madras,10477,9396,-10.3
11,City,Nagpur,5711,5792,1.4
12,City,Pune,11266,11529,2.3
Total (Cities),City,Total (Cities),138196,142621,3.2
