SL. No.,Crime Heads,Total number of persons in custody or on bail during the stage of investigation including persons under arrest carried over from previous year,Total number of Persons in custody or on bail during the stage of investigation at the end of the year,Persons in whose cases chargesheets were laid during the year,Percentage of persons in custody or on bail during the stage of investigation pending at the end of the year to total persons in custody or on bail during the stage of investigation,Percentage of persons in whose cases chargesheets were laid to total persons under custody during the stage of investigation
1,Arms Act,74129,8140,65058,11,87.8
2,Opium Act,21923,6547,15211,29.9,69.4
3,Gambling Act,368337,11990,355616,3.3,96.5
4,Excise Act,137699,17805,118770,12.9,86.3
5,Prohibition Act,833265,445359,330288,53.4,39.6
6,Explosive & Explosive Substances Act,6407,2487,3170,38.8,49.5
7,Suppression of Immoral Traffic Act,16965,557,16387,3.3,96.6
8,Motor Vehicles Act,990441,29202,956339,2.9,96.6
9,Prevention of Corruption Act,622,360,239,57.9,38.4
10,Customs Act,120,11,83,9.2,69.2
11,Indian Railways Act,48143,434,47478,0.9,98.6
12,Other Offences Under Local & Special Laws,1215800,24765,1163186,2,95.7
13,Total,3713851,547657,3071825,14.7,82.7
