SL. No.,Crime Heads,Total number of persons under trial during the year including persons carried over from previous year,Number of persons against whom cases were compounded or withdrawn,Persons in whose cases trials were completed,Persons in custody or on bail during the stage of trial at the end of the year,Number of Persons convicted during the year,Percentage of persons in custody pending trial to total number of persons under trials,Percentage of persons convicted to total persons in whose cases trials were completed during the year
1,Arms Act,204796,469,63785,140542,41959,68.6,65.8
2,Opium Act,33922,103,11754,22065,8373,65,74.3
3,Gambling Act,639525,2304,361830,275391,301236,43.1,83.3
4,Excise Act,284684,941,108415,175328,80572,61.6,74.3
5,Prohibition Act,736663,19636,245308,471719,123289,64,50.3
6,Explosive & Explosive Substances Act,9573,45,2499,7029,1428,73.4,57.1
7,Suppression of Immoral Traffic Act,24326,598,15384,8344,14154,34.3,92
8,Motor Vehicles Act,1205936,4811,965661,235464,909021,19.5,94.1
9,Prevention of Corruption Act,841,NA,257,584,116,69.4,45.1
10,Customs Act,146,NA,50,96,38,65.8,76
11,Indian Railways Act,56512,139,46006,10367,45072,18.3,98
12,Other Offences Under Local & Special Laws,1465465,22841,1139299,303325,1062708,20.7,93.3
13,Total,4662389,51887,2960248,1650254,2588330,35.4,87.4
