SL. No.,Crime Heads,Percentage of New Offenders Arrested to Total Arrested,Percentage of Offenders Who have been Arrested in the Past to Total Arrested - Once,Percentage of Offenders Who have been Arrested in the Past to Total Arrested - Twice,Percentage of Offenders Who have been Arrested in the Past to Total Arrested - Three time or more
1,Murder,94.2,4.9,0.6,0.3
2,Culpable Homicide Not Amounting to Murder,94.4,4.2,1,0.4
3,Rape,96.4,3.2,0.3,0.1
4,Kidnapping & Abduction,94.5,4.5,0.8,0.2
5,Dacoity,88.1,8,2.8,1.1
6,Robbery,89.9,7.3,1.9,9
7,Burglary,87,8.1,3.2,1.7
8,Thefts,87.1,8.1,3,1.8
9,Riots,96.2,3.2,0.4,0.2
10,Criminal Breach of Trust,95.3,3.8,0.7,0.2
11,Cheating,95.2,3.8,0.8,0.2
12,Counterfeiting,98.5,1.5,NA,NA
13,Total IPC,94.4,4.1,1,0.5
