SL. No.,Category,States/UTs/Cities,Murder - Incidence (I),Murder - Volume (V),Culpable Homicide Not Amounting to Murder - Incidence (I),Culpable Homicide Not Amounting to Murder - Volume (V),Rape - Incidence (I),Rape - Volume (V),Kidnapping & Abduction - Incidence (I),Kidnapping & Abduction - Volume (V),Dacoity - Incidence (I),Dacoity - Volume (V),Robbery - Incidence (I),Robbery - Volume (V),Burglary - Incidence (I),Burglary - Volume (V),Thefts - Incidence (I),Thefts - Volume (V),Riots - Incidence (I),Riots - Volume (V),Criminal Breach of Trust - Incidence (I),Criminal Breach of Trust - Volume (V),Cheating - Incidence (I),Cheating - Volume (V),Counterfeiting - Incidence (I),Counterfeiting - Volume (V),Other - Incidence (I),Other - Volume (V),Total Cognizable Crimes Under IPC - Incidence (I),Total Cognizable Crimes Under IPC - Volume (V)
1,State,Andhra Pradesh,1401,2.5,32,0.1,349,0.6,452,0.8,374,0.7,532,0.9,6529,11.7,17251,30.8,3813,6.8,613,1.1,1012,1.8,84,0.1,52331,93.4,84773,151.3
2,State,Assam,1911,9.1,24,0.1,265,1.3,761,3.6,519,2.5,698,3.3,4392,20.8,9735,46.2,9917,47.1,413,2,492,2.3,NA,NA,19852,94.2,48979,232.5
3,State,Bihar,3107,4.2,628,0.9,643,0.9,1653,2.2,3607,4.9,2156,2.9,10446,14.2,27955,38,17567,23.9,1408,1.9,1314,1.8,14,0.02,38164,51.9,108662,147.8
4,State,Gujarat,958,2.7,5,0.01,92,0.3,561,1.6,186,0.5,827,2.3,5620,15.7,18882,52.7,1974,5.5,1236,3.5,899,2.5,13,0.04,48306,134.9,79559,222.2
5,State,Haryana,366,2.7,103,0.7,85,0.6,202,1.5,26,0.2,86,0.6,2300,16.7,3261,23.6,215,1.6,254,1.8,354,2.6,11,0.1,9511,69,16774,121.6
6,State,Himachal Pradesh,64,1.4,17,0.4,32,0.7,66,1.5,2,0.04,23,0.5,462,10.3,561,12.5,217,4.8,100,2.2,84,1.9,2,0.04,2800,62.5,4430,98.9
7,State,Jammu & Kashmir,103,1.6,8,0.1,146,2.3,461,7.3,33,0.5,46,0.7,1366,21.7,2573,40.8,2022,32.1,141,2.2,205,3.3,NA,NA,10035,159.3,17139,272
8,State,Karnataka,947,2.4,15,0.04,119,0.3,301,0.8,166,0.4,589,1.5,9069,23.2,17462,44.6,5735,14.7,802,2.1,1259,3.2,131,0.3,40709,104.1,77304,197.6
9,State,Kerala,514,1.9,24,0.1,116,0.4,108,0.4,33,0.1,138,0.5,4119,15.5,3468,13.1,5440,20.5,408,1.5,850,3.2,97,0.4,31994,120.6,47309,178.3
10,State,Madhya Pradesh,2593,4.7,45,0.1,1271,2.3,1019,1.9,497,0.9,2660,4.8,21613,39.4,42081,76.6,6602,12,1289,2.3,1628,3,18,0.03,85039,154.9,166355,303
