SL. No.,States/U.Ts.,Districts,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,Hyderabad City,95,1,29,85,21,99,1161,2723,184,93,321,2,8291
2,Andhra Pradesh,Srikakulam,33,NA,2,11,5,5,111,179,162,33,13,NA,4043
3,Andhra Pradesh,Vizianagaram,15,NA,12,18,1,4,129,278,113,31,33,1,4080
4,Andhra Pradesh,Visakhapatnam (R ),31,NA,5,147,3,9,80,171,62,12,14,NA,1491
5,Andhra Pradesh,Visakhapatnam (U),14,NA,5,9,3,12,194,608,66,28,39,NA,1685
6,Andhra Pradesh,East Godavari,67,1,37,41,7,15,356,997,55,59,50,5,3691
7,Andhra Pradesh,West Godavari,44,NA,27,26,5,11,271,1012,179,25,47,NA,2898
8,Andhra Pradesh,Krishna,45,1,38,13,9,9,192,416,167,12,6,2,3695
9,Andhra Pradesh,Vijayawada (U),16,NA,25,17,4,13,156,660,30,19,48,1,2512
10,Andhra Pradesh,Guntur,105,NA,28,35,3,29,359,1399,126,24,71,4,5524
11,Andhra Pradesh,Nellore,65,NA,29,31,15,27,273,894,103,49,37,NA,4994
12,Andhra Pradesh,Prakasham,50,NA,10,16,9,23,240,594,107,24,23,NA,1858
13,Andhra Pradesh,Kurnool,134,2,7,13,9,9,155,328,159,8,23,7,1869
14,Andhra Pradesh,Cuddapah,100,1,7,14,5,7,188,446,379,14,12,4,2868
15,Andhra Pradesh,Anantapur,77,NA,8,25,13,9,243,639,180,20,24,6,5326
16,Andhra Pradesh,Chittoor,69,1,10,23,13,13,288,857,243,24,39,1,3158
17,Andhra Pradesh,Ranga Reddy,75,1,20,24,28,27,294,632,345,56,55,2,3424
18,Andhra Pradesh,Mahabubnagar,116,5,14,13,10,16,273,384,245,8,25,2,2978
19,Andhra Pradesh,Nizamabad,86,NA,8,22,21,35,132,338,139,20,22,NA,2638
20,Andhra Pradesh,Nalgonda,58,1,9,9,19,28,173,295,224,9,10,1,2355
21,Andhra Pradesh,Medak,68,1,13,14,4,28,162,886,206,4,17,NA,2863
22,Andhra Pradesh,Warangal,80,3,25,18,30,23,175,482,166,9,18,2,2234
23,Andhra Pradesh,Khammam,58,NA,25,17,6,7,198,354,69,6,24,2,2485
24,Andhra Pradesh,Karimnagar,99,1,24,10,46,98,192,392,172,24,39,4,2679
