SL. No.,Category,State/UT,Area in Square Kms.,Estimated Mid-Year Population (in 000),Total Cognizable Crimes Under IPC,Actual Police Strength - Civil,Actual Police Strength - Armed,Actual Police Strength - Total,Number of Policemen Per 100 SQ. KM. Area,Number of Policemen Per 1000 of Population,Number of IPC Cases Per Civil Policeman,Percentage of Civil Police to Total Police
1,State,Andhra Pradesh,275068,57088,82559,31658,21147,52805,19.2,0.9,2.6,60
2,State,Assam,78438,21534,35145,18104,21268,39372,50.2,1.8,0.2,46
3,State,Bihar,173877,75061,104763,53353,13110,66463,38.2,0.9,1.9,80.3
4,State,Gujarat,196024,36530,83930,45963,12208,58171,29.7,1.6,1.8,79
5,State,Haryana,44212,14181,17912,13487,4325,17812,40.3,1.3,1.3,75.7
6,State,Himachal Pradesh,55673,4564,5065,6095,2132,8227,14.8,1.8,0.8,74.1
7,State,Jammu and Kashmir,222236,6448,17122,17084,8918,26002,11.7,4,1,65.7
8,State,Karnataka,191791,39950,78866,39225,4856,44081,23,1.1,2,89
9,State,Kerala,38863,27032,48932,21068,4763,25831,66.5,1,2.3,81.6
10,State,Madhya Pradesh,443446,56136,167945,56367,24237,80604,18.2,1.4,3,69.9
11,State,Maharashtra,307690,67481,163667,123763,11341,135104,43.9,2,1.3,91.6
12,State,Manipur,22327,1547,2886,3748,5009,8757,39.2,5.7,0.7,42.8
13,State,Meghalaya,22429,1467,1613,3861,1763,5624,25.1,3.8,0.4,68.7
14,State,Nagaland,16579,889,1964,6332,6489,12821,77.3,14.4,0.3,49.4
15,State,Orissa,155707,28000,44817,23819,6344,30163,19.4,1.1,1.9,79
16,State,Punjab,50362,17981,12828,28486,5964,34450,68.4,1.9,0.5,82.7
17,State,Rajasthan,342239,37522,71672,40053,6933,46986,13.7,1.3,1.8,85.3
18,State,Sikkim,7096,359,283,1367,384,1751,24.7,4.9,0.2,78.1
19,State,Tamil Nadu,130058,51152,113714,44551,6011,50562,38.9,1,2.6,88.1
20,State,Tripura,10486,2238,6025,4894,1777,6671,636,3,1.2,73.4
21,State,Uttar Pradesh,294411,118947,180189,110777,31920,142697,48.5,1.2,1.6,77.6
22,State,West Bengal,88752,58333,74899,42261,27696,69957,78.8,1.2,1.8,60.4
Total (States),State,Total (States),3167764,724440,1316796,736316,228595,964911,30.5,1.3,1.8,76.3
23,UT,A & N Islands,8249,221,739,1754,194,1948,23.6,8.8,0.4,90.1
24,UT,Arunachal Pradesh,83743,695,960,1985,NA,1985,2.4,2.9,0.5,100
25,UT,Chandigarh,114,542,1806,1353,991,2344,2056.1,4.3,1.3,57.7
26,UT,D & N Haveli,491,113,283,83,91,174,35.4,1.5,3.4,47.7
27,UT,Delhi,1483,7136,30773,19470,9868,29338,1978.3,4.1,1.6,66.4
28,UT,"Goa, Daman & Diu",3814,1177,3090,1893,600,2493,65.4,2.1,1.6,75.9
29,UT,Lakshadweep,32,42,23,286,NA,286,893.8,6.8,0.1,100
30,UT,Mizoram,21081,565,1577,1605,1062,2667,12.7,4.7,1,71.4
31,UT,Pondicherry,492,653,2613,1011,544,1555,316.1,2.4,2.6,65
Total (UTs),UT,Total (UTs),119499,11144,41864,29440,13350,42790,35.8,3.8,1.4,68.8
All India,All India,All India,3287263,735584,1358660,765756,241945,1007701,30.7,1.4,1.8,76
