SL. No.,Category,States/UTs/Cities,Murder - Incidence (I),Murder - Volume (V),Culpable Homicide Not Amounting to Murder - Incidence (I),Culpable Homicide Not Amounting to Murder - Volume (V),Rape - Incidence (I),Rape - Volume (V),Kidnapping & Abduction - Incidence (I),Kidnapping & Abduction - Volume (V),Dacoity - Incidence (I),Dacoity - Volume (V),Robbery - Incidence (I),Robbery - Volume (V),Burglary - Incidence (I),Burglary - Volume (V),Theft - Incidence (I),Theft - Volume (V),Riots - Incidence (I),Riots - Volume (V),Criminal Breach of Trust - Incidence (I),Criminal Breach of Trust - Volume (V),Cheating - Incidence (I),Cheating - Volume (V),Counterfeiting - Incidence (I),Counterfeiting - Volume (V),Total Cognizable Crimes Under IPC - Incidence (I),Total Cognizable Crimes Under IPC - Volume (V)
1,State,Andhra Pradesh,1654,2.9,19,0,420,0.7,659,1.2,307,0.5,597,1,6119,10.7,16137,28.3,3946,6.9,633,1.1,1025,1.8,46,0.1,82559,144.6
2,State,Assam,747,3.5,35,0.1,263,1.2,774,3.6,456,2.1,428,2,4333,20.1,7870,36.5,4760,22.1,411,1.9,473,2.2,30,0.1,35145,163.2
3,State,Bihar,3088,4.1,566,0.8,603,0.8,1629,2.2,3205,4.3,2047,2.7,9719,12.9,21745,29,15853,21.1,1345,1.8,1223,1.6,16,0,104763,139.6
4,State,Gujarat,1031,2.8,10,0,137,0.4,606,1.7,150,0.4,843,2.3,5411,14.8,18105,49.6,2057,5.6,1185,3.2,843,2.3,12,0,83930,229.8
5,State,Haryana,394,2.8,119,0.8,115,0.8,174,1.2,35,0.2,66,0.5,2219,15.6,3159,22.3,279,2,244,1.7,319,2.2,5,0,17912,126.3
6,State,Himachal Pradesh,61,1.3,15,0.3,25,0.5,72,1.6,1,0,21,0.5,525,11.5,504,11,308,6.7,82,1.8,89,2,NA,0,5065,111
7,State,Jammu & Kashmir,120,1.9,9,0.1,142,2.2,458,7.1,25,0.4,37,0.6,1341,20.8,2629,40.8,2066,32,138,2.1,186,2.9,NA,0,17122,265.5
8,State,Karnataka,1117,2.8,19,0,133,0.3,278,0.7,223,0.6,537,1.3,8060,20.2,16520,41.4,6254,15.7,673,1.7,1204,3,236,0.6,78866,197.4
9,State,Kerala,514,1.9,14,0.1,131,0.5,152,0.6,37,0.1,155,0.6,4203,15.5,3385,12.5,5222,19.3,301,1.1,946,3.5,229,0.8,48932,181
10,State,Madhya Pradesh,2669,4.8,48,0.1,1339,2.4,953,1.7,492,0.9,2508,4.5,21159,37.7,40032,71.3,6051,10.8,1090,1.9,1271,2.3,18,0,167945,299.2
11,State,Maharashtra,2158,3.2,65,0.1,696,1,929,1.4,654,1,3227,4.8,16104,23.9,52836,78.3,5649,8.4,2571,3.8,2284,3.4,59,0.1,163667,242.5
12,State,Manipur,68,4.4,7,0.5,14,0.9,202,13.1,28,1.8,65,4.2,242,15.6,586,37.9,254,16.4,58,3.7,145,9.4,7,0.5,2886,186.6
13,State,Meghalaya,63,4.3,32,2.2,15,1,20,1.4,21,1.4,32,2.2,126,8.6,510,34.8,61,4.2,16,1.1,12,0.8,3,0.2,1613,109.9
14,State,Nagaland,27,3,5,0.6,14,1.6,19,2.1,14,1.6,55,6.2,248,27.9,424,47.7,51,5.7,80,9,51,5.7,1,0.1,1964,220.9
15,State,Orissa,588,2.1,71,0.3,174,0.6,210,0.8,261,0.9,774,2.8,6222,22.2,10418,37.2,2836,10.1,464,1.7,313,1.1,15,0.1,44817,160.1
16,State,Punjab,744,4.3,174,1,59,0.3,168,0.9,11,0.1,103,0.6,905,5,1447,8,83,0.5,259,1.4,289,1.6,6,0,12828,71.3
17,State,Rajasthan,1005,2.7,58,0.2,379,1,1545,4.1,108,0.3,1131,3,6068,16.2,11477,30.6,12428,33.1,1075,2.9,2157,5.7,9,0,71672,191
18,State,Sikkim,3,0.8,NA,0,7,2,5,1.4,1,0.3,5,1.4,46,12.8,103,28.7,7,2,7,2,2,0.6,NA,0,283,78.9
19,State,Tamil Nadu,1411,2.8,12,0,222,0.4,709,1.4,58,0.1,354,0.7,10219,20,26113,51,9862,19.3,1411,2.8,1161,2.3,225,0.4,113714,222.3
20,State,Tripura,118,5.3,16,0.7,19,0.8,50,2.2,283,12.6,254,11.4,1189,53.1,1348,60,492,22,37,1.7,21,0.9,2,0.1,6025,269.3
21,State,Uttar Pradesh,6324,5.3,1894,1.6,1106,0.9,3220,2.7,4749,4,8393,7.1,25693,21.6,50491,42.4,11997,10.1,4528,3.8,3166,2.7,100,0.1,180189,151.5
22,State,West Bengal,1438,2.5,642,1.1,562,1,1053,1.8,1112,1.9,1197,2.1,3168,5.4,28137,48.2,10017,17.2,1182,2,931,1.6,55,1,74899,128.4
Total (States),State,Total (States),25342,3.5,3820,0.5,6575,0.9,13885,1.9,12231,1.7,22829,3.2,133319,18.4,313976,43.3,100533,13.9,17790,2.5,18111,2.5,1074,0.1,1316796,181.8
23,UT,A & N Islands,17,7.7,1,0.5,3,1.4,5,2.3,NA,0,4,1.8,46,20.8,116,52.4,29,13.1,7,3.2,14,6.3,NA,0,739,333.9
24,UT,Arunachal Pradesh,29,4.2,3,0.4,9,1.3,23,3.3,9,1.3,21,3,136,19.6,194,27.9,9,1.3,22,3.2,13,1.9,NA,0,960,138.1
25,UT,Chandigarh,9,1.7,3,0.6,1,0.2,19,3.5,NA,0,11,2,143,26.4,712,131.5,30,5.5,48,8.9,47,8.7,4,0.7,1806,333.5
