SL. No.,Heads of Crimes,Total number of persons under trial during the year including persons carried over from previous year,Number of persons against whom cases were compounded or withdrawn,Persons in whose cases trials were completed during the year,Persons in custody or on bail during the stage of trial at the end of the year,Persons convicted during the year,Percentage of persons in custody or on bail pendind trial to number of persons under trial,Percentage of persons convicted to total persons in whose cases trials were completed during the year
1,Arms Act,197005,1978,54084,140943,34812,71.5,64.4
2,Opium Act,41137,145,13344,27648,10193,67.2,76.4
3,Gambling Act,582595,1383,292459,288753,228259,49.6,78
4,Excise Act,285284,576,104845,179863,76203,63,72.7
5,Prohibition Act,798308,23115,276582,498611,155749,62.5,56.3
6,Explosive & Explosive Substances Act,10947,230,2888,7829,1637,71.5,56.7
7,Suppression of Immoral Traffic Act,23778,302,15167,8309,13345,34.9,88
8,Motor Vehicles Act,1370791,79117,1077677,213997,869196,15.6,80.7
9,Prevention of Corruption Act,1106,NA,315,791,156,71.5,49.5
10,Customs Act,148,1,89,58,18,39.2,20.2
11,Indian Railways Act,47805,198,34872,12735,33381,26.6,95.7
12,Other Offences,1549903,16015,1166198,367690,1011364,23.7,86.7
13,Total Cognizable Crimes Under Local and Special Laws,4908807,123060,3038520,1747227,2434313,35.6,80.1
