SL. No.,Heads of Crime,Number of Cases Reported During - 1984,Number of Cases Reported During - 1985,Percentage of Offences to Total Offences in 1985
1,Arms Act,1193,1244,1.6
2,Opium Act,145,134,0.2
3,Gambling Act,13774,10739,14
4,Excise Act,2254,1727,2.3
5,Prohibition Act,17365,16757,22
6,Explosive & Explosive Substances Act,31,25,Neg.
7,Suppression of Immoral Traffic Act,1034,1320,1.7
8,Motor Vehicles Act,1533,6064,7.9
9,Prevention of Corruption Act,NA,1,Neg.
10,Customs Act,6,NA,NA
11,Indian Railways Act,4380,2355,3.1
12,Misc. Offences Under Local & Special Laws,25614,36126,47.2
13,Total Cognizable Crimes Under Local and Special Laws,67329,76492,100
