SL. No.,Category,States/U.Ts/Cities,Arms Act,Opium Act,Gambling Act,Excise Act,Prohibition Act,Explosive & Explosive Substances Act,Suppression Moter of Immoral Traffic Act,Motor Vehicle Act,Prevention of Corruption Act,Customs Act,Indian Railways Act,Other Offences,Total
1,State,Andhra Pradesh,524,3,34153,4055,2,686,1376,300350,NA,NA,5,190656,531810
2,State,Assam,358,32,1002,1828,72,57,NA,493,NA,NA,89,1830,5761
3,State,Bihar,2988,1,1403,1992,NA,638,4,435,5,NA,284,3003,10753
4,State,Gujarat,1483,22,31605,NA,133459,97,75,109,NA,NA,774,52458,220082
5,State,Haryana,1672,3090,4420,11551,NA,29,3,NA,42,NA,264,1123,22194
6,State,Himachal Pradesh,41,37,70,3555,NA,17,NA,NA,NA,NA,11,533,4264
7,State,Jammu & Kashmir,202,NA,443,62,NA,21,14,NA,2,NA,NA,1605,2349
8,State,Karnataka,167,35,15838,1935,1,87,3006,332330,NA,NA,67,43962,397428
9,State,Kerala,94,NA,5330,7,487,135,180,576,NA,NA,22,3885,10716
10,State,Madhya Pradesh,5063,293,29370,11861,7,200,25,102019,59,NA,12168,48962,210027
11,State,Maharashtra,1226,61,71620,NA,138822,1086,1103,43630,2,NA,12175,273397,543122
12,State,Manipur,35,4,376,775,NA,9,NA,192,NA,NA,NA,683,2074
13,State,Meghalaya,47,NA,144,16,15,17,NA,NA,NA,NA,NA,301,540
14,State,Nagaland,35,1,40,63,NA,5,NA,99,NA,NA,17,257,517
15,State,Orissa,170,55,3507,433,NA,60,12,NA,NA,NA,109,882,5228
16,State,Punjab,3489,8664,4729,26135,NA,65,NA,NA,159,3,595,1204,45043
17,State,Rajasthan,1553,678,3782,1460,NA,27,27,34937,NA,NA,834,43726,87024
18,State,Sikkim,4,NA,10,69,NA,NA,NA,2730,NA,NA,NA,683,3496
19,State,Tamil Nadu,93,17,49411,NA,73555,390,9366,217622,NA,101,84,393283,743922
20,State,Tripura,74,NA,122,NA,NA,4,1,NA,NA,NA,NA,55,256
21,State,Uttar Pradesh,39632,1475,31543,36466,4,698,1126,105848,27,55,2080,47972,266926
22,State,West Bengal,988,NA,9633,2027,222,709,54,6751,2,4,7731,180129,208250
Total (States),State,Total (States),59938,14468,298551,104290,346646,5037,16372,1148121,298,163,37309,1290589,3321782
23,UT,A & N Islands,NA,1,109,1285,60,NA,12,56,NA,NA,NA,452,1975
24,UT,Arunachal Pradesh,18,3,NA,NA,NA,22,NA,NA,NA,NA,NA,53,96
25,UT,Chandigarh,68,101,379,799,NA,7,NA,NA,NA,NA,NA,271,1625
26,UT,D & N Haveli,NA,NA,20,NA,NA,1,NA,1,NA,NA,NA,6,28
27,UT,Delhi,2094,179,2200,1490,NA,7,85,NA,NA,NA,10,1564,7929
28,UT,"Goa, Daman & Diu",5,NA,728,149,NA,NA,16,111,NA,NA,26,558,1593
29,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
30,UT,Mizoram,34,NA,18,NA,NA,NA,NA,5,NA,NA,NA,507,564
31,UT,Pondicherry,2,NA,231,224,NA,4,15,4734,NA,NA,1,10529,15740
Total (UTs),UT,Total (UTs),2221,284,3685,3947,60,41,128,4907,NA,NA,337,13941,29551
All India,All India,All India,62159,14752,302236,108237,346706,5078,16500,1153028,298,163,37646,1304530,3351333
1,City,Ahmedabad,69,NA,8038,NA,15403,6,NA,9,NA,NA,4,4411,27940
2,City,Bangalore,3,13,901,569,1,11,444,42584,NA,NA,NA,367,202418
3,City,Bombay,223,55,11286,NA,11502,1018,961,200109,NA,NA,NA,219320,286949
4,City,Calcutta,61,NA,7646,1814,NA,206,54,1641,NA,NA,1,170326,181749
5,City,Delhi,2013,166,2087,1375,NA,7,85,NA,NA,NA,310,1528,7571
6,City,Hyderabad,31,1,2963,3727,NA,9,279,177581,NA,NA,NA,70638,255229
7,City,Jaipur,384,34,426,52,NA,NA,13,NA,NA,NA,NA,177,1086
8,City,Kanpur,3091,40,1758,925,NA,55,108,5555,3,NA,NA,4825,16360
9,City,Lucknow,1431,29,778,438,NA,8,34,3253,NA,NA,NA,1585,7556
10,City,Madras,NA,8,9636,NA,7156,NA,1804,61461,NA,101,NA,101487,181653
11,City,Nagpur,156,NA,4412,NA,5501,NA,NA,387,NA,NA,NA,3812,14268
12,City,Pune,37,NA,1080,NA,8301,NA,4,246,NA,NA,NA,7916,17584
Total (Cities),City,Total (Cities),7499,346,51011,8900,47864,1320,3786,492826,3,101,315,586392,1200363
