SL. No.,Heads of Offences,Number of Cases Reported During - 1981,Number of Cases Reported During - 1982,Number of Cases Reported During - 1983,Number of Cases Reported During - 1984,Number of Cases Reported During - 1985,Quiquennial average 1981 to 1985,Cases reported during 1986,Percentage Change in 1986 Over - Quinquennial Average,Percentage Change in 1986 Over - 1985
1,Total IPC Cognizable Crime,61019,59345,55473,42803,49317,53591,55887,4.3,13.3
2,Murder,1228,1289,1257,1186,1178,1228,1241,1.1,5.3
3,Culpable Homicide Not Amounting to Murder,92,72,84,121,185,111,118,6.3,-36.2
4,Rape,438,441,454,473,371,435,638,46.7,72
5,Kidnapping & Abduction,527,612,665,523,628,591,607,2.7,-3.3
6,Dacoity,613,651,548,391,349,510,415,-18.6,18.9
7,Robbery,1057,982,991,807,751,918,755,-17.8,0.5
8,Burglary,6720,6214,5795,5030,4793,5710,5042,-11.7,5.2
9,Theft,17516,14029,13531,11449,11297,13564,11873,-12.5,5.1
10,Riots,9979,10906,8795,7009,6560,8650,6303,-27.1,-3.9
11,Criminal Breach of Trust,272,226,226,214,265,241,228,-5.4,-14
12,Cheating,285,330,281,207,227,266,252,-5.3,11
13,Counterfeiting,15,3,18,88,20,29,5,-82.8,-75
14,Other IPC Offences,22277,23590,22828,15305,22693,21339,28410,33.1,25.2
