SL. No.,Crime Heads,Number of New Offenders Arrested,Number of Offenders Who have been Arrested in the Past - Once,Number of Offenders Who have been Arrested in the Past - Twice,Number of Offenders Who have been Arrested in the Past - Three time or more,Number of Offenders Who have been Arrested in the Past - Total
1,Murder,58674,6821,1220,176,66891
2,Culpable Homicide Not Amounting to Murder,6781,1105,226,56,8168
3,Rape,9907,1252,216,1,11376
4,Kidnapping & Abduction,18448,1631,204,77,20360
5,Dacoity,35147,4644,1258,244,41293
6,Robbery,25976,3502,741,202,30421
7,Burglary,77809,12438,2773,1512,94532
8,Theft,183512,24990,6152,3901,218555
9,Riots,529088,25908,4208,531,559735
10,Criminal Breach of Trust,14888,1129,147,37,16201
11,Cheating,18489,1796,279,109,20673
12,Counterfeiting,891,30,1,NA,922
13,Total Cognizable Crimes Under IPC,1929431,197264,34445,19433,2180573
