SL. No.,Crime Heads,Total number of persons under trial during the year including persons carried over from previous year,Number of persons against whom cases were compounded or withdrawn,Persons in whose cases trials were completed,Persons in custody or on bail at the end of the year,Number of persons convicted during the year,Percentage of persons in custody or on bail pendind trial to number of persons under trial,Percentage of persons convicted to total persons in whose cases trials were completed during the year
1,Arms Act,204648,2182,52867,149599,34822,73.1,65.9
2,Narcotic Drugs & Psychotropic Substances Act,38392,141,11421,26830,5453,69.9,47.7
3,Gambling Act,610448,1885,306647,301916,254984,49.5,83.2
4,Excise Act,284174,1805,99429,182940,72174,64.4,72.6
5,Prohibition Act,1125293,20610,255595,849088,133398,75.5,52.2
6,Explosive & Explosive Substances Act,12619,321,3294,9004,1662,71.4,50.5
7,Immoral Traffic (Prevention) Act,25183,164,14752,10267,12706,40.8,86.1
8,Motor Vehicle Act,1769096,10598,1336889,421609,1280248,23.8,95.8
9,Prevention of Corruption Act,851,1,325,525,128,61.7,39.4
10,Customs Act,277,2,129,146,80,52.7,62
11,Indian Railways Act,41480,532,27842,13106,27036,31.6,97.1
12,Other Offences under Local and Special Laws,1517530,18909,1081259,417362,942391,27.5,87.2
13,Total Cognizable Crimes Under Local and Special Laws,5629991,57150,3190449,2382392,2765082,42.3,86.7
