SL. No.,Category,State/UT/City,DG/IG/DIG/SP - Sanctioned,DG/IG/DIG/SP - Actual,ASP & DSP - Sanctioned,ASP & DSP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Officers Below A.S.I. - Sanctioned,Officers Below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
1,State,Andhra Pradesh,126,112,239,232,4377,3769,48333,39111,53075,43224
2,State,Arunachal Pradesh,11,8,33,21,400,340,2103,1465,2547,1834
3,State,Assam,117,117,150,150,4520,4510,17576,17489,22363,22266
4,State,Bihar,196,196,391,391,11745,11745,47905,47905,60237,60237
5,State,Goa,4,4,15,11,266,224,1816,1665,2101,1904
6,State,Gujarat,86,84,144,126,2662,2565,45429,42400,48321,45175
7,State,Haryana,46,46,96,96,2172,2136,17800,17604,20114,19882
8,State,Himachal Pradesh,63,62,89,86,1017,957,6372,6149,7541,7254
9,State,Jammu & Kashmir,66,66,109,109,936,936,15696,15696,16807,16807
10,State,Karnataka,90,86,162,148,3392,2832,38503,37456,42147,40522
11,State,Kerala,58,58,144,134,2117,1783,27352,24897,29671,26872
12,State,Madhya Pradesh,187,187,608,608,7507,7507,51040,51040,59342,59342
13,State,Maharashtra,147,145,381,356,12072,11560,93073,92118,105673,104179
14,State,Manipur,34,30,51,57,1136,835,4116,3988,5337,4910
15,State,Meghalaya,28,18,30,17,1020,811,4723,4163,5801,5009
16,State,Mizoram,23,18,34,28,429,363,1440,1350,1926,1759
17,State,Nagaland,28,27,34,34,574,548,5840,5695,6476,6304
18,State,Orissa,119,125,188,185,5105,5165,20336,20575,25748,26050
19,State,Punjab,95,94,183,130,4197,3721,27642,26457,32117,30402
20,State,Rajasthan,216,215,237,236,4706,4509,37194,34614,42353,39574
21,State,Sikkim,25,17,43,22,191,191,1917,1917,2176,2147
22,State,Tamil Nadu,143,54,358,203,5974,5164,51402,43466,57877,48887
23,State,Tripura,41,30,38,29,1296,1249,6047,5876,7422,7184
24,State,Uttar Pradesh,324,273,758,625,12184,12184,111368,111368,124634,124450
25,State,West Bengal,116,116,209,209,5910,5910,38332,38332,44567,44567
Total (States),State,Total (States),2389,2188,4724,4243,95905,91514,723355,692796,826373,790741
26,UT,A & N Islands,2,2,9,9,124,121,1222,1157,1357,1289
27,UT,Chandigarh,4,3,8,8,308,257,1818,1860,2138,2128
28,UT,D & N Haveli,0,0,1,1,12,6,209,203,222,210
29,UT,Daman & Diu,0,1,0,1,26,17,229,194,255,213
30,UT,Delhi,51,45,152,136,7660,6271,32060,23807,39923,30259
31,UT,Lakshadweep,1,1,1,1,53,43,292,283,347,328
32,UT,Pondicherry,3,3,13,13,98,96,909,807,1023,919
Total (UTs),UT,Total (UTs),61,55,184,169,8281,6811,36739,28311,45265,35346
Total (All-India),Total (All-India),Total (All-India),2450,2243,4908,4412,104186,98325,760094,721107,871638,826087
33,City,Ahmedabad,13,11,17,17,460,402,8030,6665,8520,7095
34,City,Bangalore,8,8,17,17,715,704,6968,6873,7708,7602
35,City,Bombay,24,24,78,67,4101,3691,19456,18174,23659,21956
36,City,Calcutta,22,21,49,44,2891,2631,10463,10048,13425,12744
37,City,Delhi,51,45,152,136,7660,6271,32060,23807,39923,30259
38,City,Hyderabad,15,15,31,30,584,574,4995,4706,5625,5325
39,City,Jaipur,4,4,8,8,433,415,4323,4236,4768,4663
40,City,Kanpur,4,4,12,12,521,521,5079,5006,5616,5543
41,City,Lucknow,4,4,12,12,426,392,2895,2727,3337,3135
42,City,Madras,12,12,47,46,869,852,9427,8054,10355,8964
43,City,Nagpur,5,5,12,11,395,381,3574,3353,3986,3750
44,City,Pune,7,6,42,12,489,420,4311,3024,4849,3462
