SL. No. ,Category ,State/UT ,Incidence of Total Cognizable Crimes ,Percentage Contribution to All-India Total ,Volume of Total Cognizable Crimes ,Rank of* Criminality 
1,State,Andhra Pradesh,86099,6,140.3,20
2,State,Arunachal Pradesh,1764,0.1,227.9,11
3,State,Assam,37684,2.6,160.1,19
4,State,Bihar,113640,7.9,139,22
5,State,Goa,3969,0.3,331.9,5
6,State,Gujarat,87732,6.1,222.7,13
7,State,Haryana,25542,1.8,163.5,18
8,State,Himachal Pradesh,6521,0.5,133.3,25
9,State,Jammu & Kashmir,19868,1.4,282.1,7
10,State,Karnataka,86998,6,201.2,16
11,State,Kerala,64086,4.4,221.5,14
12,State,Madhya Pradesh,180630,12.5,296,6
13,State,Maharashtra,183357,12.7,253.1,9
14,State,Manipur,2379,0.2,139.9,21
15,State,Meghalaya,1735,0.1,106.6,28
16,State,Mizoram,1267,0.1,194.6,17
17,State,Nagaland,1408,0.1,136.2,24
18,State,Orissa,41068,2.9,136.6,23
19,State,Punjab,14275,1,74.5,31
20,State,Rajasthan,88146,6.1,211.6,15
21,State,Sikkim,333,0,80.8,30
22,State,Tamil Nadu,128725,8.9,236.5,10
23,State,Tripura,5520,0.4,225.7,12
24,State,Uttar Pradesh,160253,11.1,124.1,27
25,State,West Bengal,63380,4.4,100.7,29
Total (States),State,Total (States),1406379,97.6,178.9,NA
26,UT,A & N Islands,897,0.1,339.8,3
27,UT,Chandigarh,1734,0.1,260.8,8
28,UT,D & N Haveli,551,0,440.8,1
29,UT,Daman & Diu,120,0,127.7,26
30,UT,Delhi,28013,1.9,335.2,4
31,UT,Lakshadweep,30,0,66.7,32
32,UT,Pondicherry,2632,0.2,370.2,2
Total (UTs),UT,Total (UTs),33977,2.4,331.1,NA
Total (All-India),Total (All-India),Total (All-India),1440356,100,180.8,NA
