SL. No.,Category,State/UT/City,Murder - 1987,Murder - 1988,Murder - Percentage Variation,Attempt to Commit Murder - 1987,Attempt to Commit Murder - 1988,Attempt to Commit Murder - Percentage Variation,C.H. Not Amounting to Murder - 1987,C.H. Not Amounting to Murder - 1988,C.H. Not Amounting to Murder - Percentage Variation,Rape - 1987,Rape - 1988,Rape - Percentage Variation,Kidnapping & Abduction - Total - 1987,Kidnapping & Abduction - Total - 1988,Kidnapping & Abduction - Total - Percentage Variation,Kidnapping & Abduction - Of Women & Girls - 1987,Kidnapping & Abduction - Of Women & Girls - 1988,Kidnapping & Abduction - Of Women & Girls - Percentage Variation,Kidnapping & Abduction - Of Others - 1987,Kidnapping & Abduction - Of Others - 1988,Kidnapping & Abduction - Of Others - Percentage Variation,Dacoity - 1987,Dacoity - 1988,Dacoity - Percentage Variation,Preparation and Assembly for Dacoity - 1987,Preparation and Assembly for Dacoity - 1988,Preparation and Assembly for Dacoity - Percentage Variation,Robbery - 1987,Robbery - 1988,Robbery - Percentage Variation,Burglary - 1987,Burglary - 1988,Burglary - Percentage Variation,Theft - 1987,Theft - 1988,Theft - Percentage Variation,Riots - 1987,Riots - 1988,Riots - Percentage Variation,Criminal Breach of Trust - 1987,Criminal Breach of Trust - 1988,Criminal Breach of Trust - Percentage Variation,Cheating - 1987,Cheating - 1988,Cheating - Percentage Variation,Counterfeiting - 1987,Counterfeiting - 1988,Counterfeiting - Percentage Variation,Other IPC Crimes - 1987,Other IPC Crimes - 1988,Other IPC Crimes - Percentage Variation,Total Cognizable Crimes Under IPC - 1987,Total Cognizable Crimes Under IPC - 1988,Total Cognizable Crimes Under IPC - Percentage Variation
1,State,Andhra Pradesh,1838,2048,11.4,*,1159,NA,30,20,-33.3,497,545,9.7,609,721,18.4,*,480,NA,*,241,NA,423,430,1.7,*,2,NA,768,831,8.2,7076,7506,6.1,16078,18840,17.2,4335,5153,18.9,633,638,0.8,1646,1787,8.6,105,66,-37.1,60241,46353,-23.1,94279,86099,-8.7
2,State,Arunachal Pradesh,43,52,20.9,*,6,NA,2,5,150,11,17,54.5,30,39,30,*,21,NA,*,18,NA,10,12,20,*,0,NA,27,39,44.4,146,260,78.1,251,304,21.1,9,16,77.8,21,20,-4.8,10,21,110,1,0,-100,794,973,22.5,1355,1764,30.2
3,State,Assam,814,848,4.2,*,313,NA,26,18,-30.8,442,404,-8.6,898,941,4.8,*,919,NA,*,22,NA,378,533,41,*,43,NA,561,657,17.1,3982,3593,-9.8,8171,8222,0.6,4385,4748,8.3,476,479,0.6,554,563,1.6,5,10,100,16552,16312,-1.4,37244,37684,1.2
4,State,Bihar,3582,3600,0.5,*,3699,NA,320,479,49.7,849,962,13.3,1730,1648,-4.7,*,1359,NA,*,289,NA,3159,3123,-1.1,*,197,NA,2434,2267,-6.9,8867,9063,2.2,20878,19423,-7,15473,15343,-0.8,1224,1472,20.3,1552,1420,-8.5,33,7,-78.8,47144,50937,8,107245,113640,6
5,State,Goa,30,22,-26.7,*,7,NA,1,8,700,12,20,66.7,18,28,55.6,*,22,NA,*,6,NA,11,7,-36.4,*,0,NA,52,28,-46.2,663,511,-22.9,1213,1229,1.3,339,236,-30.4,66,72,9.1,56,40,-28.6,10,5,-50,2080,1756,-15.6,4551,3969,-12.8
6,State,Gujarat,1144,1030,-10,*,487,NA,11,9,-18.2,159,168,5.7,544,571,5,*,460,NA,*,111,NA,198,191,-3.5,*,0,NA,852,806,-5.4,5320,5434,2.1,18208,19954,9.6,2318,1615,-30.3,1434,1458,1.7,903,795,-12,104,64,-38.5,53519,55150,3,84714,87732,3.6
7,State,Haryana,482,452,-6.2,*,214,NA,120,114,-5,134,150,11.9,226,227,0.4,*,172,NA,*,55,NA,39,26,-33.3,*,7,NA,117,154,31.6,2570,1992,-22.5,3518,4191,19.1,306,340,11.1,251,297,18.3,392,557,42.1,5,10,100,14758,16811,13.9,22918,25542,11.4
8,State,Himachal Pradesh,84,92,9.5,*,44,NA,15,16,6.7,34,45,32.4,98,93,-5.1,*,81,NA,*,12,NA,4,4,0,*,0,NA,20,25,25,795,790,-0.6,747,738,-1.2,282,329,16.7,138,112,-18.8,90,78,-13.3,0,0,NA,4172,4155,-0.4,6479,6521,0.6
9,State,Jammu & Kashmir,102,111,8.8,*,368,NA,12,10,-16.7,171,211,23.4,517,525,1.5,*,523,NA,*,2,NA,18,17,-5.6,*,0,NA,27,26,-3.7,1564,1568,0.3,3279,3120,-4.8,1876,1958,4.4,178,196,10.1,262,230,-12.2,0,0,NA,11152,11528,3.4,19158,19868,3.7
10,State,Karnataka,1112,1281,15.2,*,357,NA,35,48,37.1,167,193,15.6,438,409,-6.6,*,373,NA,*,36,NA,170,343,101.8,*,0,NA,565,589,4.2,7556,7671,1.5,15456,16212,4.9,7139,6659,-6.7,892,804,-9.9,1585,1655,4.4,307,373,21.5,44034,50404,14.5,79456,86998,9.5
