SL. No.,Category,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Seas - Number,River & Seas - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishment - Number,Commercial Establishment - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,327,27,272,24.2,0,0,18,1.8,4,33.8,15,0.8,195,5.3,831,93
2,State,Arunachal Pradesh,9,0.3,7,0.1,0,0,0,0,0,0,3,0.1,20,0.7,39,1.3
3,State,Assam,188,4.1,160,2.8,1,0,9,0.1,0,0,21,0.4,278,8.3,657,15.7
4,State,Bihar,1153,267.5,741,98.8,0,0,66,2.2,19,13.5,64,7.6,224,13.8,2267,403.3
5,State,Goa,2,0.2,1,0,0,0,0,0,0,0,1,0.1,24,1.3,28,1.6
6,State,Gujarat,258,17.3,63,10.8,1,0.5,5,0.2,2,1.9,10,0.1,467,26.1,806,57.1
7,State,Haryana,29,3.1,31,14,0,0,4,0.1,5,0.4,0,0,85,22.3,154,39.9
8,State,Himachal Pradesh,3,0.1,1,0,0,0,0,0,1,28.4,0,0,20,3.5,25,32.1
9,State,Jammu & Kashmir,5,1,1,0.1,0,0,0,0,0,0,0,0,20,0.4,26,1.5
10,State,Karnataka,174,11.2,26,7.3,9,1.9,0,0,1,1,4,0.1,375,15.8,589,37.3
11,State,Kerala,78,5,9,6.2,0,0,4,0.3,0,0,2,0,124,15.6,217,27.2
12,State,Madhya Pradesh,269,10.3,239,14.5,1,0,29,0.9,0,0,23,1.7,1592,46.2,2153,73.7
13,State,Maharashtra,311,43.4,296,34.8,2,0.3,94,6.2,9,0.3,178,24.5,2520,99.1,3410,208.7
14,State,Manipur,15,3,9,2,0,0,0,0,2,0.2,1,0.2,9,1.4,36,6.8
15,State,Meghalaya,0,0,11,0.4,0,0,0,0,0,0,0,0,26,0.5,37,0.9
16,State,Mizoram,6,0.2,8,0.1,0,0,0,0,0,0,0,0,8,0.5,22,0.7
17,State,Nagaland,19,5.7,12,3.7,0,0,0,0,0,3.3,21,4,30,8.9,82,25.6
18,State,Orissa,257,8.7,100,3.7,0,0,4,0.2,0,0,6,0,196,4.9,563,17.5
19,State,Punjab,274,51.6,103,46.5,0,0,0,0,33,18,44,19.2,128,28.5,852,163.9
20,State,Rajasthan,34,1.2,33,10,3,0,15,0.2,2,0.3,1,0,998,56.9,1086,68.7
21,State,Sikkim,4,0.3,0,0,0,0,0,0,0,0,1,0,1,0.1,6,0.5
22,State,Tamil Nadu,106,11,72,6.8,0,0,3,0.1,2,0,2,0,245,19.6,430,37.5
23,State,Tripura,41,5.8,17,0.2,0,0,0,0,0,0,7,0,46,0.8,111,6.9
24,State,Uttar Pradesh,2852,138.3,975,95.4,0,0,91,2.7,1,0,8,0.1,2489,45.6,6416,282
25,State,West Bengal,196,12.5,220,24.3,39,1.1,0,0,1,0.8,62,7.8,279,18,797,64.7
Total (States),State,Total (States),6610,628.6,3407,406.8,56,3.9,342,15.2,82,102,474,67.2,10399,444.3,21370,1667.8
26,UT,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,5,0.1,5,0.1
27,UT,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,14,7.4,14,7.4
28,UT,D & N Haveli,1,0.1,0,0,0,0,0,0,0,0,0,0,4,0,5,0.1
29,UT,Daman & Diu,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,UT,Delhi,68,10.8,14,2.4,0,0,2,0,0,0,14,1.1,105,12.6,203,27
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,0,13,0.4,13,0.5
Total (UTs),UT,Total (UTs),70,10.9,14,2.4,0,0,2,0,0,0,14,1.1,141,20.5,241,35.1
Total (All-India),Total (All-India),Total (All-India),6680,639.5,3421,409.2,56,3.9,344,15.2,82,102,488,68.3,10540,464.8,21611,1702.9
33,City,Ahmedabad,15,4,3,0.3,0,0,0,0,0,0,1,0,53,2,72,6.4
34,City,Bangalore,31,4.3,7,0.1,0,0,1,0.1,1,1,3,0.1,123,8,166,13.5
35,City,Bombay,99,59,36,12.6,1,0.3,0,0,1,0.2,82,22.1,455,138.2,674,232.5
36,City,Calcutta,29,6,101,19.8,1,0.1,0,0,0,0,36,6.4,13,2.7,118,35
37,City,Delhi,68,10.8,4,0.6,0,0,2,0.1,0,0,14,1.1,95,12.5,183,25.1
38,City,Hyderabad,16,2.4,59,1.9,0,0,0,0,0,0,9,0.8,0,0,84,5.1
39,City,Jaipur,0,0,5,0.1,0,0,0,0,0,0,0,0,54,0.7,59,0.8
40,City,Kanpur,67,9,20,1,0,0,0,0,0,0,8,0.1,31,0.5,126,10.6
41,City,Lucknow,59,4.4,31,2.5,0,0,0,0,0,0,0,0,0,0,90,6.8
42,City,Madras,21,0.9,25,0.5,0,0,0,0,0,0,2,0.1,14,0.2,62,1.7
43,City,Nagpur,1,0,3,1.9,0,0,0,0,0,0,12,0.3,259,8.7,275,11
44,City,Pune,21,1.2,6,0.9,1,0.1,0,0,0,0,5,0.1,161,16.3,194,18.5
