SL. No.,Category,State/UT/City,Area (in Sqr. Km.),Estimated Mid-Year Population (in 000),Total Cognizable Crimes (IPC),Actual Police Strength - Civil,Actual Police Strength - Armed,Actual Police Strength - Total,Percentage of Civil Police to Total Police,Number of Policemen per 100 Sqr. Km. Area,Number of Policemen per 1000 of Population,Number of IPC Cases per Civil Policeman
1,State,Andhra Pradesh,275068,62443,98112,47599,7721,55320,86,20.1,0.9,2.1
2,State,Arunachal Pradesh,83743,794,2002,2388,1207,3595,66.4,4.3,4.5,0.8
3,State,Assam,78438,24087,39499,22342,18888,41230,54.2,52.6,1.7,1.8
4,State,Bihar,173877,83525,114305,60237,17078,77315,77.9,44.5,0.9,1.9
5,State,Goa,3700,1220,4225,1904,549,2453,77.6,66.3,2,2.2
6,State,Gujarat,196024,39947,95194,46654,10884,57538,81.1,29.4,1.4,2
7,State,Haryana,44212,15934,28332,23447,4706,28153,83.3,63.7,1.8,1.2
8,State,Himachal Pradesh,55673,4973,7168,7920,3343,11263,70.3,20.2,2.3,0.9
9,State,Jammu & Kashmir,222236,7191,21442,15799,8384,24183,65.3,10.9,3.4,1.4
10,State,Karnataka,191791,44039,92440,41500,4935,46435,89.4,24.2,1.1,2.2
11,State,Kerala,38863,29373,67051,26089,2936,29025,89.9,74.7,1,2.6
12,State,Madhya Pradesh,443446,62236,195183,83266,24674,107940,77.1,24.3,1.7,2.3
13,State,Maharashtra,307690,73501,189055,107752,11952,119704,90,38.9,1.6,1.8
14,State,Manipur,22327,1737,2445,4601,6147,10748,42.8,48.1,6.2,0.5
15,State,Meghalaya,22429,1666,1751,5426,1873,7299,74.3,32.5,4.4,0.3
16,State,Mizoram,21081,673,1638,1876,1748,3624,51.8,17.2,5.4,0.9
17,State,Nagaland,16579,1072,1591,7569,8448,16017,47.3,96.6,14.9,0.2
18,State,Orissa,155707,30578,44321,25317,7057,322374,78.2,20.8,1.1,1.8
19,State,Punjab,50362,19414,14166,39839,8537,48376,82.4,96.1,2.5,0.4
20,State,Rajasthan,342239,42739,99617,39218,7801,47019,83.4,13.7,1.1,2.5
21,State,Sikkim,7096,426,380,1389,900,2289,60.7,32.3,5.4,0.3
22,State,Tamil Nadu,130058,55182,126075,58113,4213,62326,93.2,47.9,1.1,2.2
23,State,Tripura,10486,2496,3563,5748,2739,8487,67.7,80.9,3.4,0.9
24,State,Uttar Pradesh,294411,131854,172880,126847,33977,160824,78.9,54.6,1.2,1.4
25,State,West Bengal,88752,64061,68409,52266,19673,71939,72.7,81.1,1.1,1.3
Total (States),State,Total (States),3276288,801162,1492644,855106,220370,1075476,79.5,32.8,1.3,1.7
26,UT,A & N Islands,8249,275,1144,1333,514,1847,72.2,22.4,6.7,0.9
27,UT,Chandigarh,114,699,1705,2133,1030,3163,67.4,2774.6,4.5,0.8
28,UT,D & N Haveli,491,128,352,208,0,208,100,42.4,1.6,1.7
29,UT,Daman & Diu,114,96,147,226,0,226,100,198.2,2.4,0.7
30,UT,Delhi,1483,8686,30523,33611,9011,42622,78.9,2874,4.9,0.9
31,UT,Lakshadweep,32,46,91,335,0,335,100,1046.9,7.3,0.3
32,UT,Pondicherry,492,725,3238,1096,654,1750,62.6,355.7,2.4,3
Total (UTs),UT,Total (UTs),10975,10654,37200,38942,11209,50151,77.6,457,4.7,1
Total (All-India),Total (All-India),Total (All-India),3287263,811816,1529844,894048,231579,1125627,79.4,34.2,1.4,1.7
