SL. No.,Category,State/UT,Incidence of Total Cognizable Crimes,Percentage Contribution to All-India Total,Volume of Total Cognizable Crimes,Rank of* Criminality
1,State,Andhra Pradesh,98112,6.4,157.1,21
2,State,Arunachal Pradesh,2002,0.1,252.1,9
3,State,Assam,39499,2.6,164,20
4,State,Bihar,114305,7.5,136.9,27
5,State,Goa,4225,0.3,346.3,4
6,State,Gujarat,95194,6.2,238.3,12
7,State,Haryana,28332,1.9,177.8,19
8,State,Himachal Pradesh,7168,0.5,144.1,25
9,State,Jammu & Kashmir,21442,1.4,298.2,6
10,State,Karnataka,92440,6,209.9,17
11,State,Kerala,67051,4.4,228.3,15
12,State,Madhya Pradesh,195183,12.8,313.6,5
13,State,Maharashtra,189055,12.4,257.2,8
14,State,Manipur,2445,0.2,140.8,26
15,State,Meghalaya,1751,0.1,105.1,30
16,State,Mizoram,1638,0.1,243.4,11
17,State,Nagaland,1591,0.1,148.4,23
18,State,Orissa,44321,2.9,144.9,24
19,State,Punjab,14166,0.9,73,32
20,State,Rajasthan,99617,6.5,233.1,13
21,State,Sikkim,380,0,89.2,31
22,State,Tamil Nadu,126075,8.2,228.5,14
23,State,Tripura,5363,0.4,214.9,16
24,State,Uttar Pradesh,172880,11.3,131.1,28
25,State,West Bengal,68409,4.5,106.8,29
Total (States),State,Total (States),1492644,97.6,186.3,NA
26,UT,A & N Islands,1144,0.1,416,2
27,UT,Chandigarh,1705,0.1,243.9,10
28,UT,D & N Haveli,352,0,275,7
29,UT,Daman & Diu,147,0,153.1,22
30,UT,Delhi,30523,2,351.4,3
31,UT,Lakshadweep,91,0,197.8,18
32,UT,Pondicherry,3238,0.2,446.6,1
Total (UTs),UT,Total (UTs),37200,2.4,349.2,NA
Total (All-India),Total (All-India),Total (All-India),1529844,100,188.4,NA
