SL. No.,Category,State/UT/City,7-12 Years - Boys,7-12 Years - Girls,12-16 Years - Boys,12-16 Years - Girls,16-18 Years -Girls Only,Overall Age Group - Boys,Overall Age Group - Girls,Total (Boys + Girls)
1,State,Andhra Pradesh,172,6,994,17,135,1166,158,1324
2,State,Arunachal Pradesh,3,0,60,0,8,63,8,71
3,State,Assam,29,1,962,35,47,991,83,1074
4,State,Bihar,67,4,2587,73,85,2654,162,2816
5,State,Goa,4,0,48,7,7,52,14,66
6,State,Gujarat,133,18,816,98,199,949,315,1264
7,State,Haryana,8,0,105,1,32,113,33,146
8,State,Himachal Pradesh,2,0,92,13,30,94,43,137
9,State,Jammu & Kashmir,14,0,48,0,61,62,61,123
10,State,Karnataka,71,11,342,17,9,413,37,450
11,State,Kerala,1,0,81,0,1,82,1,83
12,State,Madhya Pradesh,207,7,2191,90,242,2398,339,2737
13,State,Maharashtra,526,53,2182,167,249,2708,469,3177
14,State,Manipur,0,0,39,2,25,39,27,66
15,State,Meghalaya,4,0,44,0,2,48,2,50
16,State,Mizoram,0,0,23,0,0,23,0,23
17,State,Nagaland,11,0,32,0,3,43,3,46
18,State,Orissa,12,0,129,1,2,141,3,144
19,State,Punjab,0,0,54,0,14,54,14,68
20,State,Rajasthan,36,10,932,11,8,968,29,997
21,State,Sikkim,29,0,0,0,0,29,0,29
22,State,Tamil Nadu,140,50,1039,8,1081,1179,1139,2318
23,State,Tripura,0,0,173,0,4,173,4,177
24,State,Uttar Pradesh,4,0,68,0,0,72,0,72
25,State,West Bengal,7,2,42,5,4,49,11,60
Total (States),State,Total (States),1480,162,13083,545,2248,14563,2955,17518
26,UT,A & N Islands,0,0,14,3,0,14,3,17
27,UT,Chandigarh,0,0,8,0,2,8,2,10
28,UT,D & N Haveli,0,0,5,0,0,5,0,5
29,UT,Daman & Diu,0,0,2,0,2,2,2,4
30,UT,Delhi,0,0,56,1,28,56,29,85
31,UT,Lakshadweep,0,0,0,0,0,0,0,0
32,UT,Pondicherry,2,0,31,0,0,33,0,33
Total (UTs),UT,Total (UTs),2,0,116,4,32,118,36,154
Total (All-India),Total (All-India),Total (All-India),1482,162,13199,549,2280,14681,2991,17672
33,City,Ahmedabad,33,0,139,19,68,172,87,259
34,City,Bangalore,34,7,100,5,0,134,12,146
35,City,Bombay,0,0,190,21,21,190,42,282
36,City,Calcutta,3,1,18,3,0,21,4,25
37,City,Delhi,0,0,56,1,28,56,29,85
38,City,Hyderabad,6,0,17,0,0,23,0,23
39,City,Jaipur,5,0,0,0,0,5,0,5
40,City,Kanpur,0,0,1,0,0,1,0,1
41,City,Lucknow,0,0,6,0,0,6,0,6
42,City,Madras,60,3,13,0,54,73,57,130
43,City,Nagpur,13,2,85,3,2,98,7,105
44,City,Pune,41,1,141,28,18,182,47,229
