SL. No.,Category,State/UT/City,Killed - in Dacoity Operation or Other Raids,Killed - by Riotous Mobs,Killed - by Other Criminals,Killed - on Border Duties,Killed - in Accidents,Killed - Total,Injured - in Dacoity Operation or Other Raids,Injured - by Riotous Mobs,Injured - by Other Criminals,Injured - on Border Duties,Injured - in Accidents,Injured- Total
1,State,Andhra Pradesh,11,0,1,0,3,15,12,151,9,1,18,191
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,5,1,0,2,8
3,State,Assam,0,2,46,0,3,51,1,43,81,0,0,125
4,State,Bihar,7,2,0,1,6,16,26,25,11,1,5,68
5,State,Goa,0,0,0,0,0,0,1,28,2,0,4,35
6,State,Gujarat,0,0,3,0,22,25,8,126,58,1,14,207
7,State,Haryana,0,1,3,0,28,32,0,1,11,0,23,35
8,State,Himachal Pradesh,0,0,0,0,3,3,0,23,7,0,1,31
9,State,Jammu & Kashmir,0,7,0,0,8,15,0,511,105,0,3,619
10,State,Karnataka,0,0,0,0,10,10,59,187,35,1,29,311
11,State,Kerala,0,0,0,0,2,2,144,116,55,0,45,360
12,State,Madhya Pradesh,2,0,2,0,8,12,0,170,84,14,92,360
13,State,Maharashtra,0,0,6,9,56,71,37,462,132,26,63,720
14,State,Manipur,0,0,7,0,2,9,0,0,15,0,13,28
15,State,Meghalaya,0,0,3,0,1,4,0,0,3,0,0,3
16,State,Mizoram,0,0,2,0,1,3,0,0,3,0,3,6
17,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
18,State,Orissa,0,0,1,0,3,4,4,27,6,0,0,37
19,State,Punjab,10,0,68,0,42,120,10,0,59,0,19,88
20,State,Rajasthan,0,1,1,0,21,23,6,235,15,0,5,261
21,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
22,State,Tamil Nadu,0,0,3,0,13,16,4,136,40,1,31,212
23,State,Tripura,0,0,0,0,0,0,4,11,0,0,0,15
24,State,Uttar Pradesh,3,4,15,3,46,71,120,149,99,6,27,401
25,State,West Bengal,0,0,0,0,6,6,52,120,21,3,10,206
Total (States),State,Total (States),33,17,161,13,284,508,488,2526,852,54,407,4327
26,UT,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0
27,UT,Chandigarh,0,0,1,0,1,2,0,0,0,0,3,3
28,UT,D & N Haveli,0,0,0,0,1,1,0,0,2,0,0,2
29,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0
30,UT,Delhi,0,0,3,0,2,5,0,57,45,0,25,127
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),UT,Total (UTs),0,0,4,0,4,8,0,57,47,0,28,132
Total (All-India),Total (All-India),Total (All-India),33,17,165,13,288,516,488,2583,899,54,435,4459
33,City,Ahmedabad,0,0,0,0,6,6,5,1,2,0,0,8
34,City,Bangalore,0,0,0,0,0,0,0,16,9,0,6,31
35,City,Bombay,0,0,2,0,8,10,1,43,57,2,14,117
36,City,Calcutta,0,0,0,0,0,0,4,36,0,0,0,40
37,City,Delhi,0,0,3,0,2,5,0,57,45,0,25,127
38,City,Hyderabad,0,0,0,0,0,0,0,11,0,0,0,11
39,City,Jaipur,0,0,0,0,1,1,0,33,0,0,0,33
40,City,Kanpur,0,0,0,0,6,6,1,8,1,0,3,13
41,City,Lucknow,0,1,2,0,2,5,0,8,1,0,2,11
42,City,Madras,0,0,2,0,0,2,0,2,5,0,2,9
43,City,Nagpur,0,0,0,0,0,0,0,4,6,0,4,14
44,City,Pune,0,0,0,0,0,0,0,19,0,0,0,19
