SL. No.,Crime Head,1989,1990,Percentage Variation in 1990 Over 1989,Percentage Share of Crime During 1990
1,Arms Act,56572,61852,9.3,1.7
2,Narcotic Drugs & Psychotropic Substances Act,13917,15596,12.1,0.4
3,Gambling Act,369472,369530,0,10
4,Excise Act,92752,102836,10.9,2.8
5,Prohibition Act,713348,602839,-15.5,16.4
6,Explosive & Explosive Substances Act,6572,5624,-14.4,0.2
7,Immoral Traffic (Prevention) Act,18162,19734,8.7,0.5
8,Indian Railways Act,35355,38867,9.9,1.1
9,Foreigner's Registration Act,2707,4162,53.7,0.1
10,Protection Of Civil Rights Act,7445,7561,1.6,0.2
11,Indian Passport Act,844,944,11.8,0
12,Essential Commodities Act,12607,8455,-32.9,0.2
13,Terrorist & Disruptive Activites Act,3783,2508,-33.7,0.1
14,Antiquity & Art Treasure Act,5,34,580,0
15,Dowry Prohibition Act,4078,4602,12.8,0.1
16,Other L & SL Crimes,2706860,2440912,-9.8,66.2
17,Total Cognizable Crimes Under L & SL,4044479,3686056,-8.9,100
